"culture","concentration.µg.ml","day","OD600"
"AB1",0,0,-0.002
"AB1",1,0,-0.002
"AB1",2,0,-0.003
"AB1",5,0,0.016
"AB1",10,0,0.008
"AB1",20,0,0.004
"AB1",0,1,0.021
"AB1",1,1,0.026
"AB1",2,1,0.021
"AB1",5,1,0.03
"AB1",10,1,0.004
"AB1",20,1,-0.008
"AB1",0,2,0.131
"AB1",1,2,0.187
"AB1",2,2,0.149
"AB1",5,2,0.073
"AB1",10,2,-0.012
"AB1",20,2,-0.02
"AB1",0,4,0.212
"AB1",1,4,0.315
"AB1",2,4,0.194
"AB1",5,4,0.155
"AB1",10,4,-0.014
"AB1",20,4,-0.018
"AB1",0,7,0.176
"AB1",1,7,0.226
"AB1",2,7,0.14
"AB1",5,7,0.166
"AB1",10,7,0.189
"AB1",20,7,-0.012
"AB1",0,8,0.163
"AB1",1,8,0.207
"AB1",2,8,0.132
"AB1",5,8,0.224
"AB1",10,8,0.181
"AB1",20,8,-0.004
"AB2",0,0,0.006
"AB2",1,0,0.008
"AB2",2,0,0.002
"AB2",5,0,0.027
"AB2",10,0,0.003
"AB2",20,0,0.002
"AB2",0,1,0.057
"AB2",1,1,0.06
"AB2",2,1,0.049
"AB2",5,1,0.037
"AB2",10,1,-0.002
"AB2",20,1,-0.009
"AB2",0,2,0.189
"AB2",1,2,0.49
"AB2",2,2,0.245
"AB2",5,2,0.091
"AB2",10,2,-0.013
"AB2",20,2,-0.022
"AB2",0,4,0.254
"AB2",1,4,0.4
"AB2",2,4,0.322
"AB2",5,4,0.051
"AB2",10,4,-0.02
"AB2",20,4,-0.024
"AB2",0,7,0.193
"AB2",1,7,0.27
"AB2",2,7,0.217
"AB2",5,7,0.069
"AB2",10,7,0.007
"AB2",20,7,-0.016
"AB2",0,8,0.187
"AB2",1,8,0.248
"AB2",2,8,0.2
"AB2",5,8,0.13
"AB2",10,8,0.128
"AB2",20,8,-0.014
"AB3",0,0,0
"AB3",1,0,-0.004
"AB3",2,0,-0.004
"AB3",5,0,-0.004
"AB3",10,0,0.007
"AB3",20,0,0.008
"AB3",0,1,0.006
"AB3",1,1,-0.002
"AB3",2,1,0.002
"AB3",5,1,-0.008
"AB3",10,1,-0.01
"AB3",20,1,-0.004
"AB3",0,2,0.183
"AB3",1,2,0.146
"AB3",2,2,0.45
"AB3",5,2,0.01
"AB3",10,2,-0.017
"AB3",20,2,-0.013
"AB3",0,4,0.254
"AB3",1,4,0.3
"AB3",2,4,0.39
"AB3",5,4,0.002
"AB3",10,4,-0.02
"AB3",20,4,-0.009
"AB3",0,7,0.206
"AB3",1,7,0.234
"AB3",2,7,0.248
"AB3",5,7,0.167
"AB3",10,7,-0.006
"AB3",20,7,-0.002
"AB3",0,8,0.174
"AB3",1,8,0.219
"AB3",2,8,0.213
"AB3",5,8,0.168
"AB3",10,8,0.009
"AB3",20,8,0.002
"AB1",0,9,0.148
"AB1",1,9,0.196
"AB1",2,9,0.117
"AB1",5,9,0.193
"AB1",10,9,0.17
"AB1",20,9,0.044
"AB2",0,9,0.157
"AB2",1,9,0.233
"AB2",2,9,0.19
"AB2",5,9,0.113
"AB2",10,9,0.187
"AB2",20,9,-0.017
"AB3",0,9,0.161
"AB3",1,9,0.202
"AB3",2,9,0.203
"AB3",5,9,0.146
"AB3",10,9,0.073
"AB3",20,9,0.004
"AB1",0,10,0.111
"AB1",1,10,0.167
"AB1",2,10,0.095
"AB1",5,10,0.163
"AB1",10,10,0.137
"AB1",20,10,0.146
"AB2",0,10,0.123
"AB2",1,10,0.204
"AB2",2,10,0.163
"AB2",5,10,0.091
"AB2",10,10,0.141
"AB2",20,10,-0.023
"AB3",0,10,0.12
"AB3",1,10,0.165
"AB3",2,10,0.175
"AB3",5,10,0.115
"AB3",10,10,0.1
"AB3",20,10,0.116
"AB1",0,11,0.082
"AB1",1,11,0.152
"AB1",2,11,0.066
"AB1",5,11,0.134
"AB1",10,11,0.109
"AB1",20,11,0.111
"AB2",0,11,0.095
"AB2",1,11,0.176
"AB2",2,11,0.148
"AB2",5,11,0.079
"AB2",10,11,0.117
"AB2",20,11,-0.002
"AB3",0,11,0.096
"AB3",1,11,0.142
"AB3",2,11,0.159
"AB3",5,11,0.091
"AB3",10,11,0.072
"AB3",20,11,0.13
