"culture","concentration.µg.ml","day","OD600"
"AB1",0,0,0.006
"AB1",1,0,0.007
"AB1",2,0,0.003
"AB1",5,0,0.004
"AB1",10,0,0.004
"AB1",20,0,0.002
"AB1",0,1,0.017
"AB1",1,1,0.036
"AB1",2,1,0.019
"AB1",5,1,-0.008
"AB1",10,1,-0.017
"AB1",20,1,-0.023
"AB1",0,3,0.103
"AB1",1,3,0.18
"AB1",2,3,0.125
"AB1",5,3,-0.002
"AB1",10,3,-0.019
"AB1",20,3,-0.023
"AB1",0,6,0.055
"AB1",1,6,0.078
"AB1",2,6,0.11
"AB1",5,6,-0.001
"AB1",10,6,-0.015
"AB1",20,6,-0.019
"AB1",0,7,0.03
"AB1",1,7,0.054
"AB1",2,7,0.091
"AB1",5,7,-0.003
"AB1",10,7,-0.019
"AB1",20,7,-0.019
"AB2",0,0,0.003
"AB2",1,0,0.001
"AB2",2,0,0.004
"AB2",5,0,0
"AB2",10,0,0.002
"AB2",20,0,0.014
"AB2",0,1,0.041
"AB2",1,1,0.036
"AB2",2,1,-0.004
"AB2",5,1,-0.005
"AB2",10,1,-0.013
"AB2",20,1,-0.003
"AB2",0,3,0.191
"AB2",1,3,0.26
"AB2",2,3,0.029
"AB2",5,3,0.001
"AB2",10,3,-0.011
"AB2",20,3,-0.007
"AB2",0,6,0.089
"AB2",1,6,0.15
"AB2",2,6,0.016
"AB2",5,6,0.004
"AB2",10,6,-0.01
"AB2",20,6,0
"AB2",0,7,0.056
"AB2",1,7,0.11
"AB2",2,7,0.017
"AB2",5,7,0
"AB2",10,7,-0.015
"AB2",20,7,-0.003
"AB3",0,0,0.016
"AB3",1,0,0.003
"AB3",2,0,0.006
"AB3",5,0,0.008
"AB3",10,0,0.022
"AB3",20,0,0.01
"AB3",0,1,0.034
"AB3",1,1,0.002
"AB3",2,1,-0.002
"AB3",5,1,-0.02
"AB3",10,1,-0.008
"AB3",20,1,-0.023
"AB3",0,3,0.192
"AB3",1,3,0.263
"AB3",2,3,0.067
"AB3",5,3,0.176
"AB3",10,3,-0.011
"AB3",20,3,-0.025
"AB3",0,6,0.102
"AB3",1,6,0.183
"AB3",2,6,0.094
"AB3",5,6,0.003
"AB3",10,6,0
"AB3",20,6,-0.012
"AB3",0,7,0.075
"AB3",1,7,0.147
"AB3",2,7,0.085
"AB3",5,7,0
"AB3",10,7,-0.004
"AB3",20,7,-0.017
"AB1",0,8,0.018
"AB1",1,8,0.035
"AB1",2,8,0.076
"AB1",5,8,-0.009
"AB1",10,8,-0.021
"AB1",20,8,-0.022
"AB2",0,8,0.033
"AB2",1,8,0.078
"AB2",2,8,0.007
"AB2",5,8,-0.007
"AB2",10,8,-0.015
"AB2",20,8,-0.007
"AB3",0,8,0.055
"AB3",1,8,0.112
"AB3",2,8,0.074
"AB3",5,8,-0.005
"AB3",10,8,-0.005
"AB3",20,8,-0.021
"AB1",0,9,-0.002
"AB1",1,9,0.008
"AB1",2,9,0.043
"AB1",5,9,-0.024
"AB1",10,9,-0.035
"AB1",20,9,-0.035
"AB2",0,9,0.003
"AB2",1,9,0.036
"AB2",2,9,0.004
"AB2",5,9,-0.021
"AB2",10,9,-0.026
"AB2",20,9,-0.019
"AB3",0,9,0.026
"AB3",1,9,0.076
"AB3",2,9,0.052
"AB3",5,9,-0.017
"AB3",10,9,-0.02
"AB3",20,9,-0.033
"AB1",0,10,-0.013
"AB1",1,10,-0.009
"AB1",2,10,0.027
"AB1",5,10,-0.029
"AB1",10,10,-0.037
"AB1",20,10,-0.038
"AB2",0,10,-0.01
"AB2",1,10,0.008
"AB2",2,10,-0.012
"AB2",5,10,-0.027
"AB2",10,10,-0.038
"AB2",20,10,-0.024
"AB3",0,10,0.012
"AB3",1,10,0.054
"AB3",2,10,0.037
"AB3",5,10,-0.023
"AB3",10,10,-0.025
"AB3",20,10,-0.039
