culture,concentration.µg.ml,day,OD600,OD600_adj,OD600_adj_lg
AB1,0,0,-0.002,0.001,-3
AB1,1,0,-0.002,0.001,-3
AB1,2,0,-0.003,0.001,-3
AB1,5,0,0.016,0.016,-1.79588001734408
AB1,10,0,0.008,0.008,-2.09691001300806
AB1,20,0,0.004,0.004,-2.39794000867204
AB1,0,1,0.021,0.021,-1.67778070526608
AB1,1,1,0.026,0.026,-1.58502665202918
AB1,2,1,0.021,0.021,-1.67778070526608
AB1,5,1,0.03,0.03,-1.52287874528034
AB1,10,1,0.004,0.004,-2.39794000867204
AB1,20,1,-0.008,0.001,-3
AB1,0,2,0.131,0.131,-0.882728704344236
AB1,1,2,0.187,0.187,-0.728158393463501
AB1,2,2,0.149,0.149,-0.826813731587726
AB1,5,2,0.073,0.073,-1.13667713987954
AB1,10,2,-0.012,0.001,-3
AB1,20,2,-0.02,0.001,-3
AB1,0,4,0.212,0.212,-0.673664139071249
AB1,1,4,0.315,0.315,-0.5016894462104
AB1,2,4,0.194,0.194,-0.712198270069774
AB1,5,4,0.155,0.155,-0.809668301829709
AB1,10,4,-0.014,0.001,-3
AB1,20,4,-0.018,0.001,-3
AB1,0,7,0.176,0.176,-0.75448733218585
AB1,1,7,0.226,0.226,-0.645891560852599
AB1,2,7,0.14,0.14,-0.853871964321762
AB1,5,7,0.166,0.166,-0.779891911959945
AB1,10,7,0.189,0.189,-0.723538195826756
AB1,20,7,-0.012,0.001,-3
AB1,0,8,0.163,0.163,-0.787812395596042
AB1,1,8,0.207,0.207,-0.684029654543082
AB1,2,8,0.132,0.132,-0.87942606879415
AB1,5,8,0.224,0.224,-0.649751981665837
AB1,10,8,0.181,0.181,-0.742321425130815
AB1,20,8,-0.004,0.001,-3
AB2,0,0,0.006,0.006,-2.22184874961636
AB2,1,0,0.008,0.008,-2.09691001300806
AB2,2,0,0.002,0.002,-2.69897000433602
AB2,5,0,0.027,0.027,-1.56863623584101
AB2,10,0,0.003,0.003,-2.52287874528034
