culture,concentration.µg.ml,day,OD600,OD600_adj,OD600_adj_lg
AB1,0,0,0.006,0.006,-2.22184874961636
AB1,1,0,0.007,0.007,-2.15490195998574
AB1,2,0,0.003,0.003,-2.52287874528034
AB1,5,0,0.004,0.004,-2.39794000867204
AB1,10,0,0.004,0.004,-2.39794000867204
AB1,20,0,0.002,0.002,-2.69897000433602
AB1,0,1,0.017,0.017,-1.76955107862173
AB1,1,1,0.036,0.036,-1.44369749923271
AB1,2,1,0.019,0.019,-1.72124639904717
AB1,5,1,-0.008,0.001,-3
AB1,10,1,-0.017,0.001,-3
AB1,20,1,-0.023,0.001,-3
AB1,0,3,0.103,0.103,-0.987162775294828
AB1,1,3,0.18,0.18,-0.744727494896694
AB1,2,3,0.125,0.125,-0.903089986991944
AB1,5,3,-0.002,0.001,-3
AB1,10,3,-0.019,0.001,-3
AB1,20,3,-0.023,0.001,-3
AB1,0,6,0.055,0.055,-1.25963731050576
AB1,1,6,0.078,0.078,-1.10790539730952
AB1,2,6,0.11,0.11,-0.958607314841775
AB1,5,6,-0.001,0.001,-3
AB1,10,6,-0.015,0.001,-3
AB1,20,6,-0.019,0.001,-3
AB1,0,7,0.03,0.03,-1.52287874528034
AB1,1,7,0.054,0.054,-1.26760624017703
AB1,2,7,0.091,0.091,-1.04095860767891
AB1,5,7,-0.003,0.001,-3
AB1,10,7,-0.019,0.001,-3
AB1,20,7,-0.019,0.001,-3
AB2,0,0,0.003,0.003,-2.52287874528034
AB2,1,0,0.001,0.001,-3
AB2,2,0,0.004,0.004,-2.39794000867204
AB2,5,0,0,0.001,-3
AB2,10,0,0.002,0.002,-2.69897000433602
AB2,20,0,0.014,0.014,-1.85387196432176
AB2,0,1,0.041,0.041,-1.38721614328026
AB2,1,1,0.036,0.036,-1.44369749923271
AB2,2,1,-0.004,0.001,-3
AB2,5,1,-0.005,0.001,-3
AB2,10,1,-0.013,0.001,-3
AB2,20,1,-0.003,0.001,-3
AB2,0,3,0.191,0.191,-0.718966632752272
AB2,1,3,0.26,0.26,-0.585026652029182
AB2,2,3,0.029,0.029,-1.53760200210104
AB2,5,3,0.001,0.001,-3
AB2,10,3,-0.011,0.001,-3
AB2,20,3,-0.007,0.001,-3
AB2,0,6,0.089,0.089,-1.05060999335509
AB2,1,6,0.15,0.15,-0.823908740944319
AB2,2,6,0.016,0.016,-1.79588001734408
AB2,5,6,0.004,0.004,-2.39794000867204
AB2,10,6,-0.01,0.001,-3
AB2,20,6,0,0.001,-3
AB2,0,7,0.056,0.056,-1.2518119729938
AB2,1,7,0.11,0.11,-0.958607314841775
AB2,2,7,0.017,0.017,-1.76955107862173
AB2,5,7,0,0.001,-3
AB2,10,7,-0.015,0.001,-3
AB2,20,7,-0.003,0.001,-3
AB3,0,0,0.016,0.016,-1.79588001734408
AB3,1,0,0.003,0.003,-2.52287874528034
AB3,2,0,0.006,0.006,-2.22184874961636
AB3,5,0,0.008,0.008,-2.09691001300806
AB3,10,0,0.022,0.022,-1.65757731917779
AB3,20,0,0.01,0.01,-2
AB3,0,1,0.034,0.034,-1.46852108295774
AB3,1,1,0.002,0.002,-2.69897000433602
AB3,2,1,-0.002,0.001,-3
