"culture","conc_µg_ml","day","OD600"
"Aza1","+",0,-0.036
"Aza1","DMSO +",0,-0.039
"Aza1","100",0,-0.036
"Aza1","250",0,-0.036
"Aza1","500",0,-0.037
"Aza1","750",0,-0.038
"Aza1","1000",0,-0.038
"Aza1","+",3,0.309
"Aza1","DMSO +",3,0.09
"Aza1","100",3,0.114
"Aza1","250",3,0.055
"Aza1","500",3,0.11
"Aza1","750",3,0.022
"Aza1","1000",3,0.09
"Aza1","+",4,0.287
"Aza1","DMSO +",4,0.082
"Aza1","100",4,0.15
"Aza1","250",4,0.046
"Aza1","500",4,0.114
"Aza1","750",4,0.02
"Aza1","1000",4,0.082
"Aza1","+",5,0.262
"Aza1","DMSO +",5,0.079
"Aza1","100",5,0.16
"Aza1","250",5,0.05
"Aza1","500",5,0.116
"Aza1","750",5,0.054
"Aza1","1000",5,0.087
"Aza1","+",6,0.228
"Aza1","DMSO +",6,0.066
"Aza1","100",6,0.147
"Aza1","250",6,0.045
"Aza1","500",6,0.11
"Aza1","750",6,0.133
"Aza1","1000",6,0.082
"Aza1","+",7,0.203
"Aza1","DMSO +",7,0.056
"Aza1","100",7,0.132
"Aza1","250",7,0.05
"Aza1","500",7,0.107
"Aza1","750",7,0.186
"Aza1","1000",7,0.081
"Aza1","+",10,0.136
"Aza1","DMSO +",10,0.039
"Aza1","100",10,0.083
"Aza1","250",10,0.066
"Aza1","500",10,0.098
"Aza1","750",10,0.201
"Aza1","1000",10,0.07
"Aza1","+",11,0.123
"Aza1","DMSO +",11,0.038
"Aza1","100",11,0.08
"Aza1","250",11,0.074
"Aza1","500",11,0.12
"Aza1","750",11,0.202
"Aza1","1000",11,0.08
"Aza1","+",12,0.111
"Aza1","DMSO +",12,0.032
"Aza1","100",12,0.07
"Aza1","250",12,0.071
"Aza1","500",12,0.158
"Aza1","750",12,0.194
"Aza1","1000",12,0.074
"Aza1","+",13,0.096
"Aza1","DMSO +",13,0.032
"Aza1","100",13,0.069
"Aza1","250",13,0.075
"Aza1","500",13,0.247
"Aza1","750",13,0.184
"Aza1","1000",13,0.073
"Aza1","+",14,0.076
"Aza1","DMSO +",14,0.027
"Aza1","100",14,0.06
"Aza1","250",14,0.092
"Aza1","500",14,0.257
"Aza1","750",14,0.167
"Aza1","1000",14,0.071
"Aza2","+",0,-0.029
"Aza2","DMSO +",0,-0.019
"Aza2","100",0,-0.028
"Aza2","250",0,-0.031
"Aza2","500",0,-0.028
"Aza2","750",0,-0.029
"Aza2","1000",0,-0.032
"Aza2","+",3,0.241
"Aza2","DMSO +",3,0.06
"Aza2","100",3,0.117
"Aza2","250",3,0.028
"Aza2","500",3,0.026
"Aza2","750",3,0.04
"Aza2","1000",3,0.074
"Aza2","+",4,0.214
"Aza2","DMSO +",4,0.055
"Aza2","100",4,0.137
"Aza2","250",4,0.022
"Aza2","500",4,0.022
"Aza2","750",4,0.127
"Aza2","1000",4,0.114
"Aza2","+",5,0.198
"Aza2","DMSO +",5,0.058
"Aza2","100",5,0.133
"Aza2","250",5,0.024
"Aza2","500",5,0.026
"Aza2","750",5,0.118
"Aza2","1000",5,0.106
"Aza2","+",6,0.166
"Aza2","DMSO +",6,0.051
"Aza2","100",6,0.12
"Aza2","250",6,0.024
"Aza2","500",6,0.025
"Aza2","750",6,0.099
"Aza2","1000",6,0.091
"Aza2","+",7,0.142
"Aza2","DMSO +",7,0.043
"Aza2","100",7,0.102
"Aza2","250",7,0.021
"Aza2","500",7,0.02
"Aza2","750",7,0.087
"Aza2","1000",7,0.08
"Aza2","+",10,0.08
"Aza2","DMSO +",10,0.03
"Aza2","100",10,0.073
"Aza2","250",10,0.052
"Aza2","500",10,0.019
"Aza2","750",10,0.07
"Aza2","1000",10,0.066
"Aza2","+",11,0.074
"Aza2","DMSO +",11,0.032
"Aza2","100",11,0.074
"Aza2","250",11,0.065
"Aza2","500",11,0.023
"Aza2","750",11,0.073
"Aza2","1000",11,0.069
"Aza2","+",12,0.065
"Aza2","DMSO +",12,0.026
"Aza2","100",12,0.067
"Aza2","250",12,0.074
"Aza2","500",12,0.017
"Aza2","750",12,0.068
"Aza2","1000",12,0.065
"Aza2","+",13,0.059
"Aza2","DMSO +",13,0.025
"Aza2","100",13,0.07
"Aza2","250",13,0.086
"Aza2","500",13,0.025
"Aza2","750",13,0.068
"Aza2","1000",13,0.064
"Aza2","+",14,0.058
"Aza2","DMSO +",14,0.021
"Aza2","100",14,0.063
"Aza2","250",14,0.085
"Aza2","500",14,0.02
"Aza2","750",14,0.064
"Aza2","1000",14,0.061
"Aza3","+",0,-0.03
"Aza3","DMSO +",0,-0.025
"Aza3","100",0,-0.024
"Aza3","250",0,-0.029
"Aza3","500",0,-0.032
"Aza3","750",0,-0.032
"Aza3","1000",0,-0.032
"Aza3","+",3,0.307
"Aza3","DMSO +",3,0.066
"Aza3","100",3,0.038
"Aza3","250",3,0.031
"Aza3","500",3,0.027
"Aza3","750",3,0.032
"Aza3","1000",3,0.031
"Aza3","+",4,0.306
"Aza3","DMSO +",4,0.064
"Aza3","100",4,0.028
"Aza3","250",4,0.023
"Aza3","500",4,0.021
"Aza3","750",4,0.023
"Aza3","1000",4,0.022
"Aza3","+",5,0.275
"Aza3","DMSO +",5,0.06
"Aza3","100",5,0.03
"Aza3","250",5,0.027
"Aza3","500",5,0.025
"Aza3","750",5,0.027
"Aza3","1000",5,0.027
"Aza3","+",6,0.236
"Aza3","DMSO +",6,0.053
"Aza3","100",6,0.028
"Aza3","250",6,0.027
"Aza3","500",6,0.024
"Aza3","750",6,0.027
"Aza3","1000",6,0.026
"Aza3","+",7,0.207
"Aza3","DMSO +",7,0.048
"Aza3","100",7,0.023
"Aza3","250",7,0.022
"Aza3","500",7,0.02
"Aza3","750",7,0.023
"Aza3","1000",7,0.023
"Aza3","+",10,0.142
"Aza3","DMSO +",10,0.031
"Aza3","100",10,0.017
"Aza3","250",10,0.017
"Aza3","500",10,0.016
"Aza3","750",10,0.02
"Aza3","1000",10,0.021
"Aza3","+",11,0.137
"Aza3","DMSO +",11,0.033
"Aza3","100",11,0.019
"Aza3","250",11,0.02
"Aza3","500",11,0.02
"Aza3","750",11,0.023
"Aza3","1000",11,0.022
"Aza3","+",12,0.125
"Aza3","DMSO +",12,0.027
"Aza3","100",12,0.016
"Aza3","250",12,0.02
"Aza3","500",12,0.017
"Aza3","750",12,0.019
"Aza3","1000",12,0.019
"Aza3","+",13,0.113
"Aza3","DMSO +",13,0.027
"Aza3","100",13,0.016
"Aza3","250",13,0.019
"Aza3","500",13,0.018
"Aza3","750",13,0.02
"Aza3","1000",13,0.023
"Aza3","+",14,0.107
"Aza3","DMSO +",14,0.024
"Aza3","100",14,0.014
"Aza3","250",14,0.021
"Aza3","500",14,0.015
"Aza3","750",14,0.017
"Aza3","1000",14,0.022
