"day","conc_µg_ml","OD600_mean","sd_OD600"
0,"+",0.0416666666666667,0.00251661147842358
0,"100",0.0416666666666667,0.00351188458428425
0,"1000",0.0433333333333333,0.00416333199893227
0,"250",0.0423333333333333,0.00404145188432738
0,"500",0.0426666666666667,0.00665832811847939
0,"750",0.045,0.00953939201416946
0,"DMSO +",0.0396666666666667,0.00472581562625261
0,"DMSO -",0.028,0.00556776436283002
1,"+",0.0463333333333333,0.00450924975282289
1,"100",0.0436666666666667,0.00288675134594813
1,"1000",0.0386666666666667,0.0030550504633039
1,"250",0.0426666666666667,0.00152752523165194
1,"500",0.0406666666666667,0.00115470053837925
1,"750",0.038,0
1,"DMSO +",0.044,0.00556776436283002
1,"DMSO -",0.031,0.00173205080756888
2,"+",0.0526666666666667,0.00737111479583199
2,"100",0.035,0.00264575131106459
2,"1000",0.0333333333333333,0.0055075705472861
2,"250",0.034,0.004
2,"500",0.0343333333333333,0.0055075705472861
2,"750",0.04,0.00692820323027551
2,"DMSO +",0.133,0.149889959637062
2,"DMSO -",0.0316666666666667,0.00305505046330389
5,"+",0.069,0.0286879765755621
5,"100",0.028,0.00360555127546399
5,"1000",0.0353333333333333,0.00702376916856849
5,"250",0.029,0.00360555127546399
5,"500",0.0323333333333333,0.00416333199893226
5,"750",0.0316666666666667,0.00251661147842358
5,"DMSO +",0.053,0.0194679223339318
5,"DMSO -",0.0333333333333333,0.000577350269189626
6,"+",0.074,0.0425793377120875
6,"100",0.0263333333333333,0.00152752523165195
6,"1000",0.0303333333333333,0.00152752523165195
6,"250",0.03,0.00346410161513776
6,"500",0.0316666666666667,0.00450924975282289
6,"750",0.0306666666666667,0.00378593889720018
6,"DMSO +",0.054,0.00781024967590666
6,"DMSO -",0.034,0.00360555127546399
7,"+",0.0753333333333333,0.0508461732417823
7,"100",0.0216666666666667,0.00208166599946613
7,"1000",0.0383333333333333,0.00907377172587747
7,"250",0.0246666666666667,0.0023094010767585
7,"500",0.0283333333333333,0.00208166599946613
7,"750",0.0266666666666667,0.00208166599946613
7,"DMSO +",0.0406666666666667,0.0110151410945722
7,"DMSO -",0.03,0.000999999999999999
8,"+",0.0876666666666667,0.0695725041473522
8,"100",0.0203333333333333,0.00513160143944688
8,"1000",0.02,0.00173205080756888
8,"250",0.021,0.00264575131106459
8,"500",0.024,0.00264575131106459
8,"750",0.0223333333333333,0.00288675134594813
8,"DMSO +",0.0336666666666667,0.0111504857891185
8,"DMSO -",0.0256666666666667,0.0023094010767585
9,"+",0.100333333333333,0.0646554973171913
9,"100",0.0233333333333333,0.000577350269189626
9,"1000",0.0333333333333333,0.00321455025366432
9,"250",0.025,0.00264575131106459
9,"500",0.031,0.002
9,"750",0.035,0.009
9,"DMSO +",0.0343333333333333,0.00493288286231625
9,"DMSO -",0.0383333333333333,0.0102632028788938
12,"+",0.126,0.0567890834580027
12,"100",0.0246666666666667,0.00404145188432738
12,"1000",0.03,0.000999999999999999
12,"250",0.0266666666666667,0.00152752523165195
12,"500",0.0296666666666667,0.00404145188432738
12,"750",0.0326666666666667,0.000577350269189626
12,"DMSO +",0.038,0.0115325625946708
12,"DMSO -",0.037,0.00264575131106459
13,"+",0.102333333333333,0.0365285276644616
13,"100",0.017,0.000999999999999999
13,"1000",0.0256666666666667,0.0055075705472861
13,"250",0.022,0.00608276253029822
13,"500",0.021,0.00435889894354067
13,"750",0.023,0.001
13,"DMSO +",0.032,0.013856406460551
13,"DMSO -",0.0296666666666667,0.0023094010767585
14,"+",0.0973333333333333,0.0253245598842968
14,"100",0.0213333333333333,0.00251661147842358
14,"1000",0.027,0.00264575131106459
14,"250",0.025,0.00264575131106459
14,"500",0.0256666666666667,0.00115470053837925
14,"750",0.028,0.002
14,"DMSO +",0.0363333333333333,0.0130511813003013
14,"DMSO -",0.0326666666666667,0.00305505046330389
15,"+",0.108333333333333,0.0249466096560902
15,"100",0.0353333333333333,0.00611010092660779
15,"1000",0.041,0.00346410161513775
15,"250",0.0386666666666667,0.00152752523165195
15,"500",0.0436666666666667,0.00152752523165194
15,"750",0.041,0.002
15,"DMSO +",0.0506666666666667,0.0159478316185409
15,"DMSO -",0.0456666666666667,0.0055075705472861
16,"+",0.095,0.028
16,"100",0.0243333333333333,0.00305505046330389
16,"1000",0.029,0.002
16,"250",0.0306666666666667,0.00378593889720018
16,"500",0.0313333333333333,0.00208166599946613
16,"750",0.0313333333333333,0.00152752523165195
16,"DMSO +",0.0426666666666667,0.0170098010962308
16,"DMSO -",0.0406666666666667,0.0045092497528229
19,"+",0.0226666666666667,0.0413561764834871
19,"100",-0.046,0.00435889894354067
19,"1000",-0.031,0.023388031127053
19,"250",-0.038,0.00264575131106459
19,"500",-0.03,0.0208806130178211
19,"750",-0.026,0.0216333076527839
19,"DMSO +",-0.0126666666666667,0.0312143129562919
19,"DMSO -",-0.0303333333333333,0.00404145188432738
