"culture","conc_µg_ml","day","OD600"
"Aza1","+",0,0.039
"Aza1","DMSO +",0,0.036
"Aza1","DMSO -",0,0.027
"Aza1","100",0,0.042
"Aza1","250",0,0.038
"Aza1","500",0,0.037
"Aza1","750",0,0.04
"Aza1","1000",0,0.048
"Aza1","+",1,0.051
"Aza1","DMSO +",1,0.049
"Aza1","DMSO -",1,0.032
"Aza1","100",1,0.042
"Aza1","250",1,0.041
"Aza1","500",1,0.04
"Aza1","750",1,0.038
"Aza1","1000",1,0.036
"Aza1","+",2,0.061
"Aza1","DMSO +",2,0.051
"Aza1","DMSO -",2,0.029
"Aza1","100",2,0.033
"Aza1","250",2,0.03
"Aza1","500",2,0.029
"Aza1","750",2,0.048
"Aza1","1000",2,0.028
"Aza1","+",5,0.102
"Aza1","DMSO +",5,0.046
"Aza1","DMSO -",5,0.033
"Aza1","100",5,0.025
"Aza1","250",5,0.025
"Aza1","500",5,0.029
"Aza1","750",5,0.029
"Aza1","1000",5,0.028
"Aza1","+",6,0.123
"Aza1","DMSO +",6,0.058
"Aza1","DMSO -",6,0.038
"Aza1","100",6,0.026
"Aza1","250",6,0.026
"Aza1","500",6,0.027
"Aza1","750",6,0.029
"Aza1","1000",6,0.03
"Aza1","+",7,0.134
"Aza1","DMSO +",7,0.046
"Aza1","DMSO -",7,0.031
"Aza1","100",7,0.02
"Aza1","250",7,0.022
"Aza1","500",7,0.03
"Aza1","750",7,0.026
"Aza1","1000",7,0.037
"Aza1","+",8,0.168
"Aza1","DMSO +",8,0.038
"Aza1","DMSO -",8,0.027
"Aza1","100",8,0.026
"Aza1","250",8,0.019
"Aza1","500",8,0.022
"Aza1","750",8,0.024
"Aza1","1000",8,0.018
"Aza1","+",9,0.174
"Aza1","DMSO +",9,0.04
"Aza1","DMSO -",9,0.041
"Aza1","100",9,0.023
"Aza1","250",9,0.022
"Aza1","500",9,0.031
"Aza1","750",9,0.026
"Aza1","1000",9,0.031
"Aza1","+",12,0.166
"Aza1","DMSO +",12,0.037
"Aza1","DMSO -",12,0.04
"Aza1","100",12,0.024
"Aza1","250",12,0.028
"Aza1","500",12,0.029
"Aza1","750",12,0.032
"Aza1","1000",12,0.031
"Aza1","+",13,0.138
"Aza1","DMSO +",13,0.024
"Aza1","DMSO -",13,0.031
"Aza1","100",13,0.018
"Aza1","250",13,0.015
"Aza1","500",13,0.018
"Aza1","750",13,0.023
"Aza1","1000",13,0.022
"Aza1","+",14,0.126
"Aza1","DMSO +",14,0.032
"Aza1","DMSO -",14,0.036
"Aza1","100",14,0.024
"Aza1","250",14,0.022
"Aza1","500",14,0.025
"Aza1","750",14,0.028
"Aza1","1000",14,0.025
"Aza1","+",15,0.127
"Aza1","DMSO +",15,0.043
"Aza1","DMSO -",15,0.052
"Aza1","100",15,0.034
"Aza1","250",15,0.037
"Aza1","500",15,0.044
"Aza1","750",15,0.041
"Aza1","1000",15,0.039
"Aza1","+",16,0.107
"Aza1","DMSO +",16,0.036
"Aza1","DMSO -",16,0.045
"Aza1","100",16,0.025
"Aza1","250",16,0.028
"Aza1","500",16,0.032
"Aza1","750",16,0.031
"Aza1","1000",16,0.031
"Aza1","+",19,0.049
"Aza1","DMSO +",19,-0.026
"Aza1","DMSO -",19,-0.028
"Aza1","100",19,-0.048
"Aza1","250",19,-0.04
"Aza1","500",19,-0.006
"Aza1","750",19,-0.002
"Aza1","1000",19,-0.004
"Aza2","+",0,0.042
"Aza2","DMSO +",0,0.038
"Aza2","DMSO -",0,0.023
"Aza2","100",0,0.038
"Aza2","250",0,0.043
"Aza2","500",0,0.041
"Aza2","750",0,0.039
"Aza2","1000",0,0.042
"Aza2","+",1,0.042
"Aza2","DMSO +",1,0.038
"Aza2","DMSO -",1,0.029
"Aza2","100",1,0.042
"Aza2","250",1,0.043
"Aza2","500",1,0.04
"Aza2","750",1,0.038
"Aza2","1000",1,0.042
"Aza2","+",2,0.047
"Aza2","DMSO +",2,0.042
"Aza2","DMSO -",2,0.035
"Aza2","100",2,0.034
"Aza2","250",2,0.034
"Aza2","500",2,0.04
"Aza2","750",2,0.036
"Aza2","1000",2,0.039
"Aza2","+",5,0.055
"Aza2","DMSO +",5,0.038
"Aza2","DMSO -",5,0.034
"Aza2","100",5,0.027
"Aza2","250",5,0.03
"Aza2","500",5,0.037
"Aza2","750",5,0.034
"Aza2","1000",5,0.036
"Aza2","+",6,0.053
"Aza2","DMSO +",6,0.045
"Aza2","DMSO -",6,0.031
"Aza2","100",6,0.025
"Aza2","250",6,0.032
"Aza2","500",6,0.032
"Aza2","750",6,0.035
"Aza2","1000",6,0.029
"Aza2","+",7,0.048
"Aza2","DMSO +",7,0.028
"Aza2","DMSO -",7,0.029
"Aza2","100",7,0.021
"Aza2","250",7,0.026
"Aza2","500",7,0.029
"Aza2","750",7,0.029
"Aza2","1000",7,0.03
"Aza2","+",8,0.047
"Aza2","DMSO +",8,0.021
"Aza2","DMSO -",8,0.027
"Aza2","100",8,0.016
"Aza2","250",8,0.02
"Aza2","500",8,0.027
"Aza2","750",8,0.024
"Aza2","1000",8,0.021
"Aza2","+",9,0.053
"Aza2","DMSO +",9,0.031
"Aza2","DMSO -",9,0.027
"Aza2","100",9,0.024
"Aza2","250",9,0.026
"Aza2","500",9,0.029
"Aza2","750",9,0.035
"Aza2","1000",9,0.032
"Aza2","+",12,0.061
"Aza2","DMSO +",12,0.027
"Aza2","DMSO -",12,0.035
"Aza2","100",12,0.021
"Aza2","250",12,0.025
"Aza2","500",12,0.034
"Aza2","750",12,0.033
"Aza2","1000",12,0.03
"Aza2","+",13,0.065
"Aza2","DMSO +",13,0.024
"Aza2","DMSO -",13,0.027
"Aza2","100",13,0.016
"Aza2","250",13,0.026
"Aza2","500",13,0.026
"Aza2","750",13,0.024
"Aza2","1000",13,0.023
"Aza2","+",14,0.078
"Aza2","DMSO +",14,0.026
"Aza2","DMSO -",14,0.03
"Aza2","100",14,0.019
"Aza2","250",14,0.026
"Aza2","500",14,0.027
"Aza2","750",14,0.03
"Aza2","1000",14,0.03
"Aza2","+",15,0.118
"Aza2","DMSO +",15,0.04
"Aza2","DMSO -",15,0.042
"Aza2","100",15,0.03
"Aza2","250",15,0.04
"Aza2","500",15,0.045
"Aza2","750",15,0.043
"Aza2","1000",15,0.039
"Aza2","+",16,0.115
"Aza2","DMSO +",16,0.03
"Aza2","DMSO -",16,0.041
"Aza2","100",16,0.021
"Aza2","250",16,0.029
"Aza2","500",16,0.033
"Aza2","750",16,0.033
"Aza2","1000",16,0.027
"Aza2","+",19,0.044
"Aza2","DMSO +",19,-0.035
"Aza2","DMSO -",19,-0.028
"Aza2","100",19,-0.041
"Aza2","250",19,-0.035
"Aza2","500",19,-0.04
"Aza2","750",19,-0.032
"Aza2","1000",19,-0.045
"Aza3","+",0,0.044
"Aza3","DMSO +",0,0.045
"Aza3","DMSO -",0,0.034
"Aza3","100",0,0.045
"Aza3","250",0,0.046
"Aza3","500",0,0.05
"Aza3","750",0,0.056
"Aza3","1000",0,0.04
"Aza3","+",1,0.046
"Aza3","DMSO +",1,0.045
"Aza3","DMSO -",1,0.032
"Aza3","100",1,0.047
"Aza3","250",1,0.044
"Aza3","500",1,0.042
"Aza3","750",1,0.038
"Aza3","1000",1,0.038
