"day","conc_µg_ml","OD600_mean","sd_OD600"
0,"+",0.046,0.00458257569495584
0,"100",0.047,0.00360555127546399
0,"1000",0.038,0.00793725393319377
0,"250",0.039,0.001
0,"500",0.0436666666666667,0.00152752523165194
0,"750",0.0373333333333333,0.00305505046330389
0,"DMSO +",0.0416666666666667,0.00288675134594813
1,"+",0.269333333333333,0.0215019378971602
1,"100",0.253,0.00818535277187246
1,"1000",0.25,0.0115325625946708
1,"250",0.248,0.00964365076099296
1,"500",0.259666666666667,0.0102143689640297
1,"750",0.255,0.00953939201416946
1,"DMSO +",0.246,0.0115325625946708
2,"+",0.198666666666667,0.105708719287168
2,"100",0.0826666666666667,0.0150443787951957
2,"1000",0.107666666666667,0.0256580071972344
2,"250",0.0796666666666667,0.0100664459136943
2,"500",0.0926666666666667,0.0332014055927356
2,"750",0.085,0.013228756555323
2,"DMSO +",0.129333333333333,0.0570116947067295
3,"+",0.274,0.138459380325061
3,"100",0.04,0.013
3,"1000",0.042,0.00346410161513775
3,"250",0.0443333333333333,0.00416333199893227
3,"500",0.046,0.01113552872566
3,"750",0.043,0.00754983443527075
3,"DMSO +",0.248666666666667,0.14138363884599
4,"+",0.368666666666667,0.101105555402922
4,"100",0.038,0.0104403065089106
4,"1000",0.029,0.0101488915650922
4,"250",0.036,0.00264575131106459
4,"500",0.0346666666666667,0.00577350269189626
4,"750",0.0323333333333333,0.00776745346515403
4,"DMSO +",0.332,0.0920489000477464
7,"+",0.311666666666667,0.085231058501777
7,"100",0.0286666666666667,0.0208166599946613
7,"1000",0.0433333333333333,0.00802080627701064
7,"250",0.0373333333333333,0.0206478408879314
7,"500",0.0723333333333333,0.0820812605491249
7,"750",0.058,0.019313207915828
7,"DMSO +",0.272333333333333,0.0361155552820849
8,"+",0.292333333333333,0.0820081296783028
8,"100",0.0686666666666667,0.0696586917285512
8,"1000",0.046,0.00793725393319377
8,"250",0.064,0.0287923600977759
8,"500",0.0933333333333333,0.0947487906695032
8,"750",0.085,0.0343947670438397
8,"DMSO +",0.266333333333333,0.0250066657780147
9,"+",0.277333333333333,0.0542432791535812
9,"100",0.177666666666667,0.106284210178809
9,"1000",0.0406666666666667,0.00757187779440036
9,"250",0.0753333333333333,0.0398036849215413
9,"500",0.106333333333333,0.110464172170588
9,"750",0.0913333333333333,0.0419324854180304
9,"DMSO +",0.249,0.0246373699895098
10,"+",0.292333333333333,0.0690096611593865
10,"100",0.396666666666667,0.10371756521117
10,"1000",0.034,0.00793725393319377
10,"250",0.0666666666666667,0.0352183664205672
10,"500",0.111666666666667,0.121166552040294
10,"750",0.083,0.0372692903071684
10,"DMSO +",0.236666666666667,0.0184481254693623
11,"+",0.258666666666667,0.104040056388553
11,"100",0.411333333333333,0.119001400551982
11,"1000",0.0363333333333333,0.00776745346515403
11,"250",0.0646666666666667,0.0299388265189759
11,"500",0.120333333333333,0.126270872862008
11,"750",0.0773333333333333,0.0358096821171779
11,"DMSO +",0.233,0.0138924439894498
14,"+",0.262333333333333,0.0587735768295017
14,"100",0.363333333333333,0.0727278030283696
14,"1000",0.0383333333333333,0.00602771377334171
14,"250",0.360666666666667,0.134767701372893
14,"500",0.149333333333333,0.174654897822344
14,"750",0.072,0.0336452076825214
14,"DMSO +",0.229666666666667,0.0340342964277702
15,"+",0.256,0.0602577795807313
15,"100",0.356333333333333,0.0850078427754365
15,"1000",0.038,0.0062449979983984
15,"250",0.339333333333333,0.122622727637797
15,"500",0.158333333333333,0.185057648675577
15,"750",0.0733333333333333,0.0393742724800514
15,"DMSO +",0.229333333333333,0.0300055550412475
