"culture","conc_µg_ml","day","OD600"
"Aza1","+",0,0.05
"Aza1","DMSO +",0,0.04
"Aza1","100",0,0.046
"Aza1","250",0,0.038
"Aza1","500",0,0.044
"Aza1","750",0,0.034
"Aza1","1000",0,0.029
"Aza1","+",1,0.291
"Aza1","DMSO +",1,0.234
"Aza1","100",1,0.262
"Aza1","250",1,0.241
"Aza1","500",1,0.248
"Aza1","750",1,0.256
"Aza1","1000",1,0.238
"Aza1","+",2,0.308
"Aza1","DMSO +",2,0.064
"Aza1","100",2,0.1
"Aza1","250",2,0.081
"Aza1","500",2,0.074
"Aza1","750",2,0.08
"Aza1","1000",2,0.086
"Aza1","+",3,0.339
"Aza1","DMSO +",3,0.086
"Aza1","100",3,0.055
"Aza1","250",3,0.049
"Aza1","500",3,0.036
"Aza1","750",3,0.036
"Aza1","1000",3,0.04
"Aza1","+",4,0.302
"Aza1","DMSO +",4,0.249
"Aza1","100",4,0.05
"Aza1","250",4,0.039
"Aza1","500",4,0.028
"Aza1","750",4,0.026
"Aza1","1000",4,0.02
"Aza1","+",7,0.259
"Aza1","DMSO +",7,0.253
"Aza1","100",7,0.052
"Aza1","250",7,0.061
"Aza1","500",7,0.021
"Aza1","750",7,0.037
"Aza1","1000",7,0.035
"Aza1","+",8,0.247
"Aza1","DMSO +",8,0.267
"Aza1","100",8,0.149
"Aza1","250",8,0.097
"Aza1","500",8,0.028
"Aza1","750",8,0.047
"Aza1","1000",8,0.037
"Aza1","+",9,0.229
"Aza1","DMSO +",9,0.246
"Aza1","100",9,0.3
"Aza1","250",9,0.121
"Aza1","500",9,0.03
"Aza1","750",9,0.043
"Aza1","1000",9,0.032
"Aza1","+",10,0.242
"Aza1","DMSO +",10,0.232
"Aza1","100",10,0.278
"Aza1","250",10,0.107
"Aza1","500",10,0.031
"Aza1","750",10,0.04
"Aza1","1000",10,0.025
"Aza1","+",11,0.153
"Aza1","DMSO +",11,0.226
"Aza1","100",11,0.274
"Aza1","250",11,0.099
"Aza1","500",11,0.042
"Aza1","750",11,0.036
"Aza1","1000",11,0.03
"Aza1","+",14,0.224
"Aza1","DMSO +",14,0.203
"Aza1","100",14,0.28
"Aza1","250",14,0.307
"Aza1","500",14,0.05
"Aza1","750",14,0.034
"Aza1","1000",14,0.032
"Aza1","+",15,0.202
"Aza1","DMSO +",15,0.203
"Aza1","100",15,0.259
"Aza1","250",15,0.283
"Aza1","500",15,0.049
"Aza1","750",15,0.028
"Aza1","1000",15,0.031
"Aza2","+",0,0.041
"Aza2","DMSO +",0,0.04
"Aza2","100",0,0.051
"Aza2","250",0,0.039
"Aza2","500",0,0.045
"Aza2","750",0,0.038
"Aza2","1000",0,0.044
"Aza2","+",1,0.248
"Aza2","DMSO +",1,0.247
"Aza2","100",1,0.251
"Aza2","250",1,0.244
"Aza2","500",1,0.267
"Aza2","750",1,0.264
"Aza2","1000",1,0.251
"Aza2","+",2,0.097
"Aza2","DMSO +",2,0.169
"Aza2","100",2,0.075
"Aza2","250",2,0.069
"Aza2","500",2,0.131
"Aza2","750",2,0.1
"Aza2","1000",2,0.101
"Aza2","+",3,0.115
"Aza2","DMSO +",3,0.342
"Aza2","100",3,0.032
"Aza2","250",3,0.041
"Aza2","500",3,0.058
"Aza2","750",3,0.051
"Aza2","1000",3,0.04
"Aza2","+",4,0.485
"Aza2","DMSO +",4,0.316
"Aza2","100",4,0.033
"Aza2","250",4,0.034
"Aza2","500",4,0.038
"Aza2","750",4,0.041
"Aza2","1000",4,0.027
"Aza2","+",7,0.41
"Aza2","DMSO +",7,0.25
"Aza2","100",7,0.012
"Aza2","250",7,0.028
"Aza2","500",7,0.167
"Aza2","750",7,0.062
"Aza2","1000",7,0.044
"Aza2","+",8,0.387
"Aza2","DMSO +",8,0.241
"Aza2","100",8,0.025
"Aza2","250",8,0.051
"Aza2","500",8,0.202
"Aza2","750",8,0.094
"Aza2","1000",8,0.049
"Aza2","+",9,0.336
"Aza2","DMSO +",9,0.226
"Aza2","100",9,0.125
"Aza2","250",9,0.057
"Aza2","500",9,0.233
"Aza2","750",9,0.118
"Aza2","1000",9,0.044
"Aza2","+",10,0.371
"Aza2","DMSO +",10,0.221
"Aza2","100",10,0.47
"Aza2","250",10,0.051
"Aza2","500",10,0.251
"Aza2","750",10,0.106
"Aza2","1000",10,0.037
"Aza2","+",11,0.361
"Aza2","DMSO +",11,0.224
"Aza2","100",11,0.484
"Aza2","250",11,0.051
"Aza2","500",11,0.266
"Aza2","750",11,0.099
"Aza2","1000",11,0.034
"Aza2","+",14,0.33
"Aza2","DMSO +",14,0.218
"Aza2","100",14,0.414
"Aza2","250",14,0.261
"Aza2","500",14,0.351
"Aza2","750",14,0.098
"Aza2","1000",14,0.039
"Aza2","+",15,0.321
"Aza2","DMSO +",15,0.223
"Aza2","100",15,0.416
"Aza2","250",15,0.255
"Aza2","500",15,0.372
"Aza2","750",15,0.099
"Aza2","1000",15,0.04
"Aza3","+",0,0.047
"Aza3","DMSO +",0,0.045
"Aza3","100",0,0.044
"Aza3","250",0,0.04
"Aza3","500",0,0.042
"Aza3","750",0,0.04
"Aza3","1000",0,0.041
"Aza3","+",1,0.269
"Aza3","DMSO +",1,0.257
"Aza3","100",1,0.246
"Aza3","250",1,0.259
"Aza3","500",1,0.264
"Aza3","750",1,0.245
"Aza3","1000",1,0.261
"Aza3","+",2,0.191
"Aza3","DMSO +",2,0.155
"Aza3","100",2,0.073
"Aza3","250",2,0.089
"Aza3","500",2,0.073
"Aza3","750",2,0.075
"Aza3","1000",2,0.136
"Aza3","+",3,0.368
"Aza3","DMSO +",3,0.318
"Aza3","100",3,0.033
"Aza3","250",3,0.043
"Aza3","500",3,0.044
"Aza3","750",3,0.042
"Aza3","1000",3,0.046
"Aza3","+",4,0.319
"Aza3","DMSO +",4,0.431
"Aza3","100",4,0.031
"Aza3","250",4,0.035
"Aza3","500",4,0.038
"Aza3","750",4,0.03
"Aza3","1000",4,0.04
"Aza3","+",7,0.266
"Aza3","DMSO +",7,0.314
"Aza3","100",7,0.022
"Aza3","250",7,0.023
"Aza3","500",7,0.029
"Aza3","750",7,0.075
"Aza3","1000",7,0.051
"Aza3","+",8,0.243
"Aza3","DMSO +",8,0.291
"Aza3","100",8,0.032
"Aza3","250",8,0.044
"Aza3","500",8,0.05
"Aza3","750",8,0.114
"Aza3","1000",8,0.052
"Aza3","+",9,0.267
"Aza3","DMSO +",9,0.275
"Aza3","100",9,0.108
"Aza3","250",9,0.048
"Aza3","500",9,0.056
"Aza3","750",9,0.113
"Aza3","1000",9,0.046
"Aza3","+",10,0.264
"Aza3","DMSO +",10,0.257
"Aza3","100",10,0.442
"Aza3","250",10,0.042
"Aza3","500",10,0.053
"Aza3","750",10,0.103
"Aza3","1000",10,0.04
"Aza3","+",11,0.262
"Aza3","DMSO +",11,0.249
"Aza3","100",11,0.476
"Aza3","250",11,0.044
"Aza3","500",11,0.053
"Aza3","750",11,0.097
"Aza3","1000",11,0.045
"Aza3","+",14,0.233
"Aza3","DMSO +",14,0.268
"Aza3","100",14,0.396
"Aza3","250",14,0.514
"Aza3","500",14,0.047
"Aza3","750",14,0.084
"Aza3","1000",14,0.044
"Aza3","+",15,0.245
"Aza3","DMSO +",15,0.262
"Aza3","100",15,0.394
"Aza3","250",15,0.48
"Aza3","500",15,0.054
"Aza3","750",15,0.093
"Aza3","1000",15,0.043
