culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza1,+,0,0.03,0.03,-1.52287874528034
Aza1,DMSO +,0,0.037,0.037,-1.43179827593301
Aza1,100,0,0.023,0.023,-1.63827216398241
Aza1,250,0,0.016,0.016,-1.79588001734408
Aza1,500,0,0.008,0.008,-2.09691001300806
Aza1,750,0,0.005,0.005,-2.30102999566398
Aza1,1000,0,0.007,0.007,-2.15490195998574
Aza1,+,1,0.099,0.099,-1.00436480540245
Aza1,DMSO +,1,-0.011,0.001,-3
Aza1,100,1,0.023,0.023,-1.63827216398241
Aza1,250,1,-0.009,0.001,-3
Aza1,500,1,-0.021,0.001,-3
Aza1,750,1,-0.017,0.001,-3
Aza1,1000,1,-0.028,0.001,-3
Aza1,+,2,0.206,0.206,-0.686132779630847
Aza1,DMSO +,2,0.028,0.028,-1.55284196865778
Aza1,100,2,0.065,0.065,-1.18708664335714
Aza1,250,2,-0.003,0.001,-3
Aza1,500,2,-0.013,0.001,-3
Aza1,750,2,-0.017,0.001,-3
Aza1,1000,2,-0.021,0.001,-3
Aza1,+,3,0.224,0.224,-0.649751981665837
Aza1,DMSO +,3,0.029,0.029,-1.53760200210104
Aza1,100,3,0.096,0.096,-1.01772876696043
Aza1,250,3,0.006,0.006,-2.22184874961636
Aza1,500,3,-0.021,0.001,-3
Aza1,750,3,-0.026,0.001,-3
Aza1,1000,3,-0.023,0.001,-3
Aza1,+,6,0.189,0.189,-0.723538195826756
Aza1,DMSO +,6,0.101,0.101,-0.995678626217357
Aza1,100,6,0.119,0.119,-0.924453038607469
Aza1,250,6,0.097,0.097,-1.01322826573376
Aza1,500,6,0.042,0.042,-1.3767507096021
Aza1,750,6,0.035,0.035,-1.45593195564972
Aza1,1000,6,0.034,0.034,-1.46852108295774
Aza1,+,7,0.162,0.162,-0.790484985457369
Aza1,DMSO +,7,0.088,0.088,-1.05551732784983
Aza1,100,7,0.101,0.101,-0.995678626217357
Aza1,250,7,0.125,0.125,-0.903089986991944
Aza1,500,7,0.032,0.032,-1.49485002168009
Aza1,750,7,0.031,0.031,-1.50863830616573
Aza1,1000,7,0.029,0.029,-1.53760200210104
Aza1,+,8,0.159,0.159,-0.798602875679548
Aza1,DMSO +,8,0.086,0.086,-1.06550154875643
Aza1,100,8,0.109,0.109,-0.962573502059376
Aza1,250,8,0.137,0.137,-0.863279432843593
Aza1,500,8,0.039,0.039,-1.4089353929735
Aza1,750,8,0.034,0.034,-1.46852108295774
Aza1,1000,8,0.036,0.036,-1.44369749923271
Aza1,+,9,0.131,0.131,-0.882728704344236
Aza1,DMSO +,9,0.073,0.073,-1.13667713987954
Aza1,100,9,0.105,0.105,-0.978810700930062
Aza1,250,9,0.11,0.11,-0.958607314841775
Aza1,500,9,0.035,0.035,-1.45593195564972
Aza1,750,9,0.033,0.033,-1.48148606012211
Aza1,1000,9,0.031,0.031,-1.50863830616573
Aza1,+,10,0.113,0.113,-0.94692155651658
Aza1,DMSO +,10,0.061,0.061,-1.21467016498923
Aza1,100,10,0.095,0.095,-1.02227639471115
Aza1,250,10,0.082,0.082,-1.08618614761628
Aza1,500,10,0.038,0.038,-1.42021640338319
Aza1,750,10,0.027,0.027,-1.56863623584101
Aza1,1000,10,0.031,0.031,-1.50863830616573
Aza1,+,13,0.071,0.071,-1.14874165128092
Aza1,DMSO +,13,0.061,0.061,-1.21467016498923
Aza1,100,13,0.078,0.078,-1.10790539730952
Aza1,250,13,0.062,0.062,-1.20760831050175
Aza1,500,13,0.049,0.049,-1.30980391997149
Aza1,750,13,0.037,0.037,-1.43179827593301
Aza1,1000,13,0.028,0.028,-1.55284196865778
Aza2,+,0,0.006,0.006,-2.22184874961636
Aza2,DMSO +,0,0.003,0.003,-2.52287874528034
Aza2,100,0,-0.007,0.001,-3
Aza2,250,0,-0.009,0.001,-3
Aza2,500,0,-0.026,0.001,-3
Aza2,750,0,-0.023,0.001,-3
Aza2,1000,0,-0.018,0.001,-3
Aza2,+,1,0.052,0.052,-1.2839966563652
Aza2,DMSO +,1,-0.017,0.001,-3
Aza2,100,1,0.011,0.011,-1.95860731484178
Aza2,250,1,-0.005,0.001,-3
Aza2,500,1,-0.023,0.001,-3
Aza2,750,1,-0.02,0.001,-3
Aza2,1000,1,-0.025,0.001,-3
Aza2,+,2,0.19,0.19,-0.721246399047171
Aza2,DMSO +,2,0.031,0.031,-1.50863830616573
Aza2,100,2,0.099,0.099,-1.00436480540245
Aza2,250,2,0.022,0.022,-1.65757731917779
Aza2,500,2,-0.019,0.001,-3
Aza2,750,2,-0.018,0.001,-3
Aza2,1000,2,-0.022,0.001,-3
Aza2,+,3,0.245,0.245,-0.610833915635468
Aza2,DMSO +,3,0.051,0.051,-1.29242982390206
Aza2,100,3,0.133,0.133,-0.876148359032914
Aza2,250,3,0.036,0.036,-1.44369749923271
Aza2,500,3,-0.02,0.001,-3
Aza2,750,3,-0.022,0.001,-3
Aza2,1000,3,-0.027,0.001,-3
Aza2,+,6,0.172,0.172,-0.764471553092451
Aza2,DMSO +,6,0.094,0.094,-1.0268721464003
Aza2,100,6,0.151,0.151,-0.821023052706831
Aza2,250,6,0.084,0.084,-1.07572071393812
Aza2,500,6,0.034,0.034,-1.46852108295774
Aza2,750,6,0.035,0.035,-1.45593195564972
Aza2,1000,6,0.034,0.034,-1.46852108295774
Aza2,+,7,0.166,0.166,-0.779891911959945
Aza2,DMSO +,7,0.071,0.071,-1.14874165128092
Aza2,100,7,0.132,0.132,-0.87942606879415
Aza2,250,7,0.131,0.131,-0.882728704344236
Aza2,500,7,0.028,0.028,-1.55284196865778
Aza2,750,7,0.019,0.019,-1.72124639904717
Aza2,1000,7,0.122,0.122,-0.913640169325252
Aza2,+,8,0.16,0.16,-0.795880017344075
Aza2,DMSO +,8,0.073,0.073,-1.13667713987954
Aza2,100,8,0.14,0.14,-0.853871964321762
Aza2,250,8,0.158,0.158,-0.801342913045577
