culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza1,+,0,-0.036,0.001,-3
Aza1,DMSO +,0,-0.039,0.001,-3
Aza1,100,0,-0.036,0.001,-3
Aza1,250,0,-0.036,0.001,-3
Aza1,500,0,-0.037,0.001,-3
Aza1,750,0,-0.038,0.001,-3
Aza1,1000,0,-0.038,0.001,-3
Aza1,+,3,0.309,0.309,-0.510041520575165
Aza1,DMSO +,3,0.09,0.09,-1.04575749056068
Aza1,100,3,0.114,0.114,-0.943095148663527
Aza1,250,3,0.055,0.055,-1.25963731050576
Aza1,500,3,0.11,0.11,-0.958607314841775
Aza1,750,3,0.022,0.022,-1.65757731917779
Aza1,1000,3,0.09,0.09,-1.04575749056068
Aza1,+,4,0.287,0.287,-0.542118103266008
Aza1,DMSO +,4,0.082,0.082,-1.08618614761628
Aza1,100,4,0.15,0.15,-0.823908740944319
Aza1,250,4,0.046,0.046,-1.33724216831843
Aza1,500,4,0.114,0.114,-0.943095148663527
Aza1,750,4,0.02,0.02,-1.69897000433602
Aza1,1000,4,0.082,0.082,-1.08618614761628
Aza1,+,5,0.262,0.262,-0.581698708680255
Aza1,DMSO +,5,0.079,0.079,-1.10237290870956
Aza1,100,5,0.16,0.16,-0.795880017344075
Aza1,250,5,0.05,0.05,-1.30102999566398
Aza1,500,5,0.116,0.116,-0.935542010773082
Aza1,750,5,0.054,0.054,-1.26760624017703
Aza1,1000,5,0.087,0.087,-1.06048074738138
Aza1,+,6,0.228,0.228,-0.642065152999546
Aza1,DMSO +,6,0.066,0.066,-1.18045606445813
Aza1,100,6,0.147,0.147,-0.832682665251824
Aza1,250,6,0.045,0.045,-1.34678748622466
Aza1,500,6,0.11,0.11,-0.958607314841775
Aza1,750,6,0.133,0.133,-0.876148359032914
Aza1,1000,6,0.082,0.082,-1.08618614761628
Aza1,+,7,0.203,0.203,-0.692503962086787
Aza1,DMSO +,7,0.056,0.056,-1.2518119729938
Aza1,100,7,0.132,0.132,-0.87942606879415
Aza1,250,7,0.05,0.05,-1.30102999566398
Aza1,500,7,0.107,0.107,-0.97061622231479
Aza1,750,7,0.186,0.186,-0.730487055782084
Aza1,1000,7,0.081,0.081,-1.09151498112135
Aza1,+,10,0.136,0.136,-0.866461091629783
Aza1,DMSO +,10,0.039,0.039,-1.4089353929735
Aza1,100,10,0.083,0.083,-1.08092190762393
Aza1,250,10,0.066,0.066,-1.18045606445813
Aza1,500,10,0.098,0.098,-1.00877392430751
Aza1,750,10,0.201,0.201,-0.696803942579511
Aza1,1000,10,0.07,0.07,-1.15490195998574
Aza1,+,11,0.123,0.123,-0.910094888560602
Aza1,DMSO +,11,0.038,0.038,-1.42021640338319
Aza1,100,11,0.08,0.08,-1.09691001300806
Aza1,250,11,0.074,0.074,-1.13076828026902
Aza1,500,11,0.12,0.12,-0.920818753952375
Aza1,750,11,0.202,0.202,-0.694648630553376
Aza1,1000,11,0.08,0.08,-1.09691001300806
Aza1,+,12,0.111,0.111,-0.954677021213343
Aza1,DMSO +,12,0.032,0.032,-1.49485002168009
Aza1,100,12,0.07,0.07,-1.15490195998574
Aza1,250,12,0.071,0.071,-1.14874165128092
Aza1,500,12,0.158,0.158,-0.801342913045577
Aza1,750,12,0.194,0.194,-0.712198270069774
Aza1,1000,12,0.074,0.074,-1.13076828026902
Aza1,+,13,0.096,0.096,-1.01772876696043
Aza1,DMSO +,13,0.032,0.032,-1.49485002168009
Aza1,100,13,0.069,0.069,-1.16115090926274
Aza1,250,13,0.075,0.075,-1.1249387366083
Aza1,500,13,0.247,0.247,-0.607303046740334
Aza1,750,13,0.184,0.184,-0.735182176990464
Aza1,1000,13,0.073,0.073,-1.13667713987954
Aza1,+,14,0.076,0.076,-1.11918640771921
Aza1,DMSO +,14,0.027,0.027,-1.56863623584101
Aza1,100,14,0.06,0.06,-1.22184874961636
Aza1,250,14,0.092,0.092,-1.03621217265444
Aza1,500,14,0.257,0.257,-0.590066876668705
Aza1,750,14,0.167,0.167,-0.777283528852417
Aza1,1000,14,0.071,0.071,-1.14874165128092
Aza2,+,0,-0.029,0.001,-3
Aza2,DMSO +,0,-0.019,0.001,-3
Aza2,100,0,-0.028,0.001,-3
Aza2,250,0,-0.031,0.001,-3
Aza2,500,0,-0.028,0.001,-3
Aza2,750,0,-0.029,0.001,-3
Aza2,1000,0,-0.032,0.001,-3
Aza2,+,3,0.241,0.241,-0.617982957425132
Aza2,DMSO +,3,0.06,0.06,-1.22184874961636
Aza2,100,3,0.117,0.117,-0.931814138253838
Aza2,250,3,0.028,0.028,-1.55284196865778
Aza2,500,3,0.026,0.026,-1.58502665202918
Aza2,750,3,0.04,0.04,-1.39794000867204
Aza2,1000,3,0.074,0.074,-1.13076828026902
Aza2,+,4,0.214,0.214,-0.669586226650809
Aza2,DMSO +,4,0.055,0.055,-1.25963731050576
Aza2,100,4,0.137,0.137,-0.863279432843593
Aza2,250,4,0.022,0.022,-1.65757731917779
Aza2,500,4,0.022,0.022,-1.65757731917779
Aza2,750,4,0.127,0.127,-0.896196279044043
Aza2,1000,4,0.114,0.114,-0.943095148663527
Aza2,+,5,0.198,0.198,-0.703334809738469
Aza2,DMSO +,5,0.058,0.058,-1.23657200643706
Aza2,100,5,0.133,0.133,-0.876148359032914
Aza2,250,5,0.024,0.024,-1.61978875828839
Aza2,500,5,0.026,0.026,-1.58502665202918
Aza2,750,5,0.118,0.118,-0.928117992693875
Aza2,1000,5,0.106,0.106,-0.97469413473523
Aza2,+,6,0.166,0.166,-0.779891911959945
Aza2,DMSO +,6,0.051,0.051,-1.29242982390206
Aza2,100,6,0.12,0.12,-0.920818753952375
Aza2,250,6,0.024,0.024,-1.61978875828839
Aza2,500,6,0.025,0.025,-1.60205999132796
Aza2,750,6,0.099,0.099,-1.00436480540245
Aza2,1000,6,0.091,0.091,-1.04095860767891
Aza2,+,7,0.142,0.142,-0.847711655616944
Aza2,DMSO +,7,0.043,0.043,-1.36653154442041
Aza2,100,7,0.102,0.102,-0.991399828238082
Aza2,250,7,0.021,0.021,-1.67778070526608
Aza2,500,7,0.02,0.02,-1.69897000433602
Aza2,750,7,0.087,0.087,-1.06048074738138
Aza2,1000,7,0.08,0.08,-1.09691001300806
Aza2,+,10,0.08,0.08,-1.09691001300806
Aza2,DMSO +,10,0.03,0.03,-1.52287874528034
Aza2,100,10,0.073,0.073,-1.13667713987954
Aza2,250,10,0.052,0.052,-1.2839966563652
Aza2,500,10,0.019,0.019,-1.72124639904717
Aza2,750,10,0.07,0.07,-1.15490195998574
Aza2,1000,10,0.066,0.066,-1.18045606445813
Aza2,+,11,0.074,0.074,-1.13076828026902
Aza2,DMSO +,11,0.032,0.032,-1.49485002168009
Aza2,100,11,0.074,0.074,-1.13076828026902
Aza2,250,11,0.065,0.065,-1.18708664335714
Aza2,500,11,0.023,0.023,-1.63827216398241
Aza2,750,11,0.073,0.073,-1.13667713987954
Aza2,1000,11,0.069,0.069,-1.16115090926274
Aza2,+,12,0.065,0.065,-1.18708664335714
Aza2,DMSO +,12,0.026,0.026,-1.58502665202918
Aza2,100,12,0.067,0.067,-1.17392519729917
Aza2,250,12,0.074,0.074,-1.13076828026902
Aza2,500,12,0.017,0.017,-1.76955107862173
Aza2,750,12,0.068,0.068,-1.16749108729376
Aza2,1000,12,0.065,0.065,-1.18708664335714
Aza2,+,13,0.059,0.059,-1.22914798835786
Aza2,DMSO +,13,0.025,0.025,-1.60205999132796
Aza2,100,13,0.07,0.07,-1.15490195998574
Aza2,250,13,0.086,0.086,-1.06550154875643
Aza2,500,13,0.025,0.025,-1.60205999132796
Aza2,750,13,0.068,0.068,-1.16749108729376
Aza2,1000,13,0.064,0.064,-1.19382002601611
Aza2,+,14,0.058,0.058,-1.23657200643706
Aza2,DMSO +,14,0.021,0.021,-1.67778070526608
Aza2,100,14,0.063,0.063,-1.20065945054642
Aza2,250,14,0.085,0.085,-1.07058107428571
Aza2,500,14,0.02,0.02,-1.69897000433602
Aza2,750,14,0.064,0.064,-1.19382002601611
Aza2,1000,14,0.061,0.061,-1.21467016498923
Aza3,+,0,-0.03,0.001,-3
Aza3,DMSO +,0,-0.025,0.001,-3
Aza3,100,0,-0.024,0.001,-3
Aza3,250,0,-0.029,0.001,-3
Aza3,500,0,-0.032,0.001,-3
Aza3,750,0,-0.032,0.001,-3
Aza3,1000,0,-0.032,0.001,-3
Aza3,+,3,0.307,0.307,-0.512861624522814
Aza3,DMSO +,3,0.066,0.066,-1.18045606445813
Aza3,100,3,0.038,0.038,-1.42021640338319
Aza3,250,3,0.031,0.031,-1.50863830616573
Aza3,500,3,0.027,0.027,-1.56863623584101
Aza3,750,3,0.032,0.032,-1.49485002168009
Aza3,1000,3,0.031,0.031,-1.50863830616573
Aza3,+,4,0.306,0.306,-0.51427857351842
Aza3,DMSO +,4,0.064,0.064,-1.19382002601611
Aza3,100,4,0.028,0.028,-1.55284196865778
Aza3,250,4,0.023,0.023,-1.63827216398241
Aza3,500,4,0.021,0.021,-1.67778070526608
Aza3,750,4,0.023,0.023,-1.63827216398241
Aza3,1000,4,0.022,0.022,-1.65757731917779
Aza3,+,5,0.275,0.275,-0.560667306169737
Aza3,DMSO +,5,0.06,0.06,-1.22184874961636
Aza3,100,5,0.03,0.03,-1.52287874528034
Aza3,250,5,0.027,0.027,-1.56863623584101
Aza3,500,5,0.025,0.025,-1.60205999132796
Aza3,750,5,0.027,0.027,-1.56863623584101
Aza3,1000,5,0.027,0.027,-1.56863623584101
Aza3,+,6,0.236,0.236,-0.627087997029894
Aza3,DMSO +,6,0.053,0.053,-1.27572413039921
Aza3,100,6,0.028,0.028,-1.55284196865778
Aza3,250,6,0.027,0.027,-1.56863623584101
Aza3,500,6,0.024,0.024,-1.61978875828839
Aza3,750,6,0.027,0.027,-1.56863623584101
Aza3,1000,6,0.026,0.026,-1.58502665202918
Aza3,+,7,0.207,0.207,-0.684029654543082
Aza3,DMSO +,7,0.048,0.048,-1.31875876262441
Aza3,100,7,0.023,0.023,-1.63827216398241
