culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza1,+,0,0.039,0.039,-1.4089353929735
Aza1,DMSO +,0,0.036,0.036,-1.44369749923271
Aza1,DMSO -,0,0.027,0.027,-1.56863623584101
Aza1,100,0,0.042,0.042,-1.3767507096021
Aza1,250,0,0.038,0.038,-1.42021640338319
Aza1,500,0,0.037,0.037,-1.43179827593301
Aza1,750,0,0.04,0.04,-1.39794000867204
Aza1,1000,0,0.048,0.048,-1.31875876262441
Aza1,+,1,0.051,0.051,-1.29242982390206
Aza1,DMSO +,1,0.049,0.049,-1.30980391997149
Aza1,DMSO -,1,0.032,0.032,-1.49485002168009
Aza1,100,1,0.042,0.042,-1.3767507096021
Aza1,250,1,0.041,0.041,-1.38721614328026
Aza1,500,1,0.04,0.04,-1.39794000867204
Aza1,750,1,0.038,0.038,-1.42021640338319
Aza1,1000,1,0.036,0.036,-1.44369749923271
Aza1,+,2,0.061,0.061,-1.21467016498923
Aza1,DMSO +,2,0.051,0.051,-1.29242982390206
Aza1,DMSO -,2,0.029,0.029,-1.53760200210104
Aza1,100,2,0.033,0.033,-1.48148606012211
Aza1,250,2,0.03,0.03,-1.52287874528034
Aza1,500,2,0.029,0.029,-1.53760200210104
Aza1,750,2,0.048,0.048,-1.31875876262441
Aza1,1000,2,0.028,0.028,-1.55284196865778
Aza1,+,5,0.102,0.102,-0.991399828238082
Aza1,DMSO +,5,0.046,0.046,-1.33724216831843
Aza1,DMSO -,5,0.033,0.033,-1.48148606012211
Aza1,100,5,0.025,0.025,-1.60205999132796
Aza1,250,5,0.025,0.025,-1.60205999132796
Aza1,500,5,0.029,0.029,-1.53760200210104
Aza1,750,5,0.029,0.029,-1.53760200210104
Aza1,1000,5,0.028,0.028,-1.55284196865778
Aza1,+,6,0.123,0.123,-0.910094888560602
Aza1,DMSO +,6,0.058,0.058,-1.23657200643706
Aza1,DMSO -,6,0.038,0.038,-1.42021640338319
Aza1,100,6,0.026,0.026,-1.58502665202918
Aza1,250,6,0.026,0.026,-1.58502665202918
Aza1,500,6,0.027,0.027,-1.56863623584101
Aza1,750,6,0.029,0.029,-1.53760200210104
Aza1,1000,6,0.03,0.03,-1.52287874528034
Aza1,+,7,0.134,0.134,-0.872895201635192
Aza1,DMSO +,7,0.046,0.046,-1.33724216831843
Aza1,DMSO -,7,0.031,0.031,-1.50863830616573
Aza1,100,7,0.02,0.02,-1.69897000433602
Aza1,250,7,0.022,0.022,-1.65757731917779
Aza1,500,7,0.03,0.03,-1.52287874528034
Aza1,750,7,0.026,0.026,-1.58502665202918
Aza1,1000,7,0.037,0.037,-1.43179827593301
Aza1,+,8,0.168,0.168,-0.774690718274137
Aza1,DMSO +,8,0.038,0.038,-1.42021640338319
Aza1,DMSO -,8,0.027,0.027,-1.56863623584101
Aza1,100,8,0.026,0.026,-1.58502665202918
Aza1,250,8,0.019,0.019,-1.72124639904717
Aza1,500,8,0.022,0.022,-1.65757731917779
Aza1,750,8,0.024,0.024,-1.61978875828839
Aza1,1000,8,0.018,0.018,-1.74472749489669
Aza1,+,9,0.174,0.174,-0.7594507517174
Aza1,DMSO +,9,0.04,0.04,-1.39794000867204
Aza1,DMSO -,9,0.041,0.041,-1.38721614328026
Aza1,100,9,0.023,0.023,-1.63827216398241
Aza1,250,9,0.022,0.022,-1.65757731917779
Aza1,500,9,0.031,0.031,-1.50863830616573
Aza1,750,9,0.026,0.026,-1.58502665202918
Aza1,1000,9,0.031,0.031,-1.50863830616573
Aza1,+,12,0.166,0.166,-0.779891911959945
Aza1,DMSO +,12,0.037,0.037,-1.43179827593301
Aza1,DMSO -,12,0.04,0.04,-1.39794000867204
Aza1,100,12,0.024,0.024,-1.61978875828839
Aza1,250,12,0.028,0.028,-1.55284196865778
Aza1,500,12,0.029,0.029,-1.53760200210104
Aza1,750,12,0.032,0.032,-1.49485002168009
Aza1,1000,12,0.031,0.031,-1.50863830616573
Aza1,+,13,0.138,0.138,-0.860120913598763
Aza1,DMSO +,13,0.024,0.024,-1.61978875828839
Aza1,DMSO -,13,0.031,0.031,-1.50863830616573
Aza1,100,13,0.018,0.018,-1.74472749489669
Aza1,250,13,0.015,0.015,-1.82390874094432
Aza1,500,13,0.018,0.018,-1.74472749489669
Aza1,750,13,0.023,0.023,-1.63827216398241
Aza1,1000,13,0.022,0.022,-1.65757731917779
Aza1,+,14,0.126,0.126,-0.899629454882437
Aza1,DMSO +,14,0.032,0.032,-1.49485002168009
Aza1,DMSO -,14,0.036,0.036,-1.44369749923271
Aza1,100,14,0.024,0.024,-1.61978875828839
Aza1,250,14,0.022,0.022,-1.65757731917779
Aza1,500,14,0.025,0.025,-1.60205999132796
Aza1,750,14,0.028,0.028,-1.55284196865778
Aza1,1000,14,0.025,0.025,-1.60205999132796
Aza1,+,15,0.127,0.127,-0.896196279044043
Aza1,DMSO +,15,0.043,0.043,-1.36653154442041
Aza1,DMSO -,15,0.052,0.052,-1.2839966563652
Aza1,100,15,0.034,0.034,-1.46852108295774
Aza1,250,15,0.037,0.037,-1.43179827593301
Aza1,500,15,0.044,0.044,-1.35654732351381
Aza1,750,15,0.041,0.041,-1.38721614328026
Aza1,1000,15,0.039,0.039,-1.4089353929735
Aza1,+,16,0.107,0.107,-0.97061622231479
Aza1,DMSO +,16,0.036,0.036,-1.44369749923271
Aza1,DMSO -,16,0.045,0.045,-1.34678748622466
Aza1,100,16,0.025,0.025,-1.60205999132796
Aza1,250,16,0.028,0.028,-1.55284196865778
Aza1,500,16,0.032,0.032,-1.49485002168009
Aza1,750,16,0.031,0.031,-1.50863830616573
Aza1,1000,16,0.031,0.031,-1.50863830616573
Aza2,+,0,0.042,0.042,-1.3767507096021
Aza2,DMSO +,0,0.038,0.038,-1.42021640338319
Aza2,DMSO -,0,0.023,0.023,-1.63827216398241
Aza2,100,0,0.038,0.038,-1.42021640338319
Aza2,250,0,0.043,0.043,-1.36653154442041
Aza2,500,0,0.041,0.041,-1.38721614328026
Aza2,750,0,0.039,0.039,-1.4089353929735
Aza2,1000,0,0.042,0.042,-1.3767507096021
Aza2,+,1,0.042,0.042,-1.3767507096021
Aza2,DMSO +,1,0.038,0.038,-1.42021640338319
Aza2,DMSO -,1,0.029,0.029,-1.53760200210104
Aza2,100,1,0.042,0.042,-1.3767507096021
Aza2,250,1,0.043,0.043,-1.36653154442041
Aza2,500,1,0.04,0.04,-1.39794000867204
Aza2,750,1,0.038,0.038,-1.42021640338319
Aza2,1000,1,0.042,0.042,-1.3767507096021
Aza2,+,2,0.047,0.047,-1.32790214206428
Aza2,DMSO +,2,0.042,0.042,-1.3767507096021
Aza2,DMSO -,2,0.035,0.035,-1.45593195564972
Aza2,100,2,0.034,0.034,-1.46852108295774
Aza2,250,2,0.034,0.034,-1.46852108295774
Aza2,500,2,0.04,0.04,-1.39794000867204
Aza2,750,2,0.036,0.036,-1.44369749923271
Aza2,1000,2,0.039,0.039,-1.4089353929735
Aza2,+,5,0.055,0.055,-1.25963731050576
Aza2,DMSO +,5,0.038,0.038,-1.42021640338319
Aza2,DMSO -,5,0.034,0.034,-1.46852108295774
Aza2,100,5,0.027,0.027,-1.56863623584101
Aza2,250,5,0.03,0.03,-1.52287874528034
Aza2,500,5,0.037,0.037,-1.43179827593301
Aza2,750,5,0.034,0.034,-1.46852108295774
Aza2,1000,5,0.036,0.036,-1.44369749923271
Aza2,+,6,0.053,0.053,-1.27572413039921
Aza2,DMSO +,6,0.045,0.045,-1.34678748622466
Aza2,DMSO -,6,0.031,0.031,-1.50863830616573
Aza2,100,6,0.025,0.025,-1.60205999132796
Aza2,250,6,0.032,0.032,-1.49485002168009
Aza2,500,6,0.032,0.032,-1.49485002168009
Aza2,750,6,0.035,0.035,-1.45593195564972
Aza2,1000,6,0.029,0.029,-1.53760200210104
Aza2,+,7,0.048,0.048,-1.31875876262441
Aza2,DMSO +,7,0.028,0.028,-1.55284196865778
Aza2,DMSO -,7,0.029,0.029,-1.53760200210104
Aza2,100,7,0.021,0.021,-1.67778070526608
Aza2,250,7,0.026,0.026,-1.58502665202918
Aza2,500,7,0.029,0.029,-1.53760200210104
Aza2,750,7,0.029,0.029,-1.53760200210104
Aza2,1000,7,0.03,0.03,-1.52287874528034
Aza2,+,8,0.047,0.047,-1.32790214206428
Aza2,DMSO +,8,0.021,0.021,-1.67778070526608
Aza2,DMSO -,8,0.027,0.027,-1.56863623584101
Aza2,100,8,0.016,0.016,-1.79588001734408
Aza2,250,8,0.02,0.02,-1.69897000433602
Aza2,500,8,0.027,0.027,-1.56863623584101
Aza2,750,8,0.024,0.024,-1.61978875828839
Aza2,1000,8,0.021,0.021,-1.67778070526608
Aza2,+,9,0.053,0.053,-1.27572413039921
Aza2,DMSO +,9,0.031,0.031,-1.50863830616573
Aza2,DMSO -,9,0.027,0.027,-1.56863623584101
Aza2,100,9,0.024,0.024,-1.61978875828839
Aza2,250,9,0.026,0.026,-1.58502665202918
Aza2,500,9,0.029,0.029,-1.53760200210104
Aza2,750,9,0.035,0.035,-1.45593195564972
Aza2,1000,9,0.032,0.032,-1.49485002168009
Aza2,+,12,0.061,0.061,-1.21467016498923
Aza2,DMSO +,12,0.027,0.027,-1.56863623584101
Aza2,DMSO -,12,0.035,0.035,-1.45593195564972
Aza2,100,12,0.021,0.021,-1.67778070526608
Aza2,250,12,0.025,0.025,-1.60205999132796
Aza2,500,12,0.034,0.034,-1.46852108295774
Aza2,750,12,0.033,0.033,-1.48148606012211
Aza2,1000,12,0.03,0.03,-1.52287874528034
Aza2,+,13,0.065,0.065,-1.18708664335714
Aza2,DMSO +,13,0.024,0.024,-1.61978875828839
Aza2,DMSO -,13,0.027,0.027,-1.56863623584101
Aza2,100,13,0.016,0.016,-1.79588001734408
Aza2,250,13,0.026,0.026,-1.58502665202918
Aza2,500,13,0.026,0.026,-1.58502665202918
Aza2,750,13,0.024,0.024,-1.61978875828839
Aza2,1000,13,0.023,0.023,-1.63827216398241
Aza2,+,14,0.078,0.078,-1.10790539730952
Aza2,DMSO +,14,0.026,0.026,-1.58502665202918
Aza2,DMSO -,14,0.03,0.03,-1.52287874528034
Aza2,100,14,0.019,0.019,-1.72124639904717
Aza2,250,14,0.026,0.026,-1.58502665202918
Aza2,500,14,0.027,0.027,-1.56863623584101
Aza2,750,14,0.03,0.03,-1.52287874528034
Aza2,1000,14,0.03,0.03,-1.52287874528034
Aza2,+,15,0.118,0.118,-0.928117992693875
Aza2,DMSO +,15,0.04,0.04,-1.39794000867204
Aza2,DMSO -,15,0.042,0.042,-1.3767507096021
Aza2,100,15,0.03,0.03,-1.52287874528034
Aza2,250,15,0.04,0.04,-1.39794000867204
Aza2,500,15,0.045,0.045,-1.34678748622466
Aza2,750,15,0.043,0.043,-1.36653154442041
Aza2,1000,15,0.039,0.039,-1.4089353929735
Aza2,+,16,0.115,0.115,-0.939302159646388
Aza2,DMSO +,16,0.03,0.03,-1.52287874528034
Aza2,DMSO -,16,0.041,0.041,-1.38721614328026
Aza2,100,16,0.021,0.021,-1.67778070526608
Aza2,250,16,0.029,0.029,-1.53760200210104
Aza2,500,16,0.033,0.033,-1.48148606012211
Aza2,750,16,0.033,0.033,-1.48148606012211
Aza2,1000,16,0.027,0.027,-1.56863623584101
Aza3,+,0,0.044,0.044,-1.35654732351381
Aza3,DMSO +,0,0.045,0.045,-1.34678748622466
Aza3,DMSO -,0,0.034,0.034,-1.46852108295774
Aza3,100,0,0.045,0.045,-1.34678748622466
Aza3,250,0,0.046,0.046,-1.33724216831843
Aza3,500,0,0.05,0.05,-1.30102999566398
Aza3,750,0,0.056,0.056,-1.2518119729938
Aza3,1000,0,0.04,0.04,-1.39794000867204
Aza3,+,1,0.046,0.046,-1.33724216831843
Aza3,DMSO +,1,0.045,0.045,-1.34678748622466
Aza3,DMSO -,1,0.032,0.032,-1.49485002168009
Aza3,100,1,0.047,0.047,-1.32790214206428
Aza3,250,1,0.044,0.044,-1.35654732351381
Aza3,500,1,0.042,0.042,-1.3767507096021
Aza3,750,1,0.038,0.038,-1.42021640338319
Aza3,1000,1,0.038,0.038,-1.42021640338319
Aza3,+,2,0.05,0.05,-1.30102999566398
Aza3,DMSO +,2,0.306,0.306,-0.51427857351842
Aza3,DMSO -,2,0.031,0.031,-1.50863830616573
Aza3,100,2,0.038,0.038,-1.42021640338319
Aza3,250,2,0.038,0.038,-1.42021640338319
Aza3,500,2,0.034,0.034,-1.46852108295774
Aza3,750,2,0.036,0.036,-1.44369749923271
Aza3,1000,2,0.033,0.033,-1.48148606012211
Aza3,+,5,0.05,0.05,-1.30102999566398
Aza3,DMSO +,5,0.075,0.075,-1.1249387366083
Aza3,DMSO -,5,0.033,0.033,-1.48148606012211
Aza3,100,5,0.032,0.032,-1.49485002168009
Aza3,250,5,0.032,0.032,-1.49485002168009
Aza3,500,5,0.031,0.031,-1.50863830616573
Aza3,750,5,0.032,0.032,-1.49485002168009
Aza3,1000,5,0.042,0.042,-1.3767507096021
Aza3,+,6,0.046,0.046,-1.33724216831843
Aza3,DMSO +,6,0.059,0.059,-1.22914798835786
Aza3,DMSO -,6,0.033,0.033,-1.48148606012211
Aza3,100,6,0.028,0.028,-1.55284196865778
Aza3,250,6,0.032,0.032,-1.49485002168009
Aza3,500,6,0.036,0.036,-1.44369749923271
Aza3,750,6,0.028,0.028,-1.55284196865778
Aza3,1000,6,0.032,0.032,-1.49485002168009
Aza3,+,7,0.044,0.044,-1.35654732351381
Aza3,DMSO +,7,0.048,0.048,-1.31875876262441
Aza3,DMSO -,7,0.03,0.03,-1.52287874528034
Aza3,100,7,0.024,0.024,-1.61978875828839
Aza3,250,7,0.026,0.026,-1.58502665202918
Aza3,500,7,0.026,0.026,-1.58502665202918
Aza3,750,7,0.025,0.025,-1.60205999132796
Aza3,1000,7,0.048,0.048,-1.31875876262441
Aza3,+,8,0.048,0.048,-1.31875876262441
Aza3,DMSO +,8,0.042,0.042,-1.3767507096021
Aza3,DMSO -,8,0.023,0.023,-1.63827216398241
Aza3,100,8,0.019,0.019,-1.72124639904717
Aza3,250,8,0.024,0.024,-1.61978875828839
Aza3,500,8,0.023,0.023,-1.63827216398241
Aza3,750,8,0.019,0.019,-1.72124639904717
Aza3,1000,8,0.021,0.021,-1.67778070526608
Aza3,+,9,0.074,0.074,-1.13076828026902
Aza3,DMSO +,9,0.032,0.032,-1.49485002168009
Aza3,DMSO -,9,0.047,0.047,-1.32790214206428
Aza3,100,9,0.023,0.023,-1.63827216398241
Aza3,250,9,0.027,0.027,-1.56863623584101
Aza3,500,9,0.033,0.033,-1.48148606012211
Aza3,750,9,0.044,0.044,-1.35654732351381
Aza3,1000,9,0.037,0.037,-1.43179827593301
Aza3,+,12,0.151,0.151,-0.821023052706831
Aza3,DMSO +,12,0.05,0.05,-1.30102999566398
Aza3,DMSO -,12,0.036,0.036,-1.44369749923271
Aza3,100,12,0.029,0.029,-1.53760200210104
Aza3,250,12,0.027,0.027,-1.56863623584101
Aza3,500,12,0.026,0.026,-1.58502665202918
Aza3,750,12,0.033,0.033,-1.48148606012211
Aza3,1000,12,0.029,0.029,-1.53760200210104
Aza3,+,13,0.104,0.104,-0.98296666070122
Aza3,DMSO +,13,0.048,0.048,-1.31875876262441
Aza3,DMSO -,13,0.031,0.031,-1.50863830616573
