culture,conc_µg_ml,day,OD600,OD600_adj,OD600_adj_lg
Aza1,+,0,0.05,0.05,-1.30102999566398
Aza1,DMSO +,0,0.04,0.04,-1.39794000867204
Aza1,100,0,0.046,0.046,-1.33724216831843
Aza1,250,0,0.038,0.038,-1.42021640338319
Aza1,500,0,0.044,0.044,-1.35654732351381
Aza1,750,0,0.034,0.034,-1.46852108295774
Aza1,1000,0,0.029,0.029,-1.53760200210104
Aza1,+,1,0.291,0.291,-0.536107011014093
Aza1,DMSO +,1,0.234,0.234,-0.630784142589857
Aza1,100,1,0.262,0.262,-0.581698708680255
Aza1,250,1,0.241,0.241,-0.617982957425132
Aza1,500,1,0.248,0.248,-0.605548319173784
Aza1,750,1,0.256,0.256,-0.59176003468815
Aza1,1000,1,0.238,0.238,-0.623423042943488
Aza1,+,2,0.308,0.308,-0.511449283499556
Aza1,DMSO +,2,0.064,0.064,-1.19382002601611
Aza1,100,2,0.1,0.1,-1
Aza1,250,2,0.081,0.081,-1.09151498112135
Aza1,500,2,0.074,0.074,-1.13076828026902
Aza1,750,2,0.08,0.08,-1.09691001300806
Aza1,1000,2,0.086,0.086,-1.06550154875643
Aza1,+,3,0.339,0.339,-0.469800301796918
Aza1,DMSO +,3,0.086,0.086,-1.06550154875643
Aza1,100,3,0.055,0.055,-1.25963731050576
Aza1,250,3,0.049,0.049,-1.30980391997149
Aza1,500,3,0.036,0.036,-1.44369749923271
Aza1,750,3,0.036,0.036,-1.44369749923271
Aza1,1000,3,0.04,0.04,-1.39794000867204
Aza1,+,4,0.302,0.302,-0.519993057042849
Aza1,DMSO +,4,0.249,0.249,-0.603800652904264
Aza1,100,4,0.05,0.05,-1.30102999566398
Aza1,250,4,0.039,0.039,-1.4089353929735
Aza1,500,4,0.028,0.028,-1.55284196865778
Aza1,750,4,0.026,0.026,-1.58502665202918
Aza1,1000,4,0.02,0.02,-1.69897000433602
Aza1,+,7,0.259,0.259,-0.586700235918748
Aza1,DMSO +,7,0.253,0.253,-0.596879478824182
Aza1,100,7,0.052,0.052,-1.2839966563652
Aza1,250,7,0.061,0.061,-1.21467016498923
Aza1,500,7,0.021,0.021,-1.67778070526608
Aza1,750,7,0.037,0.037,-1.43179827593301
Aza1,1000,7,0.035,0.035,-1.45593195564972
Aza1,+,8,0.247,0.247,-0.607303046740334
Aza1,DMSO +,8,0.267,0.267,-0.573488738635425
Aza1,100,8,0.149,0.149,-0.826813731587726
Aza1,250,8,0.097,0.097,-1.01322826573376
Aza1,500,8,0.028,0.028,-1.55284196865778
Aza1,750,8,0.047,0.047,-1.32790214206428
Aza1,1000,8,0.037,0.037,-1.43179827593301
Aza1,+,9,0.229,0.229,-0.640164517660112
Aza1,DMSO +,9,0.246,0.246,-0.609064892896621
Aza1,100,9,0.3,0.3,-0.522878745280338
Aza1,250,9,0.121,0.121,-0.91721462968355
Aza1,500,9,0.03,0.03,-1.52287874528034
Aza1,750,9,0.043,0.043,-1.36653154442041
Aza1,1000,9,0.032,0.032,-1.49485002168009
Aza1,+,10,0.242,0.242,-0.616184634019569
Aza1,DMSO +,10,0.232,0.232,-0.6345120151091
Aza1,100,10,0.278,0.278,-0.555955204081924
Aza1,250,10,0.107,0.107,-0.97061622231479
Aza1,500,10,0.031,0.031,-1.50863830616573
Aza1,750,10,0.04,0.04,-1.39794000867204
Aza1,1000,10,0.025,0.025,-1.60205999132796
Aza1,+,11,0.153,0.153,-0.815308569182401
Aza1,DMSO +,11,0.226,0.226,-0.645891560852599
Aza1,100,11,0.274,0.274,-0.562249437179612
Aza1,250,11,0.099,0.099,-1.00436480540245
Aza1,500,11,0.042,0.042,-1.3767507096021
Aza1,750,11,0.036,0.036,-1.44369749923271
Aza1,1000,11,0.03,0.03,-1.52287874528034
Aza1,+,14,0.224,0.224,-0.649751981665837
Aza1,DMSO +,14,0.203,0.203,-0.692503962086787
Aza1,100,14,0.28,0.28,-0.552841968657781
Aza1,250,14,0.307,0.307,-0.512861624522814
Aza1,500,14,0.05,0.05,-1.30102999566398
Aza1,750,14,0.034,0.034,-1.46852108295774
Aza1,1000,14,0.032,0.032,-1.49485002168009
Aza1,+,15,0.202,0.202,-0.694648630553376
Aza1,DMSO +,15,0.203,0.203,-0.692503962086787
Aza1,100,15,0.259,0.259,-0.586700235918748
Aza1,250,15,0.283,0.283,-0.54821356447571
Aza1,500,15,0.049,0.049,-1.30980391997149
Aza1,750,15,0.028,0.028,-1.55284196865778
Aza1,1000,15,0.031,0.031,-1.50863830616573
Aza2,+,0,0.041,0.041,-1.38721614328026
Aza2,DMSO +,0,0.04,0.04,-1.39794000867204
Aza2,100,0,0.051,0.051,-1.29242982390206
Aza2,250,0,0.039,0.039,-1.4089353929735
Aza2,500,0,0.045,0.045,-1.34678748622466
Aza2,750,0,0.038,0.038,-1.42021640338319
Aza2,1000,0,0.044,0.044,-1.35654732351381
Aza2,+,1,0.248,0.248,-0.605548319173784
Aza2,DMSO +,1,0.247,0.247,-0.607303046740334
Aza2,100,1,0.251,0.251,-0.600326278518962
Aza2,250,1,0.244,0.244,-0.612610173661271
Aza2,500,1,0.267,0.267,-0.573488738635425
Aza2,750,1,0.264,0.264,-0.578396073130169
Aza2,1000,1,0.251,0.251,-0.600326278518962
Aza2,+,2,0.097,0.097,-1.01322826573376
Aza2,DMSO +,2,0.169,0.169,-0.772113295386327
Aza2,100,2,0.075,0.075,-1.1249387366083
Aza2,250,2,0.069,0.069,-1.16115090926274
Aza2,500,2,0.131,0.131,-0.882728704344236
Aza2,750,2,0.1,0.1,-1
Aza2,1000,2,0.101,0.101,-0.995678626217357
Aza2,+,3,0.115,0.115,-0.939302159646388
Aza2,DMSO +,3,0.342,0.342,-0.465973893943865
Aza2,100,3,0.032,0.032,-1.49485002168009
Aza2,250,3,0.041,0.041,-1.38721614328026
Aza2,500,3,0.058,0.058,-1.23657200643706
Aza2,750,3,0.051,0.051,-1.29242982390206
Aza2,1000,3,0.04,0.04,-1.39794000867204
Aza2,+,4,0.485,0.485,-0.314258261397736
Aza2,DMSO +,4,0.316,0.316,-0.500312917381596
Aza2,100,4,0.033,0.033,-1.48148606012211
Aza2,250,4,0.034,0.034,-1.46852108295774
Aza2,500,4,0.038,0.038,-1.42021640338319
Aza2,750,4,0.041,0.041,-1.38721614328026
Aza2,1000,4,0.027,0.027,-1.56863623584101
Aza2,+,7,0.41,0.41,-0.387216143280265
Aza2,DMSO +,7,0.25,0.25,-0.602059991327962
Aza2,100,7,0.012,0.012,-1.92081875395238
Aza2,250,7,0.028,0.028,-1.55284196865778
Aza2,500,7,0.167,0.167,-0.777283528852417
Aza2,750,7,0.062,0.062,-1.20760831050175
Aza2,1000,7,0.044,0.044,-1.35654732351381
Aza2,+,8,0.387,0.387,-0.412289034981089
Aza2,DMSO +,8,0.241,0.241,-0.617982957425132
Aza2,100,8,0.025,0.025,-1.60205999132796
Aza2,250,8,0.051,0.051,-1.29242982390206
Aza2,500,8,0.202,0.202,-0.694648630553376
Aza2,750,8,0.094,0.094,-1.0268721464003
