"day","conc_µg_ml","OD600_mean","sd_OD600"
0,"+",0.0123333333333333,0.015502687938978
0,"100",0.007,0.0150996688705415
0,"1000",-0.00333333333333333,0.0130511813003013
0,"250",0.00166666666666667,0.0128970280814354
0,"500",-0.00733333333333333,0.0172433562085034
0,"750",-0.005,0.0156204993518133
0,"DMSO +",0.0176666666666667,0.0174737898961082
1,"+",0.0683333333333333,0.0265769323537035
1,"100",0.0113333333333333,0.0115036226178249
1,"1000",-0.028,0.003
1,"250",-0.012,0.00888819441731559
1,"500",-0.0233333333333333,0.00251661147842358
1,"750",-0.021,0.00458257569495584
1,"DMSO +",-0.01,0.00754983443527075
2,"+",0.203666666666667,0.0126622799421484
2,"100",0.0716666666666667,0.0246846781087648
2,"1000",-0.0203333333333333,0.00208166599946613
2,"250",0.006,0.0138924439894498
2,"500",-0.014,0.00458257569495584
2,"750",-0.017,0.000999999999999999
2,"DMSO +",0.031,0.003
3,"+",0.235333333333333,0.0105987420637231
3,"100",0.103666666666667,0.0263502055652956
3,"1000",-0.0273333333333333,0.0045092497528229
3,"250",0.00966666666666667,0.024704925284917
3,"500",-0.0203333333333333,0.000577350269189626
3,"750",-0.0243333333333333,0.00208166599946613
3,"DMSO +",0.05,0.0205182845286832
6,"+",0.194666666666667,0.0259679289380831
6,"100",0.126666666666667,0.021548395145192
6,"1000",0.0343333333333333,0.000577350269189626
6,"250",0.0896666666666667,0.00665832811847939
6,"500",0.0363333333333333,0.00493288286231625
6,"750",0.0343333333333333,0.00115470053837925
6,"DMSO +",0.102666666666667,0.00960902353693305
7,"+",0.169666666666667,0.0100166528008778
7,"100",0.115,0.0157162336455017
7,"1000",0.0593333333333333,0.0542801375581652
7,"250",0.139,0.0192873015219859
7,"500",0.0286666666666667,0.00305505046330389
7,"750",0.0253333333333333,0.00602771377334171
7,"DMSO +",0.082,0.00953939201416946
8,"+",0.164333333333333,0.00838649708360607
8,"100",0.119666666666667,0.0176162803489651
8,"1000",0.0616666666666667,0.0497426711519731
8,"250",0.145666666666667,0.0109696551146029
8,"500",0.0356666666666667,0.00288675134594813
8,"750",0.0316666666666667,0.00208166599946613
8,"DMSO +",0.081,0.007
9,"+",0.141333333333333,0.0130511813003013
9,"100",0.120666666666667,0.0142945210949277
9,"1000",0.0553333333333333,0.0430155010819743
9,"250",0.120666666666667,0.0193476958145753
9,"500",0.0326666666666667,0.00251661147842359
9,"750",0.0303333333333333,0.0023094010767585
9,"DMSO +",0.069,0.004
10,"+",0.127666666666667,0.0127410099024109
10,"100",0.106,0.0173493515728975
10,"1000",0.052,0.0416773319683494
10,"250",0.094,0.0151327459504216
10,"500",0.0346666666666667,0.00351188458428425
10,"750",0.0273333333333333,0.00152752523165195
10,"DMSO +",0.0623333333333333,0.00513160143944689
13,"+",0.0766666666666667,0.00513160143944689
13,"100",0.0843333333333333,0.0231588715902423
13,"1000",0.0446666666666667,0.033291640592397
13,"250",0.062,0.008
13,"500",0.0406666666666667,0.00802080627701064
13,"750",0.0296666666666667,0.00702376916856849
13,"DMSO +",0.0463333333333333,0.0127017059221718
