"culture","conc_µg_ml","day","OD600"
"Aza1","+",0,0.03
"Aza1","DMSO +",0,0.037
"Aza1","100",0,0.023
"Aza1","250",0,0.016
"Aza1","500",0,0.008
"Aza1","750",0,0.005
"Aza1","1000",0,0.007
"Aza1","+",1,0.099
"Aza1","DMSO +",1,-0.011
"Aza1","100",1,0.023
"Aza1","250",1,-0.009
"Aza1","500",1,-0.021
"Aza1","750",1,-0.017
"Aza1","1000",1,-0.028
"Aza1","+",2,0.206
"Aza1","DMSO +",2,0.028
"Aza1","100",2,0.065
"Aza1","250",2,-0.003
"Aza1","500",2,-0.013
"Aza1","750",2,-0.017
"Aza1","1000",2,-0.021
"Aza1","+",3,0.224
"Aza1","DMSO +",3,0.029
"Aza1","100",3,0.096
"Aza1","250",3,0.006
"Aza1","500",3,-0.021
"Aza1","750",3,-0.026
"Aza1","1000",3,-0.023
"Aza1","+",6,0.189
"Aza1","DMSO +",6,0.101
"Aza1","100",6,0.119
"Aza1","250",6,0.097
"Aza1","500",6,0.042
"Aza1","750",6,0.035
"Aza1","1000",6,0.034
"Aza1","+",7,0.162
"Aza1","DMSO +",7,0.088
"Aza1","100",7,0.101
"Aza1","250",7,0.125
"Aza1","500",7,0.032
"Aza1","750",7,0.031
"Aza1","1000",7,0.029
"Aza1","+",8,0.159
"Aza1","DMSO +",8,0.086
"Aza1","100",8,0.109
"Aza1","250",8,0.137
"Aza1","500",8,0.039
"Aza1","750",8,0.034
"Aza1","1000",8,0.036
"Aza1","+",9,0.131
"Aza1","DMSO +",9,0.073
"Aza1","100",9,0.105
"Aza1","250",9,0.11
"Aza1","500",9,0.035
"Aza1","750",9,0.033
"Aza1","1000",9,0.031
"Aza1","+",10,0.113
"Aza1","DMSO +",10,0.061
"Aza1","100",10,0.095
"Aza1","250",10,0.082
"Aza1","500",10,0.038
"Aza1","750",10,0.027
"Aza1","1000",10,0.031
"Aza1","+",13,0.071
"Aza1","DMSO +",13,0.061
"Aza1","100",13,0.078
"Aza1","250",13,0.062
"Aza1","500",13,0.049
"Aza1","750",13,0.037
"Aza1","1000",13,0.028
"Aza2","+",0,0.006
"Aza2","DMSO +",0,0.003
"Aza2","100",0,-0.007
"Aza2","250",0,-0.009
"Aza2","500",0,-0.026
"Aza2","750",0,-0.023
"Aza2","1000",0,-0.018
"Aza2","+",1,0.052
"Aza2","DMSO +",1,-0.017
"Aza2","100",1,0.011
"Aza2","250",1,-0.005
"Aza2","500",1,-0.023
"Aza2","750",1,-0.02
"Aza2","1000",1,-0.025
"Aza2","+",2,0.19
"Aza2","DMSO +",2,0.031
"Aza2","100",2,0.099
"Aza2","250",2,0.022
"Aza2","500",2,-0.019
"Aza2","750",2,-0.018
"Aza2","1000",2,-0.022
"Aza2","+",3,0.245
"Aza2","DMSO +",3,0.051
"Aza2","100",3,0.133
"Aza2","250",3,0.036
"Aza2","500",3,-0.02
"Aza2","750",3,-0.022
"Aza2","1000",3,-0.027
"Aza2","+",6,0.172
"Aza2","DMSO +",6,0.094
"Aza2","100",6,0.151
"Aza2","250",6,0.084
"Aza2","500",6,0.034
"Aza2","750",6,0.035
"Aza2","1000",6,0.034
"Aza2","+",7,0.166
"Aza2","DMSO +",7,0.071
"Aza2","100",7,0.132
"Aza2","250",7,0.131
"Aza2","500",7,0.028
"Aza2","750",7,0.019
"Aza2","1000",7,0.122
"Aza2","+",8,0.16
"Aza2","DMSO +",8,0.073
"Aza2","100",8,0.14
"Aza2","250",8,0.158
"Aza2","500",8,0.034
"Aza2","750",8,0.031
"Aza2","1000",8,0.119
"Aza2","+",9,0.137
"Aza2","DMSO +",9,0.065
"Aza2","100",9,0.133
"Aza2","250",9,0.143
"Aza2","500",9,0.033
"Aza2","750",9,0.029
"Aza2","1000",9,0.105
"Aza2","+",10,0.134
"Aza2","DMSO +",10,0.058
"Aza2","100",10,0.126
"Aza2","250",10,0.111
"Aza2","500",10,0.031
"Aza2","750",10,0.029
"Aza2","1000",10,0.1
"Aza2","+",13,0.081
"Aza2","DMSO +",13,0.039
"Aza2","100",13,0.11
"Aza2","250",13,0.07
"Aza2","500",13,0.033
"Aza2","750",13,0.023
"Aza2","1000",13,0.083
"Aza3","+",0,0.001
"Aza3","DMSO +",0,0.013
"Aza3","100",0,0.005
"Aza3","250",0,-0.002
"Aza3","500",0,-0.004
"Aza3","750",0,0.003
"Aza3","1000",0,0.001
"Aza3","+",1,0.054
"Aza3","DMSO +",1,-0.002
"Aza3","100",1,0
"Aza3","250",1,-0.022
"Aza3","500",1,-0.026
"Aza3","750",1,-0.026
"Aza3","1000",1,-0.031
"Aza3","+",2,0.215
"Aza3","DMSO +",2,0.034
"Aza3","100",2,0.051
"Aza3","250",2,-0.001
"Aza3","500",2,-0.01
"Aza3","750",2,-0.016
"Aza3","1000",2,-0.018
"Aza3","+",3,0.237
"Aza3","DMSO +",3,0.07
"Aza3","100",3,0.082
"Aza3","250",3,-0.013
"Aza3","500",3,-0.02
"Aza3","750",3,-0.025
"Aza3","1000",3,-0.032
"Aza3","+",6,0.223
"Aza3","DMSO +",6,0.113
"Aza3","100",6,0.11
"Aza3","250",6,0.088
"Aza3","500",6,0.033
"Aza3","750",6,0.033
"Aza3","1000",6,0.035
"Aza3","+",7,0.181
"Aza3","DMSO +",7,0.087
"Aza3","100",7,0.112
"Aza3","250",7,0.161
"Aza3","500",7,0.026
"Aza3","750",7,0.026
"Aza3","1000",7,0.027
"Aza3","+",8,0.174
"Aza3","DMSO +",8,0.084
"Aza3","100",8,0.11
"Aza3","250",8,0.142
"Aza3","500",8,0.034
"Aza3","750",8,0.03
"Aza3","1000",8,0.03
"Aza3","+",9,0.156
"Aza3","DMSO +",9,0.069
"Aza3","100",9,0.124
"Aza3","250",9,0.109
"Aza3","500",9,0.03
"Aza3","750",9,0.029
"Aza3","1000",9,0.03
"Aza3","+",10,0.136
"Aza3","DMSO +",10,0.068
"Aza3","100",10,0.097
"Aza3","250",10,0.089
"Aza3","500",10,0.035
"Aza3","750",10,0.026
"Aza3","1000",10,0.025
"Aza3","+",13,0.078
"Aza3","DMSO +",13,0.039
"Aza3","100",13,0.065
"Aza3","250",13,0.054
"Aza3","500",13,0.04
"Aza3","750",13,0.029
"Aza3","1000",13,0.023
