"day","conc_µg_ml","OD600_mean","sd_OD600"
0,"+",-0.0316666666666667,0.00378593889720018
0,"100",-0.0293333333333333,0.00611010092660778
0,"1000",-0.034,0.00346410161513775
0,"250",-0.032,0.00360555127546399
0,"500",-0.0323333333333333,0.00450924975282289
0,"750",-0.033,0.00458257569495584
0,"DMSO +",-0.0276666666666667,0.0102632028788938
3,"+",0.285666666666667,0.0386953916291505
3,"100",0.0896666666666667,0.0447697814751573
3,"1000",0.065,0.0305122926047847
3,"250",0.038,0.0147986485869487
3,"500",0.0543333333333333,0.0482113402980391
3,"750",0.0313333333333333,0.00901849950564579
3,"DMSO +",0.072,0.0158745078663875
4,"+",0.269,0.0485695377783236
4,"100",0.105,0.067
4,"1000",0.0726666666666667,0.0467047463683653
4,"250",0.0303333333333333,0.0135769412362775
4,"500",0.0523333333333333,0.0534072404579504
4,"750",0.0566666666666667,0.0609289203361863
4,"DMSO +",0.067,0.0137477270848675
5,"+",0.245,0.0412189276910499
5,"100",0.107666666666667,0.0686027210344702
5,"1000",0.0733333333333333,0.0412350983184633
5,"250",0.0336666666666667,0.0142243921955679
5,"500",0.0556666666666667,0.0522525916422653
5,"750",0.0663333333333333,0.0467368519835615
5,"DMSO +",0.0656666666666667,0.0115902257671425
6,"+",0.21,0.038314488121336
6,"100",0.0983333333333333,0.0623885673287449
6,"1000",0.0663333333333333,0.0352183664205672
6,"250",0.032,0.0113578166916005
6,"500",0.053,0.0493659801887899
6,"750",0.0863333333333333,0.0541233159861195
6,"DMSO +",0.0566666666666667,0.00814452781524708
7,"+",0.184,0.036428011200174
7,"100",0.0856666666666667,0.0563057131500289
7,"1000",0.0613333333333333,0.0332014055927356
7,"250",0.031,0.0164620776331543
7,"500",0.049,0.0502294734194974
7,"750",0.0986666666666667,0.0821238901497812
7,"DMSO +",0.049,0.006557438524302
10,"+",0.119333333333333,0.0341955162752858
10,"100",0.0576666666666667,0.0355715241918776
10,"1000",0.0523333333333333,0.02720906711619
10,"250",0.045,0.0252388589282479
10,"500",0.0443333333333333,0.0465008960487143
10,"750",0.097,0.0934719209174606
10,"DMSO +",0.0333333333333333,0.00493288286231625
11,"+",0.111333333333333,0.0330807093837683
11,"100",0.0576666666666667,0.0336204302966713
11,"1000",0.057,0.0308058436014987
11,"250",0.053,0.0289309522829789
11,"500",0.0543333333333333,0.056888780381841
11,"750",0.0993333333333333,0.0923598036666024
11,"DMSO +",0.0343333333333333,0.00321455025366432
12,"+",0.100333333333333,0.0313900196453161
12,"100",0.051,0.030347981810987
12,"1000",0.0526666666666667,0.0295014123955673
12,"250",0.055,0.030347981810987
12,"500",0.064,0.0814063879557372
12,"750",0.0936666666666667,0.0902791965700478
12,"DMSO +",0.0283333333333333,0.00321455025366432
13,"+",0.0893333333333333,0.0276103845198384
13,"100",0.0516666666666667,0.0308922859842604
13,"1000",0.0533333333333333,0.0266520793435209
13,"250",0.06,0.0359304884464434
13,"500",0.0966666666666667,0.130239522931149
13,"750",0.0906666666666667,0.0843168626867327
13,"DMSO +",0.028,0.00360555127546399
14,"+",0.0803333333333333,0.0247857485933617
14,"100",0.0456666666666667,0.0274651294068194
14,"1000",0.0513333333333333,0.0258907963055085
14,"250",0.066,0.0391279950930277
14,"500",0.0973333333333333,0.138297987452216
14,"750",0.0826666666666667,0.0767224434786415
14,"DMSO +",0.024,0.003
