"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Cattle",1990,19487.996,147.929176879203,6.54400468665839,64.9894527774944,1266.51419577,397.992407180367,13.4286199,NA,60.8579008711523,74.8492987133498
"Dairy cattle",1990,6354.555,246.6989066,7.02373953,113.466522799787,721.02925979,566.8907333,13.4286199,NA,75.49175486,75.52314884
"Non-dairy cattle",1990,13133.441,100.1398976,6.31188719,41.5340454934849,545.48493598,316.2717292,NA,NA,53.77737795,74.52325943
"Cattle",1991,17133.7939999,149.821792950922,6.54380794670198,65.7684921592134,1126.86379634,397.111460832342,13.96208556,NA,61.0810976667253,74.8280745478043
"Dairy cattle",1991,5632.212,252.1493283,6.99093935,115.452403599154,650.25241298,564.5069049,13.96208556,NA,74.46210377,75.53366136
"Non-dairy cattle",1991,11501.5819999,99.71300161,6.32485208,41.4387675855499,476.61138336,315.1395522,NA,NA,54.5285501,74.4825556
"Cattle",1992,16207.34,154.129600685425,6.57131694949561,67.750977106669,1098.0631213,406.327033817263,14.39514319,NA,63.7390550293976,74.804216193761
"Dairy cattle",1992,5365.182,258.3893476,6.96225412,117.828744899987,632.17266122,575.3317585,14.39514319,NA,78.05626867,75.49665303
"Non-dairy cattle",1992,10842.158,102.5372408,6.37786385,42.9702703170347,465.89046008,322.6959793,NA,NA,56.65426094,74.46156765
"Cattle",1993,15896.62,157.442194290609,6.57750882690442,69.1741474382604,1099.63513565,414.07662107382,14.71884586,NA,64.3213411518066,74.7566232354827
"Dairy cattle",1993,5301,264.193019,6.9358014,120.017731499717,636.21399468,586.6597096,14.71884586,NA,79.66668102,75.46752033
"Non-dairy cattle",1993,10595.62,104.0346427,6.39825467,43.7370480415492,463.42114097,327.7331176,NA,NA,56.64405123,74.40096066
"Cattle",1994,15962.2369997,157.806879364729,6.58949881331677,69.3820128507561,1107.49213264,414.220727213701,15.0635055,NA,64.6788383589298,74.7145277363812
"Dairy cattle",1994,5273.295,267.3666358,6.92418002,121.240637899074,639.33764963,585.7690528,15.0635055,NA,79.24780155,75.44053367
"Non-dairy cattle",1994,10688.9419997,103.7565425,6.4243868,43.7980188332147,468.15448301,329.588878,NA,NA,57.49136922,74.35635913
"Cattle",1995,15889.9159999,158.687054566917,6.6022708173921,69.8275366670902,1109.55369212,411.961870916346,15.41836231,NA,64.8870903312477,74.6702422948424
"Dairy cattle",1995,5229.396,270.1819004,6.91252963,122.328853399131,639.70601665,581.8610258,15.41836231,NA,79.23046235,75.41385518
"Non-dairy cattle",1995,10660.5199999,103.9945348,6.45007691,44.0736169975205,469.84767547,328.6197862,NA,NA,57.85111345,74.30547151
"Cattle",1996,15759.6341425,160.245822438812,6.59667586108811,70.3964449535127,1109.4222174,412.645862976296,15.76260932,NA,65.2351720006694,74.6636807422734
"Dairy cattle",1996,5194.739,274.1224545,6.88725115,123.658928500546,642.37585858,582.8914945,15.76260932,NA,79.90103245,75.44189191
"Non-dairy cattle",1996,10564.8951425,104.2528974,6.45380054,44.2073823280258,467.04635882,328.9364073,NA,NA,58.0239961,74.28103578
"Cattle",1997,15227.6628566,160.931606526644,6.60569913155173,70.7263313347659,1076.99672865,411.086646110816,16.01970532,NA,65.3603464472195,74.6345663498519
"Dairy cattle",1997,5026.373,276.0653111,6.87452748,124.324870800476,624.90317382,579.1023879,16.01970532,NA,79.25976964,75.449792
"Non-dairy cattle",1997,10201.2898566,104.2030014,6.4732422,44.3172933212466,452.09355483,328.3020375,NA,NA,58.51183156,74.23288889
"Cattle",1998,14942.7925717,163.52553074088,6.59929247678891,71.5889110082386,1069.73824763,414.636062579978,16.91137651,NA,65.6376744888939,74.6305040009361
"Dairy cattle",1998,4832.973,285.527957,6.81237615,127.404318000535,615.74162898,584.7883266,16.91137651,NA,79.06491745,75.55138682
"Non-dairy cattle",1998,10109.8195717,105.2025876,6.49742838,44.9065005987697,453.99661865,333.2952145,NA,NA,59.21881585,74.19027836
"Cattle",1999,14896.242286,162.995578152573,6.60225831171601,71.3799319147299,1063.29276016,415.960779824987,16.87951723,NA,65.8704648578901,74.6002139346453
"Dairy cattle",1999,4765.136,285.6458901,6.81242453,127.46806860077,607.40268254,587.9928535,16.87951723,NA,79.38426714,75.54269781
"Non-dairy cattle",1999,10131.106286,105.3073652,6.50340725,44.9990420345295,455.89007762,335.0460007,NA,NA,59.51428776,74.15691942
"Cattle",2000,14538.6989997,164.342424503722,6.60247899847169,71.8439189050927,1044.51711192,417.624119903651,17.30977048,NA,65.6637705171766,74.5701435585448
"Dairy cattle",2000,4569.752,289.7087978,6.78234636,128.695632601069,588.10712447,591.0964066,17.30977048,NA,78.09588932,75.60115164
"Non-dairy cattle",2000,9968.9469997,106.8746463,6.52002804,45.7831692217578,456.40998745,338.1046552,NA,NA,59.96490385,74.09753083
"Cattle",2001,14603.7119996,166.565949865791,6.59493696610215,72.6029472122595,1060.27253141,422.404415366362,17.76248826,NA,66.7720793635851,74.5662454835152
"Dairy cattle",2001,4548.587,295.5874975,6.74220749,130.51081859927,593.63981284,599.2713646,17.76248826,NA,78.56851717,75.6776299
"Non-dairy cattle",2001,10055.1249996,108.2011126,6.52831693,46.4074507863963,466.63271857,342.3959912,NA,NA,61.43578333,74.06349403
"Cattle",2002,13988.4979996,166.914646468804,6.58749137164592,72.675138730339,1016.61603275,419.358460442634,17.99107294,NA,65.5232441356919,74.6399356439958
