"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Feeding_situation","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Cattle",1990,108818.069663165,NA,NA,NA,7323.82483710673,NA,NA,NA,NA,NA,NA
"Dairy cattle",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1991,103393.446941842,NA,NA,NA,6957.77434514776,NA,NA,NA,NA,NA,NA
"Dairy cattle",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1992,98184.4874662015,NA,NA,NA,6641.42425443345,NA,NA,NA,NA,NA,NA
"Dairy cattle",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1993,94565.0910933795,NA,NA,NA,6454.85371831133,NA,NA,NA,NA,NA,NA
"Dairy cattle",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1994,92974.8277500378,NA,NA,NA,6373.12524919619,NA,NA,NA,NA,NA,NA
"Dairy cattle",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1995,92396.5664997676,NA,NA,NA,6356.97926271665,NA,NA,NA,NA,NA,NA
"Dairy cattle",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1996,92159.0738460102,NA,NA,NA,6349.71403010868,NA,NA,NA,NA,NA,NA
"Dairy cattle",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1997,90685.4782631696,NA,NA,NA,6260.78650718415,NA,NA,NA,NA,NA,NA
"Dairy cattle",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1998,89174.7884149126,NA,NA,NA,6194.2503255406,NA,NA,NA,NA,NA,NA
"Dairy cattle",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",1999,88344.2030515799,NA,NA,NA,6145.96105872522,NA,NA,NA,NA,NA,NA
"Dairy cattle",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2000,87476.5634604952,NA,NA,NA,6073.28274044234,NA,NA,NA,NA,NA,NA
"Dairy cattle",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2001,86654.0105758768,NA,NA,NA,6060.51083912193,NA,NA,NA,NA,NA,NA
"Dairy cattle",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2002,84454.0894041294,NA,NA,NA,5930.61637548998,NA,NA,NA,NA,NA,NA
"Dairy cattle",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2003,83089.8710213939,NA,NA,NA,5862.64847052378,NA,NA,NA,NA,NA,NA
"Dairy cattle",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2004,81840.928312832,NA,NA,NA,5758.44076905971,NA,NA,NA,NA,NA,NA
"Dairy cattle",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2005,81251.7241834099,NA,NA,NA,5723.88037294731,NA,NA,NA,NA,NA,NA
"Dairy cattle",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2006,80825.040912742,NA,NA,NA,5689.50867703939,NA,NA,NA,NA,NA,NA
"Dairy cattle",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2007,81257.6483757962,NA,NA,NA,5722.20002197404,NA,NA,NA,NA,NA,NA
"Dairy cattle",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2008,81194.7761096605,NA,NA,NA,5728.07013756213,NA,NA,NA,NA,NA,NA
"Dairy cattle",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2009,80422.5390755222,NA,NA,NA,5674.96687828951,NA,NA,NA,NA,NA,NA
"Dairy cattle",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2010,79040.7240828495,NA,NA,NA,5605.55038921508,NA,NA,NA,NA,NA,NA
"Dairy cattle",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2011,77883.0460998699,NA,NA,NA,5555.58757251259,NA,NA,NA,NA,NA,NA
"Dairy cattle",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2012,77822.1197838006,NA,NA,NA,5562.42327177984,NA,NA,NA,NA,NA,NA
"Dairy cattle",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2013,78414.8655651741,NA,NA,NA,5598.59102721632,NA,NA,NA,NA,NA,NA
"Dairy cattle",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2014,79095.1009230759,NA,NA,NA,5670.03614892742,NA,NA,NA,NA,NA,NA
"Dairy cattle",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2015,79440.6355471216,NA,NA,NA,5713.44003280096,NA,NA,NA,NA,NA,NA
"Dairy cattle",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2016,79907.2992621705,NA,NA,NA,5728.27148287233,NA,NA,NA,NA,NA,NA
"Dairy cattle",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2017,79441.9800197854,NA,NA,NA,5730.05370946348,NA,NA,NA,NA,NA,NA
"Dairy cattle",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2018,78544.0439397283,NA,NA,NA,5678.5266324188,NA,NA,NA,NA,NA,NA
"Dairy cattle",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2019,77519.4559142322,NA,NA,NA,5641.83820546812,NA,NA,NA,NA,NA,NA
"Dairy cattle",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2020,76961.4491016064,NA,NA,NA,5642.78805325926,NA,NA,NA,NA,NA,NA
"Dairy cattle",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2021,76236.1459651674,NA,NA,NA,5603.70374245687,NA,NA,NA,NA,NA,NA
"Dairy cattle",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non-dairy cattle",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattle",2022,75424.4922748243,NA,NA,NA,5548.7938630815,NA,NA,NA,NA,NA,NA
"Dairy cattle",2022,19991.6998829133,NA,NA,NA,2744.78742693641,617.53851413523,NA,21.908236728872,NA,NA,NA
