"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Cattle",1990,8033.974999463,149.836589062939,6.5,63.8410490291246,512.897391839479,417.332155758642,9.91073907091377,NA,NA,72.6468832562783
"Dairy cattle",1990,3440.814999753,169.272003176121,6.5,72.2465662543821,248.587068848727,451.719551807663,9.91073907091377,NA,NA,75.809914175
"Non-dairy cattle",1990,4593.15999971,135.277186731805,6.5,57.5443317906278,264.310322990752,391.571967100857,NA,NA,NA,70.2774025
"Cattle",1991,8100.064556988,154.389138682835,6.5,65.7821304479147,532.839503324315,425.87722466398,9.42006950050214,NA,NA,72.6047653930015
"Dairy cattle",1991,3429.495556698,177.829607961111,6.5,75.9094110837942,260.330988023434,452.424996580359,9.42006950050214,NA,NA,75.8069211833333
"Non-dairy cattle",1991,4670.56900029,137.177320330131,6.5,58.345892178011,272.508515300881,406.383782682543,NA,NA,NA,70.2534931916667
"Cattle",1992,8144.3208997,156.491000111115,6.5,66.6796376421256,543.060366433186,438.999783460943,11.0623563757991,NA,NA,72.5974070230245
"Dairy cattle",1992,3467.8239,178.903519300945,6.5,76.3688391257497,264.83368553553,453.129980437827,11.0623563757991,NA,NA,75.790509675
"Non-dairy cattle",1992,4676.4969997,139.871152025959,6.5,59.4946775151367,278.226680897656,428.521633941914,NA,NA,NA,70.2295839083333
"Cattle",1993,8308.1019996,158.862864733571,6.5,67.6692886083228,562.203351998316,436.827128468841,10.4491240703796,NA,NA,72.5972905503248
"Dairy cattle",1993,3550.14,180.336811374113,6.5,76.9748070155864,273.271341378314,453.940827941936,10.4491240703796,NA,NA,75.7801873583333
"Non-dairy cattle",1993,4757.9619996,142.840139681781,6.5,60.726002150562,288.932010620002,424.057789610624,NA,NA,NA,70.222381025
"Cattle",1994,8887.0319999,158.192107883381,6.5,67.392388847253,598.918316235241,455.989884021213,11.4582210674211,NA,NA,72.6265687410922
"Dairy cattle",1994,3839.184,176.427954190358,6.5,75.3022210387965,289.099082176611,454.281379145484,11.4582210674211,NA,NA,75.7721263666666
"Non-dairy cattle",1994,5047.8479999,144.32267889709,6.5,61.3764982750605,309.81923405863,457.289302027252,NA,NA,NA,70.2341879666667
"Cattle",1995,9272.3260004,157.142154853484,6.5,66.9805134304121,621.065156200952,445.884177294866,10.8062801585616,NA,NA,72.6877254169421
"Dairy cattle",1995,4089.818,176.420074026747,6.5,75.3040479312615,307.979850702136,455.752778298224,10.8062801585616,NA,NA,75.781821
"Non-dairy cattle",1995,5182.5080004,141.928829407335,6.5,60.4119290263809,313.085305498816,438.096291195078,NA,NA,NA,70.245994925
"Cattle",1996,9017.27699969,166.136777654755,6.5,70.8010372202187,638.432564480074,452.984078722764,11.1538229362618,NA,NA,72.8115915144166
"Dairy cattle",1996,4165.098,183.745832521498,6.5,78.4380813830047,326.70229589219,456.2940875495,11.1538229362618,NA,NA,75.7866582083333
"Non-dairy cattle",1996,4852.17899969,151.021210151567,6.5,64.2454181116979,311.730268587884,450.142775641179,NA,NA,NA,70.2578019
"Cattle",1997,9061.999999841,166.553587426557,6.5,70.9816081230478,643.235332799773,479.696052248053,12.0026378233982,NA,NA,72.837432253662
"Dairy cattle",1997,4255.999999971,184.217884686088,6.5,78.6423627211179,334.701895738797,451.007016071982,12.0026378233982,NA,NA,75.7625397916667
"Non-dairy cattle",1997,4805.99999987,150.910797343726,6.5,64.1975524488809,308.533437060976,505.101907006236,NA,NA,NA,70.24707485
"Cattle",1998,8776.00000034,166.493750281167,6.5,70.9561677806867,622.711328467431,473.457949653473,12.085826786244,NA,NA,72.9660835971051
"Dairy cattle",1998,4344.0000003,180.632511679268,6.5,77.104678865014,334.942725012752,454.515757692351,12.085826786244,NA,NA,75.754334
"Non-dairy cattle",1998,4432.00000004,152.6357224118,6.5,64.9297390460473,287.768603454679,492.024033111066,NA,NA,NA,70.2331955666667
"Cattle",1999,8960.113939381,163.601814750784,6.5,69.7053846592713,624.568188735451,458.440486482033,11.1226827257789,NA,NA,72.888568065962
"Dairy cattle",1999,4316.408939631,183.094923926728,6.5,78.155189999246,337.349760791305,448.062137042119,11.1226827257789,NA,NA,75.7602185833333
"Non-dairy cattle",1999,4643.70499975,145.482612365452,6.5,61.8511356685252,287.218427944146,468.087352573543,NA,NA,NA,70.2193162583333
"Cattle",2000,9192.165003194,168.495104003462,6.5,71.7792935929413,659.807110519022,465.768984042519,12.4777284204536,NA,NA,72.9792783767369
"Dairy cattle",2000,4598.135669824,186.458503693198,6.5,79.5839182167767,365.937653096917,453.881865009655,12.4777284204536,NA,NA,75.7506426166667
"Non-dairy cattle",2000,4594.02933337,150.515647872282,6.5,63.9676928676757,293.869457422105,477.666728281858,NA,NA,NA,70.205436975
"Cattle",2001,9424.215996981,171.687137574058,6.5,73.1375605937138,689.264168527445,485.293707079334,13.098128100749,NA,NA,73.0718879352388
"Dairy cattle",2001,4879.862330501,190.200617177732,6.5,81.1732767978332,396.114415689077,458.786722394625,13.098128100749,NA,NA,75.732110225
"Non-dairy cattle",2001,4544.35366648,151.80681171147,6.5,64.5085691724866,293.149752838368,513.75769680183,NA,NA,NA,70.215262
"Cattle",2002,9652.87,170.889624697796,6.5,72.8064249356561,702.790955068647,473.716419837796,13.2072845041638,NA,NA,73.1655868560548
"Dairy cattle",2002,5161.589,188.345310186705,6.5,80.3979100419295,414.980968095413,454.227219436553,13.2072845041638,NA,NA,75.7312599416667
"Non-dairy cattle",2002,4491.281,150.828739127062,6.5,64.0819371963665,287.809986973234,496.114315317916,NA,NA,NA,70.216996025
"Cattle",2003,9728.218955908,174.784793509651,6.5,74.4813464025492,724.570845934829,477.569537286027,12.9431378338679,NA,NA,73.1141979642781
"Dairy cattle",2003,5101.602955908,196.101251441704,6.5,83.7223537119174,427.118207172293,458.475721486283,12.9431378338679,NA,NA,75.740082075
"Non-dairy cattle",2003,4626.616,151.279902506021,6.5,64.2916202171384,297.452638762536,498.623600801031,NA,NA,NA,70.2187300583333
"Cattle",2004,9599.889569218,176.753736471532,6.5,75.3228794184096,723.091324452256,480.563341192378,13.2721445877749,NA,NA,73.1910234504973
"Dairy cattle",2004,5152.491569218,192.899479752556,6.5,82.3666872029863,424.393661397803,456.525553776623,13.2721445877749,NA,NA,75.755076125
"Non-dairy cattle",2004,4447.398,158.04823583178,6.5,67.1623414532392,298.697663054453,508.41209612781,NA,NA,NA,70.2204640833333
"Cattle",2005,9510.804,177.376245068953,6.5,75.5729168321556,718.759199698933,485.351470058117,12.3076720057059,NA,NA,73.2069317266018
"Dairy cattle",2005,5087.178,192.840917609486,6.5,82.339038878488,418.873347123789,454.911584249991,12.3076720057059,NA,NA,75.7878957416667
"Non-dairy cattle",2005,4423.626,159.591843330333,6.5,67.7918640895826,299.885852575144,520.357394475239,NA,NA,NA,70.2388183833333
"Cattle",2006,9608.692,176.955260180783,6.5,75.4095259739259,724.586908949454,500.149612173181,12.8030092339154,NA,NA,73.2364213921577
"Dairy cattle",2006,5169.557,190.937391813559,6.5,81.5346181816868,421.497856163466,445.28054585177,12.8030092339154,NA,NA,75.7811998833333
"Non-dairy cattle",2006,4439.135,160.672487420518,6.5,68.2766018122873,303.089052785988,564.046917816131,NA,NA,NA,70.2729211916667
"Cattle",2007,9654.467,174.325918658949,6.5,74.3066962737462,717.391547053906,504.513469220245,13.1746223331549,NA,NA,73.3104563887604
"Dairy cattle",2007,5260.85,189.072508538157,6.5,80.7292361673062,424.704402090773,444.314239402245,13.1746223331549,NA,NA,75.8187833083333
"Non-dairy cattle",2007,4393.617,156.668576800059,6.5,66.6164449389041,292.687144963133,576.595109060046,NA,NA,NA,70.3070239833333
"Cattle",2008,9715.312,176.009681082983,6.5,75.0409147087743,729.045899161131,490.44086191036,12.6567508649186,NA,NA,73.5642315970285
"Dairy cattle",2008,5578.44,188.095924453199,6.5,80.3073097999174,447.989509280251,456.463741418787,12.6567508649186,NA,NA,75.9544288666667
"Non-dairy cattle",2008,4136.872,159.711767232579,6.5,67.9393488318904,281.05638988088,536.257925632663,NA,NA,NA,70.3411267833333
"Cattle",2009,9961.494,175.8031239846,6.5,74.9433966288574,746.548195857983,489.338315353519,13.2707475370243,NA,NA,73.6962118289688
"Dairy cattle",2009,5860.775,187.30115248827,6.5,79.9771803291215,468.728259043407,451.405119868108,13.2707475370243,NA,NA,76.0338242333333
"Non-dairy cattle",2009,4100.719,159.370064805563,6.5,67.7490793235469,277.819936814576,543.552691849692,NA,NA,NA,70.3552805583333
"Cattle",2010,9863.971,178.625169736883,6.5,76.1547497518904,751.188243064904,482.990959324596,12.800984730914,NA,NA,73.8019655617459
"Dairy cattle",2010,5915.451,193.607191954111,6.5,82.6627197363053,488.987268126847,460.452023777869,12.800984730914,NA,NA,76.1037445666667
