"Year","Animal","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Weight_kg","Digestibility_of_feed_in_percent","Population_size_1000s","Ch4_emission_in_kt","Milk_yield_kg_per_day","Pregnant_in_percent"
1990,"Cattle",155.777263847172,6.22961227900629,62.2092908361066,409.674754091129,65.3167707714528,101088.450771948,6288.64083424356,21.9178019177491,0.288951366124859
1990,"Dairy cattle",199.547879004794,6.53676278883145,79.2811166148949,468.768419455143,66.6397611542452,19512.3505454128,1546.96093902158,18.3580405097839,0.341827438189809
1990,"Non-dairy cattle",145.307682877107,6.1561443343354,58.1258466886064,395.540022099848,65.0003220561359,81576.1002265352,4741.67989522198,3.55976140796516,0.276303832708446
1991,"Cattle",156.479319704843,6.21096523844985,62.254447534786,411.424811653395,65.3877886024258,101143.694941027,6296.64485018056,22.2267768436444,0.288916582660326
1991,"Dairy cattle",200.773366298765,6.48859478784027,78.9157905277126,468.465622896647,66.6401948292278,19411.0245340661,1531.83634605865,18.6670154356792,0.341923713936479
1991,"Non-dairy cattle",145.959746309448,6.1450298668565,58.2974773783496,397.877957244103,65.0903495505262,81732.6704069609,4764.80850412191,3.55976140796516,0.276327703322863
1992,"Cattle",157.76754909266,6.20525081934016,62.7770665212906,417.811542075682,65.409494508048,103348.090791999,6487.8899704977,22.8964685433328,0.284496825966293
1992,"Dairy cattle",203.303974739647,6.44420700799858,79.1929889658731,468.172925825458,66.6298436064301,19076.825883357,1510.75086168457,19.3367071353676,0.339625744849534
1992,"Non-dairy cattle",147.459284889438,6.15115734382713,59.0609279949556,406.411032660273,65.1332391641656,84271.2649086419,4977.13910881313,3.55976140796516,0.2720170704077
1993,"Cattle",158.088326370047,6.21274325645526,63.0212381950972,420.315740745105,65.3906459822527,104512.885166898,6586.5314305599,23.0850700232148,0.283259022107415
1993,"Dairy cattle",203.979600752399,6.41380335884158,78.9136946800422,468.104399836999,66.6257129377613,18990.6367644308,1498.62131140788,19.5253086152496,0.338708737352483
1993,"Non-dairy cattle",147.897942712794,6.16809686977153,59.4922399047364,409.704033461609,65.1163932776063,85522.2484024669,5087.91011915202,3.55976140796516,0.270946139546673
1994,"Cattle",158.556696684988,6.18558737552707,62.9366637351323,421.950851451366,65.5629160718764,106543.661997847,6705.50262826812,23.6519670958342,0.284985286601219
1994,"Dairy cattle",205.022188892918,6.38492808591511,78.8070354318388,468.067893169923,66.9240510155643,18713.976504305,1474.79300944536,20.092205687869,0.338338674227973
1994,"Non-dairy cattle",148.65623849077,6.14311361110914,59.5551445895515,412.12463802114,65.2728974157441,87829.6854935424,5230.70961882275,3.55976140796516,0.273617216263024
1995,"Cattle",158.880860827559,6.17584754321448,62.9707721411506,423.17788394258,65.6295844805073,109041.908025086,6866.45314408402,23.9331165358378,0.282043323590087
1995,"Dairy cattle",206.034516147186,6.360590374151,78.7312921451829,467.860429601101,66.9227226617768,18680.6537635394,1470.75200892023,20.3733551278726,0.338043779405904
1995,"Non-dairy cattle",149.132643896422,6.13765510234782,59.7125524568988,413.940526941045,65.3622501364887,90361.254261547,5395.7011351638,3.55976140796516,0.270466180994571
1996,"Cattle",159.431256725896,6.17018133099826,63.1358294079975,425.052548090425,65.681681082795,108147.990911336,6828.01310499576,23.967051283406,0.284817963703581
1996,"Dairy cattle",206.470706991451,6.33863142570585,78.4798103019971,467.798994221527,66.9229835536451,18555.5217474709,1456.2338267961,20.4072898754408,0.338101697455912
1996,"Non-dairy cattle",149.688902814485,6.13529358401594,59.9579331648362,416.199319485217,65.4245945753239,89592.4691638649,5371.77927819966,3.55976140796516,0.273782354464823
1997,"Cattle",160.119792121542,6.15627406826703,63.2543324297341,425.551328512311,65.7835119138492,105709.28014629,6686.56994728129,24.5116034459802,0.285090702616593
1997,"Dairy cattle",208.438324506443,6.32082061344984,78.8717749733953,467.610308457658,66.921976496813,18366.7448038228,1448.61776316089,20.951842038015,0.337878130625975
1997,"Non-dairy cattle",149.95917392871,6.12167254918044,59.9702328720203,416.706994553645,65.544110934916,87342.5353424668,5237.9521841204,3.55976140796516,0.273990346812895
1998,"Cattle",160.655590256488,6.14455170086042,63.3336767982964,427.354833994194,65.8670676408869,104264.808441053,6603.47367924194,24.9017661235089,0.284464786762336
1998,"Dairy cattle",209.900095070272,6.30226034585344,79.1102415155173,467.609081901835,66.9215509819682,18137.4489423687,1434.85796630615,21.3420047155437,0.337783666240325
1998,"Non-dairy cattle",150.285253850599,6.11134004183615,60.0113104943703,418.877744131135,65.6450053615976,86127.3594986844,5168.6157129358,3.55976140796516,0.273236433079775
1999,"Cattle",162.050359423191,6.10394088638447,63.4303554086764,427.151551984435,65.9441935371493,104257.101933663,6613.06502953084,25.619871216853,0.283135635390886
1999,"Dairy cattle",217.504493264615,6.28270477574962,81.6311260263923,467.548447434551,65.915271431758,18072.0209694026,1475.23942130491,22.0601098088878,0.336390047925058
1999,"Non-dairy cattle",150.422264880495,6.06645615328411,59.6138629881488,418.68078728241,65.9502581702536,86185.0809642603,5137.82560822593,3.55976140796516,0.271968797125341
2000,"Cattle",162.402822470114,6.10759448582199,63.5376237885113,424.801397618061,66.100473380663,102952.359145949,6541.34826355499,26.1581070174978,0.285895170777718
2000,"Dairy cattle",219.855040677752,6.27078310282253,82.2261850217977,467.294684257235,65.9184714877048,18142.2024967036,1491.76409919687,22.5983456095326,0.337100459611297
2000,"Non-dairy cattle",150.112905580578,6.07268592001159,59.5398518746052,415.711427248749,66.1394063967932,84810.1566492453,5049.58416435813,3.55976140796516,0.27494156857223
2001,"Cattle",162.309078046068,6.116820960789,63.5939763474273,425.390863471488,66.0560436945364,102163.813848344,6497.00316143459,26.115255704603,0.286827605550229
