"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Feeding_situation","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Cattle",1990,101088.450771948,NA,NA,62.2092908361066,6288.64083424356,NA,NA,NA,NA,NA,NA
"Dairy cows",1990,10014.8,308.900613449876,5.97958004588554,121.231229770463,1214.10651990523,679.774666966005,"stall fed w/ pasture",18.3580405097839,NA,0.666,68.0999994277954
"Heifer feedlot",1990,3191.8805417694,170.097611324419,3.63118608178375,39.6468115747459,126.547886408629,383.38390717987,"stall fed",NA,NA,NA,76.5353024397572
"Steer feedlot",1990,6356.74076151697,169.102194197016,3.5278045844034,39.0732714929763,248.378657585221,418.463590625371,"stall fed",NA,NA,NA,76.68490003253
"Beef replacements",1990,4236.00313395921,141.848479772071,6.49999976158142,60.5150062329497,256.341756054336,371.535845000759,"pasture w/stall fed",NA,NA,NA,64.3383670589827
"Dairy replacements",1990,4128.92539624452,165.004431136376,6.05889879635488,65.6166964505439,270.926444392318,407.71842772078,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef cows",1990,32454.7,206.741273487677,6.49999976158142,88.1993904609896,2862.48475759428,553.336578910328,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.3762905724324
"Heifer stocker",1990,5946.43500523837,120.759225929539,6.49999976158142,51.5179670698949,306.348242783141,295.342633986875,"pasture w/stall fed",NA,NA,NA,64.6914683600931
"Steer stocker",1990,10320.6288977998,127.881614313241,6.49999976158142,54.556500708929,563.057397779408,313.608846942022,"pasture w/stall fed",NA,NA,NA,64.5261173827299
"Bulls",1990,2160.3,213.044921094924,6.49999976158142,90.8886351737692,196.346718565894,830.004868365492,"pasture w/stall fed",NA,NA,NA,62.3268214615002
"Dairy calves",1990,5368.62514916832,22.1247177154638,7.94366647435177,11.535164591185,61.9279747240315,122.103406617067,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef calves",1990,16909.4118862515,25.2534452069586,6.49999976158142,10.7735549690639,182.174478451073,122.103406617067,"pasture w/stall fed",NA,NA,NA,64.3721699740529
"Cattle",1991,101143.694941027,NA,NA,62.254447534786,6296.64485018056,NA,NA,NA,NA,NA,NA
"Dairy cows",1991,9965.6,311.493808618428,5.9150774811307,120.930239389209,1205.1423936571,679.774666966005,"stall fed w/ pasture",18.6670154356792,NA,0.666,68.0999994277954
"Heifer feedlot",1991,3311.87873806998,169.526757481821,3.6093282840156,39.4237651875736,130.566729699389,387.786597638395,"stall fed",NA,NA,NA,76.924017916722
"Steer feedlot",1991,6512.45945397506,168.664153767135,3.51509303900909,38.8431012180314,252.964121749079,423.376160118182,"stall fed",NA,NA,NA,77.1081011223961
"Beef replacements",1991,4378.20570591608,142.201187163103,6.49999976158142,60.6654772848847,265.605938800804,372.389250762307,"pasture w/stall fed",NA,NA,NA,64.3416641326939
"Dairy replacements",1991,4092.50867016145,164.67246327783,5.98250062284483,64.6589712370456,264.617400391329,406.752606044481,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef cows",1991,32519.8,207.134493826889,6.49999976158142,88.3671450348603,2873.68188310465,555.149311355571,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.3830148947593
"Heifer stocker",1991,5762.32381366859,123.278644690166,6.49999976158142,52.5927945354251,303.056712378859,297.423437841075,"pasture w/stall fed",NA,NA,NA,64.6875502144318
"Steer stocker",1991,10103.6700829218,128.928305906342,6.49999976158142,55.0030373823018,555.732543269392,314.763370168365,"pasture w/stall fed",NA,NA,NA,64.5289892871212
"Bulls",1991,2195.5,213.611185316553,6.49999976158142,91.1302132502948,200.076383191022,832.723967033355,"pasture w/stall fed",NA,NA,NA,62.3183907382322
"Dairy calves",1991,5352.91586390465,22.2440552346648,7.9432484808701,11.5967733453108,62.0765520102209,122.250513194468,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef calves",1991,16948.8326124094,25.3260543213856,6.49999976158142,10.8045312686984,183.124191928712,122.250513194468,"pasture w/stall fed",NA,NA,NA,64.3789011702176
"Cattle",1992,103348.090791999,NA,NA,62.7770665212906,6487.8899704977,NA,NA,NA,NA,NA,NA
"Dairy cows",1992,9728.2,316.813538591259,5.86216853010863,121.895335754053,1185.82220528257,679.774666966005,"stall fed w/ pasture",19.3367071353676,NA,0.666,68.0999994277954
"Heifer feedlot",1992,3338.77450027925,167.501166001576,3.60301971108202,38.8803136188309,129.812599673413,391.784259292483,"stall fed",NA,NA,NA,77.3561445320923
"Steer feedlot",1992,6614.10867571611,165.811357043516,3.51773417681126,38.1588707473455,252.386918065547,424.426609109926,"stall fed",NA,NA,NA,77.5289872686002
"Beef replacements",1992,4583.74272057979,146.370656163337,6.49999976158142,62.4442446212894,286.228351724939,381.228703047562,"pasture w/stall fed",NA,NA,NA,64.3655397863062
"Dairy replacements",1992,4133.01227447385,164.642128715157,5.92242505010215,63.9978820789936,264.504032172811,406.663851357268,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef cows",1992,33006.8,211.144004147814,6.49999976158142,90.0776712417801,2973.17567914319,572.370269585376,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.3874870655523
"Heifer stocker",1992,6078.74538974101,125.312808922235,6.49999976158142,53.4606040556987,324.973400436348,305.175719881148,"pasture w/stall fed",NA,NA,NA,64.6716404490868
"Steer stocker",1992,11139.8303158254,129.880173797469,6.49999976158142,55.4091206301239,617.248201768681,323.660893635998,"pasture w/stall fed",NA,NA,NA,64.5387746213751
"Bulls",1992,2239,218.492353796187,6.49999976158142,93.2126038507702,208.703020021874,858.555404378064,"pasture w/stall fed",NA,NA,NA,62.3317935884018
"Dairy calves",1992,5215.61360888319,22.2219533875243,7.94330539670537,11.5853337230106,60.4246242291873,122.233515106484,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef calves",1992,17270.2633065003,25.056480758506,6.49999976158142,10.6895265406667,184.610937979137,122.233515106484,"pasture w/stall fed",NA,NA,NA,64.3834931430808
"Cattle",1993,104512.885166898,NA,NA,63.0212381950972,6586.5314305599,NA,NA,NA,NA,NA,NA
"Dairy cows",1993,9658.1,318.286017253348,5.81863491579904,121.552452138661,1173.9657380004,679.774666966005,"stall fed w/ pasture",19.5253086152496,NA,0.666,68.0999994277954
"Heifer feedlot",1993,3238.29975153029,165.082350335419,3.62132144720902,38.4842416105561,124.623510045295,391.409851838819,"stall fed",NA,NA,NA,77.6860222123385
"Steer feedlot",1993,6428.93618118717,162.796576392105,3.53480338205003,37.604349871577,241.755965459402,421.272833073173,"stall fed",NA,NA,NA,77.8691253274561
"Beef replacements",1993,4857.43219689247,148.562674314253,6.49999976158142,63.3793973439592,307.861125278189,386.284038408827,"pasture w/stall fed",NA,NA,NA,64.3882625423972
"Dairy replacements",1993,4150.39070997069,164.861710520275,5.88925941969696,63.724368848149,264.481028466103,407.293773793815,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef cows",1993,33364.9,212.918335563753,6.49999976158142,90.834631604467,3030.68840001988,580.074382477658,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.3928453670601
"Heifer stocker",1993,6331.2667280255,127.318405425474,6.49999976158142,54.3162260904876,343.890515038615,309.649507674,"pasture w/stall fed",NA,NA,NA,64.678958223475
"Steer stocker",1993,11439.3529618832,130.566673348668,6.49999976158142,55.701993170503,637.194760557792,326.894561562516,"pasture w/stall fed",NA,NA,NA,64.5573639332824
"Bulls",1993,2277.6,220.657405856574,6.49999976158142,94.1362523744591,214.404728408068,870.111573716487,"pasture w/stall fed",NA,NA,NA,62.3388696578214
"Dairy calves",1993,5182.14605446013,22.2733610789123,7.94314246824886,11.6118967526172,60.1745449413735,122.312380328163,"stall fed w/ pasture",NA,NA,NA,65.0999963283539
"Beef calves",1993,17584.4605829483,24.9927038523619,6.49999976158142,10.662318213309,187.491114344783,122.312380328163,"pasture w/stall fed",NA,NA,NA,64.388907919914
"Cattle",1994,106543.661997847,NA,NA,62.9366637351323,6705.50262826812,NA,NA,NA,NA,NA,NA
"Dairy cows",1994,9507,321.006947605998,5.78041888879852,121.786401830826,1157.82332220566,679.774666966005,"stall fed w/ pasture",20.092205687869,NA,0.666,68.4000015258789
"Heifer feedlot",1994,3629.05599797186,165.120239617902,3.58897631945183,38.3832696350191,139.295034890737,396.915612815442,"stall fed",NA,NA,NA,78.1621329361059
"Steer feedlot",1994,6955.57580655381,162.942573178471,3.51233463535221,37.4475097413149,260.468992772378,427.624952057821,"stall fed",NA,NA,NA,78.3876998732182
"Beef replacements",1994,5115.12971818993,148.524241646628,6.49999976158142,63.3630013055625,324.10997101179,386.860290288441,"pasture w/stall fed",NA,NA,NA,64.38542240464
"Dairy replacements",1994,4114.39202298014,163.467415735714,5.85307802012804,62.7972413787428,258.372468993858,406.90858831984,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef cows",1994,34602.9,212.865828659139,6.49999976158142,90.8122312540008,3142.36655685906,580.074382477658,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4013472260016
"Heifer stocker",1994,6262.57566891953,129.320264252708,6.49999976158142,55.1702535682738,345.507887644792,312.068774116433,"pasture w/stall fed",NA,NA,NA,64.6727330207954
"Steer stocker",1994,10887.8967159667,131.117023125786,6.49999976158142,55.9367818707143,609.033903631896,326.626423697488,"pasture w/stall fed",NA,NA,NA,64.5601264772366
"Bulls",1994,2312,220.603842636155,6.49999976158142,94.1134013814651,217.590183993947,870.111573716487,"pasture w/stall fed",NA,NA,NA,62.349134866348
"Dairy calves",1994,5092.58448132488,22.0709826228722,7.94313662112605,11.5063811824284,58.5972182458437,122.258619130153,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef calves",1994,18064.5515859406,24.9572916556821,6.49999976158142,10.6472107598753,192.337088018148,122.258619130153,"pasture w/stall fed",NA,NA,NA,64.3974615709029
"Cattle",1995,109041.908025086,NA,NA,62.9707721411506,6866.45314408402,NA,NA,NA,NA,NA,NA
"Dairy cows",1995,9481.8,323.223823498766,5.74449768826502,121.865416826277,1155.50350926339,679.774666966005,"stall fed w/ pasture",20.3733551278726,NA,0.666,68.4000015258789
"Heifer feedlot",1995,3831.28154535635,164.37138235938,3.58905428890864,38.1650028299523,146.220871020869,398.721573468454,"stall fed",NA,NA,NA,78.5825897963282
"Steer feedlot",1995,7232.53614522603,162.201592978095,3.5149795997974,37.2769364861991,269.60679051973,429.386220876729,"stall fed",NA,NA,NA,78.7916429634291
"Beef replacements",1995,5129.56997493529,148.986851067496,6.49999976158142,63.5603584575898,326.037306340177,388.620267752955,"pasture w/stall fed",NA,NA,NA,64.3949032120398
"Dairy replacements",1995,4108.03422133966,163.510392111542,5.82141731850677,62.473976445803,256.645233182527,407.026012436984,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef cows",1995,35190.3,213.052831838291,6.49999976158142,90.8920100332315,3198.51710067243,580.980748700279,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4059765051349
"Heifer stocker",1995,6699.33170695981,131.298920547728,6.49999976158142,56.0143824459212,375.258928365733,317.656107320414,"pasture w/stall fed",NA,NA,NA,64.674337366378
"Steer stocker",1995,11716.0296448118,132.470304133782,6.49999976158142,56.5141148725576,662.121045197184,333.222442044583,"pasture w/stall fed",NA,NA,NA,64.5485657372636
"Bulls",1995,2384.8,220.874867003096,6.49999976158143,94.2290250475138,224.717378933311,871.471123050417,"pasture w/stall fed",NA,NA,NA,62.3467323625961
"Dairy calves",1995,5090.81954219978,22.0808305151401,7.94316640656781,11.511558402047,58.6032664743149,122.25427842709,"stall fed w/ pasture",NA,NA,NA,65.4000043869018
"Beef calves",1995,18177.4052442577,24.9164200897859,6.49999976158142,10.6297742454415,193.221714114363,122.25427842709,"pasture w/stall fed",NA,NA,NA,64.4021532862517
"Cattle",1996,108147.990911336,NA,NA,63.1358294079975,6828.01310499576,NA,NA,NA,NA,NA,NA
"Dairy cows",1996,9419.9,324.155401369227,5.71257210267972,121.537420089092,1144.87034349724,679.774666966005,"stall fed w/ pasture",20.4072898754408,NA,0.666,68.4000015258789
"Heifer feedlot",1996,3895.922905161,162.867776319726,3.59277606140055,37.7708715540527,147.152403635328,398.106689578706,"stall fed",NA,NA,NA,79.0161605107173
"Steer feedlot",1996,7173.0621836105,160.067153478736,3.52378025909011,36.7752176372203,263.790922927591,425.853201250092,"stall fed",NA,NA,NA,79.2138603215119
"Beef replacements",1996,4992.03030322616,149.266881505074,6.49999976158142,63.6798242685927,317.891612452931,389.17512263567,"pasture w/stall fed",NA,NA,NA,64.3892086693057
"Dairy replacements",1996,4072.51036041557,163.561560157929,5.79166346324173,62.174115946536,253.204731341947,407.181967239295,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef cows",1996,35318.7,213.475997650038,6.49999976158142,91.0725398617963,3216.56371361683,582.340298034211,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4079114810316
"Heifer stocker",1996,6595.48231112966,132.452748263021,6.49999976158142,56.5066252355155,372.688447202476,320.610681864219,"pasture w/stall fed",NA,NA,NA,64.6981761532453
"Steer stocker",1996,11291.7610421124,132.573861435391,6.49999976158142,56.558294202237,638.642743081152,335.058509640943,"pasture w/stall fed",NA,NA,NA,64.5648951704128
"Bulls",1996,2383.9,221.270038234072,6.49999976158142,94.3976119054345,225.034467021365,873.510447051316,"pasture w/stall fed",NA,NA,NA,62.3453108849743
"Dairy calves",1996,5063.11138705531,22.0327130100059,7.94336580537942,11.486761303653,58.1587519569116,122.176305817523,"stall fed w/ pasture",NA,NA,NA,65.4000043869018
"Beef calves",1996,17941.6104186252,24.8249278284483,6.49999976158142,10.5907420698834,190.014968261992,122.176305817523,"pasture w/stall fed",NA,NA,NA,64.4040816018813
"Cattle",1997,105709.28014629,NA,NA,63.2543324297341,6686.56994728129,NA,NA,NA,NA,NA,NA
"Dairy cows",1997,9317.9,328.250475800892,5.68672089548634,122.515865893418,1141.59058680828,679.774666966005,"stall fed w/ pasture",20.951842038015,NA,0.666,68.4000015258789
"Heifer feedlot",1997,4026.6771014093,161.413512259774,3.59903166374691,37.5841441666113,151.33921269176,397.301148001596,"stall fed",NA,NA,NA,79.3477513776236
"Steer feedlot",1997,7189.67545226744,158.684387038828,3.52868398376793,36.5617029791392,262.866778402211,425.520306159525,"stall fed",NA,NA,NA,79.5726315179588
"Beef replacements",1997,4763.37899710875,149.543739216952,6.49999976158142,63.7979365401293,303.893750974129,390.048753805492,"pasture w/stall fed",NA,NA,NA,64.3711729729083
