Emission_sectors,Country,Change_90_22_in_perc
Energy_in_kt,DEU,-85.5389143865509
Industrial_processes_and_product_use_in_kt,DEU,27.0047438779996
Agriculture_in_kt,DEU,-26.0093396036595
LULUCF_in_kt,DEU,-20.9889791745315
Waste_in_kt,DEU,-89.5568013398812
Other_in_kt,DEU,
Total_CH4_without_LULUCF_in_kt,DEU,-65.9029944199987
Total_CH4__with_LULUCF_in_kt,DEU,-63.2325577855027
Energy_in_kt,NZL,-57.3340153394794
Industrial_processes_and_product_use_in_kt,NZL,152.720416666667
Agriculture_in_kt,NZL,6.49516447146222
LULUCF_in_kt,NZL,-55.939490299851
Waste_in_kt,NZL,-8.40018696558686
Other_in_kt,NZL,-17.1489273936015
Total_CH4_without_LULUCF_in_kt,NZL,3.03361461338878
Total_CH4__with_LULUCF_in_kt,NZL,2.90692360847537
Energy_in_kt,USA,-30.9596562834779
Industrial_processes_and_product_use_in_kt,USA,-48.8529118034097
Agriculture_in_kt,USA,14.5074036715977
LULUCF_in_kt,USA,9.96570683776893
Waste_in_kt,USA,-35.1849743983362
Other_in_kt,USA,
Total_CH4_without_LULUCF_in_kt,USA,-19.4232049014538
Total_CH4__with_LULUCF_in_kt,USA,-17.7343842521156
