Country,Year,Agriculture_in_kt,Enteric_fermentation_in_kt,Manure_management_in_kt,Rice_cultivation_in_kt,Agriculture_soils_in_kt,Prescribed_burning_of_savannahs_in_kt,Field_burning_of_agricultural_residues_in_kt,Liming_in_kt,Urea_application_in_kt,Other_carbon_containing_fertilizers_in_kt,Other_in_kt,Agriculture_without_EntFer_in_kt
DEU,1990,1646.87658071,1343.70780608,303.15757797,,,,,,,,0.01119666,303.16877463
DEU,1991,1472.45508574,1201.01920584,271.4087627,,,,,,,,0.0271172,271.4358799
DEU,1992,1446.39901683,1172.38409596,273.97833395,,,,,,,,0.03658692,274.01492087
DEU,1993,1452.28775471,1175.46058839,276.77957605,,,,,,,,0.04759027,276.82716632
DEU,1994,1461.41091597,1182.99196782,278.36041604,,,,,,,,0.05853211,278.41894815
DEU,1995,1466.51167667,1186.47326033,279.89643634,,,,,,,,0.14198,280.03841634
DEU,1996,1471.68921664,1188.2629027,283.1903396,,,,,,,,0.23597434,283.42631394
DEU,1997,1433.62361725,1153.5484837,279.77706746,,,,,,,,0.29806609,280.07513355
DEU,1998,1431.565883,1145.37405072,285.51915098,,,,,,,,0.6726813,286.19183228
DEU,1999,1420.45749763,1135.86845541,283.82465115,,,,,,,,0.76439107,284.58904222
DEU,2000,1400.42837093,1117.40638415,281.8086278,,,,,,,,1.21335898,283.02198678
DEU,2001,1421.29186391,1134.45638991,285.11364743,,,,,,,,1.72182657,286.835474
DEU,2002,1371.13098366,1090.99500557,277.66109524,,,,,,,,2.47488285,280.13597809
DEU,2003,1359.37645983,1077.81820325,278.63268946,,,,,,,,2.92556712,281.55825658
DEU,2004,1321.47741526,1048.43782845,269.25424916,,,,,,,,3.78533765,273.03958681
DEU,2005,1315.7676996,1041.36338483,264.3599311,,,,,,,,10.04438367,274.40431477
DEU,2006,1291.36351783,1020.8433565,256.65112958,,,,,,,,13.86903175,270.52016133
DEU,2007,1299.09717238,1025.05629624,255.40198799,,,,,,,,18.63888815,274.04087614
DEU,2008,1306.78144982,1033.39913854,252.00373715,,,,,,,,21.37857413,273.38231128
DEU,2009,1310.07014639,1033.80840881,249.29051546,,,,,,,,26.97122212,276.26173758
DEU,2010,1298.86909583,1027.32592913,238.18176024,,,,,,,,33.36140646,271.5431667
DEU,2011,1290.98263951,1013.93400499,236.16885685,,,,,,,,40.87977767,277.04863452
DEU,2012,1296.67474513,1014.18010561,239.54466459,,,,,,,,42.94997493,282.49463952
DEU,2013,1319.38034254,1026.62829998,241.03728857,,,,,,,,51.71475399,292.75204256
DEU,2014,1334.59080934,1035.23718584,245.60297726,,,,,,,,53.75064624,299.3536235
DEU,2015,1332.45164268,1032.89058681,244.11265576,,,,,,,,55.44840011,299.56105587
DEU,2016,1322.93211877,1022.67228871,245.49331222,,,,,,,,54.76651784,300.25983006
DEU,2017,1315.76519793,1014.78686614,247.45864566,,,,,,,,53.51968613,300.97833179
DEU,2018,1298.06864906,999.63586674,246.06486167,,,,,,,,52.36792065,298.43278232
DEU,2019,1286.76939807,988.44674942,246.68135777,,,,,,,,51.64129088,298.32264865
DEU,2020,1269.1840662,973.58936618,243.5957346,,,,,,,,51.99896542,295.59470002
DEU,2021,1236.1272303,955.07262025,230.80621225,,,,,,,,50.2483978,281.05461005
DEU,2022,1218.53485798,945.46511643,218.98119579,,,,,,,,54.08854576,273.06974155
DEU,2023,1220.02457494,943.85946264,224.54675103,,,,,,,,51.61836127,276.1651123
DEU,2024,1197.14534572,923.14111319,222.38587126,,,,,,,,51.61836127,274.00423253
