Country,Year,Agriculture_in_kt,Enteric_fermentation_in_kt,Manure_management_in_kt,Rice_cultivation_in_kt,Agriculture_soils_in_kt,Prescribed_burning_of_savannahs_in_kt,Field_burning_of_agricultural_residues_in_kt,Liming_in_kt,Urea_application_in_kt,Other_carbon_containing_fertilizers_in_kt,Other_in_kt,Agriculture_without_EntFer_in_kt
USA,1990,8632.9443118368,6538.70445068913,1398.14748795652,676.721113937428,,,19.3712592537245,,,,,2094.23986114767
USA,1991,8728.00923952121,6548.20673927731,1463.0425599431,698.170460244886,,,18.5894800559171,,,,,2179.8025002439
USA,1992,8845.30956149624,6738.49283224526,1407.65441238578,679.229980555741,,,19.9323363094568,,,,,2106.81672925098
USA,1993,9015.01103017928,6834.9253249593,1475.80127014643,683.909179333818,,,20.3752557397306,,,,,2180.08570521998
USA,1994,9207.4436904803,6957.80883585048,1581.63531860936,648.212044827002,,,19.7874911934637,,,,,2249.63485462982
USA,1995,9446.7150859082,7113.86066484973,1632.23725112583,683.188210254283,,,17.4289596783543,,,,,2332.85442105847
USA,1996,9397.46106840713,7070.97643894609,1600.59282595005,704.430733522051,,,21.4610699889404,,,,,2326.48462946104
USA,1997,9268.40043024646,6933.6235694153,1676.02513386316,637.792709192351,,,20.9590177756492,,,,,2334.77686083116
USA,1998,9420.26713113684,6857.97780802722,1812.42905047632,729.815367568484,,,20.0449050648171,,,,,2562.28932310962
USA,1999,9378.18480198217,6864.3319313951,1814.73507191626,678.586833118406,,,20.5309655523973,,,,,2513.85287058707
USA,2000,9436.95929223487,6792.92293111744,1823.39974372227,801.118583644755,,,19.5180337504025,,,,,2644.03636111743
USA,2001,9330.43812741663,6751.76641969639,1880.12074804017,679.155432727856,,,19.3955269522058,,,,,2578.67170772024
USA,2002,9463.36673916922,6763.50872505385,1911.06295321984,766.756516583249,,,22.038544312282,,,,,2699.85801411537
USA,2003,9357.26879895144,6768.44321516028,1922.80392317118,639.456415898327,,,26.5652447216543,,,,,2588.82558379116
USA,2004,9155.39226485694,6642.10779877743,1860.22351834299,630.038960405088,,,23.0219873314245,,,,,2513.2844660795
USA,2005,9443.78583313096,6721.72746699257,1963.8498042151,735.366037091954,,,22.8425248313391,,,,,2722.05836613839
USA,2006,9463.91914578927,6833.16501270861,1967.38572409093,641.296837274252,,,22.07157171548,,,,,2630.75413308066
USA,2007,9775.61348205953,6946.99036776216,2146.76753925998,658.994534533599,,,22.8610405037965,,,,,2828.62311429737
USA,2008,9606.35453233167,6920.69603636364,2077.13799060102,587.085498640599,,,21.4350067264189,,,,,2685.65849596803
USA,2009,9636.65509889572,6884.2608703967,2034.35947343812,698.556336310099,,,19.4784187508081,,,,,2752.39422849903
USA,2010,9718.9567649384,6815.51639990769,2110.78934277711,768.144615829305,,,24.5064064242992,,,,,2903.44036503072
USA,2011,9566.77679656768,6726.74742103308,2130.34969395786,691.503571279248,,,18.1761102974839,,,,,2840.0293755346
USA,2012,9499.63914691048,6639.94292082418,2208.09705571691,631.046946071126,,,20.5522242982629,,,,,2859.6962260863
USA,2013,9380.0419514329,6595.30913763829,2117.57350698632,645.876925803459,,,21.2823810048293,,,,,2784.73281379461
USA,2014,9271.26960122613,6519.18641713542,2101.69945124108,627.654844964757,,,22.7288878848715,,,,,2752.08318409071
USA,2015,9605.36959875501,6639.0118667955,2245.70733317039,699.692974685283,,,20.9574241038393,,,,,2966.35773195951
USA,2016,9909.93663433833,6852.82668476448,2324.04378065314,710.676217040765,,,22.389951879945,,,,,3057.10994957384
USA,2017,9960.07716408485,6997.67310298932,2342.70863303079,597.405882070676,,,22.2895459940652,,,,,2962.40406109553
USA,2018,10179.0097992179,7027.95181789083,2418.34720538796,711.147408649935,,,21.5633672891936,,,,,3151.05798132709
USA,2019,10008.1354410762,7045.10009955598,2381.61667954103,558.062983629595,,,23.3556783496222,,,,,2963.03534152025
USA,2020,10086.7722505586,7010.42877591165,2390.42525769545,663.62599709373,,,22.2922198577609,,,,,3076.34347464694
USA,2021,10065.6037379852,7016.99746915548,2372.82224689808,653.484747247044,,,22.2992746846194,,,,,3048.60626882974
USA,2022,9885.3603918992,6877.77385300341,2311.58888777783,673.831844325726,,,22.1658067922318,,,,,3007.58653889579
