Country,Year,Energy_in_kt,Industrial_processes_and_product_use_in_kt,Agriculture_in_kt,LULUCF_in_kt,Waste_in_kt,Other_in_kt,Total_CH4_without_Agriculture_in_kt,Total_CH4_in_kt
DEU,1990,1649.74448964,14.19674157,1646.87658071,301.82904806,1463.80928617,,3429.57956544,5076.45614615
DEU,1991,1547.87196338,13.91868953,1472.45508574,272.7069906,1516.34799304,,3350.84563655,4823.30072229
DEU,1992,1415.00050953,14.95988171,1446.39901683,253.67787609,1534.7664291,,3218.40469643,4664.80371326
DEU,1993,1452.25700791,16.39804118,1452.28775471,354.64992284,1522.20463092,,3345.50960285,4797.79735756
DEU,1994,1311.05000089,17.87933513,1461.41091597,298.94804536,1480.93102706,,3108.80840844,4570.21932441
DEU,1995,1260.36553455,18.08380107,1466.51167667,289.99478875,1432.73283222,,3001.17695659,4467.68863326
DEU,1996,1213.26946944,17.46292641,1471.68921664,271.10040692,1365.734881,,2867.56768377,4339.25690041
DEU,1997,1185.10318704,18.42934231,1433.62361725,265.79961592,1245.07805357,,2714.41019884,4148.03381609
DEU,1998,1072.80708338,19.28058399,1431.565883,372.08251883,1152.08518023,,2616.25536643,4047.82124943
DEU,1999,1112.39558279,20.92592227,1420.45749763,283.62853085,1079.02520834,,2495.97524425,3916.43274188
DEU,2000,1036.27109545,22.72527415,1400.42837093,289.65282874,1009.84388174,,2358.49308008,3758.92145101
DEU,2001,941.24268112,22.28826093,1421.29186391,338.91981335,937.19490056,,2239.64565596,3660.93751987
DEU,2002,887.70366722,20.88300159,1371.13098366,353.228237,874.40354314,,2136.21844895,3507.34943261
DEU,2003,818.43227607,23.16510309,1359.37645983,237.15781919,810.28318193,,1889.03838028,3248.41484011
DEU,2004,706.39998492,23.08540798,1321.47741526,295.41517071,717.70457597,,1742.60513958,3064.08255484
DEU,2005,634.08574746,23.87038615,1315.7676996,284.31864827,654.602086,,1596.87686788,2912.64456748
DEU,2006,569.06339458,23.22407274,1291.36351783,255.77812809,587.47017067,,1435.53576608,2726.89928391
DEU,2007,525.45346643,23.25614015,1299.09717238,335.30303981,532.57067699,,1416.58332338,2715.68049576
DEU,2008,518.6821688,21.85607745,1306.78144982,266.91204366,482.63502939,,1290.0853193,2596.86676912
DEU,2009,464.39996239,20.57031426,1310.07014639,264.5431918,432.67452804,,1182.18799649,2492.25814288
DEU,2010,470.35838401,21.30657631,1298.86909583,302.12732078,387.84590472,,1181.63818582,2480.50728165
DEU,2011,453.39190365,21.21858336,1290.98263951,297.37760588,355.7375849,,1127.72567779,2418.7083173
DEU,2012,490.07227658,20.55366215,1296.67474513,276.48816839,326.07369167,,1113.18779879,2409.86254392
DEU,2013,462.1688402,20.3455558,1319.38034254,282.97594978,297.66358545,,1063.15393123,2382.53427377
DEU,2014,414.44024312,21.12331186,1334.59080934,271.31391238,275.01467562,,981.89214298,2316.48295232
DEU,2015,417.59292933,21.20179911,1332.45164268,274.89164641,252.8162108,,966.50258565,2298.95422833
DEU,2016,384.43541303,21.42538296,1322.93211877,263.84642892,233.53113786,,903.23836277,2226.17048154
DEU,2017,374.52909563,21.74980115,1315.76519793,330.1451492,219.70350665,,946.12755263,2261.89275056
DEU,2018,326.91301105,20.53442282,1298.06864906,223.65271618,205.78396458,,776.88411463,2074.95276369
DEU,2019,256.3565426,20.25142223,1286.76939807,262.8839426,186.84215036,,726.33405779,2013.10345586
DEU,2020,246.21448308,21.35112607,1269.1840662,253.272221,169.48834758,,690.32617773,1959.51024393
DEU,2021,247.42940385,21.522838,1236.1272303,296.26032837,161.73412035,,726.94669057,1963.07392087
DEU,2022,238.57096305,18.03053527,1218.53485798,238.47821202,152.86851176,,647.9482221,1866.48308008
DEU,2023,223.3621752,15.74201096,1220.02457494,345.41695986,145.53589613,,730.05704215,1950.08161709
DEU,2024,223.24808912,15.98937426,1197.14534572,305.00922495,139.33435133,,683.58103966,1880.72638538
