Year,Agric_total_share_in_perc,EntFer_total_share_in_perc,EntFer_Agric_share_in_kt,CatEnFe_total_share_in_perc,CatEnFe_Agric_share_in_perc,CatEnFe_EntFer_share_in_perc
1990,32.4414617854819,26.4694063613466,81.5912875208112,24.948786305,76.9040139743794,94.2551788446331
1991,30.5279552430832,24.9003592143801,81.5657616637192,23.3629180766691,76.5295870314225,93.8256266727945
1992,31.0066426314685,25.1325493638119,81.0553714651615,23.5393210260635,75.9170262509283,93.6606974697023
1993,30.2698852510225,24.500004914501,80.9385457239996,22.9195827522244,75.7174418143862,93.5492985907885
1994,31.9768223849665,25.8847964145073,80.948619918772,24.232800529392,75.7823908756635,93.6178911409576
1995,32.8248406962038,26.5567580403259,80.9044536913691,24.8350720741785,75.6593834042602,93.5169572899935
1996,33.9156968673817,27.3840182771323,80.741428914789,25.5671015305679,75.3842730418934,93.3650469840591
1997,34.5615219357434,27.8095245806687,80.4638309400033,25.9640296198258,75.124092243675,93.3638025508507
1998,35.3663315345654,28.2960629963906,80.0084763350008,26.4275070886748,74.7250448151397,93.3964102781572
1999,36.2691661327532,29.0026289297324,79.96497306714,27.1495217775549,74.8556547403973,93.6105545581153
2000,37.2561222462819,29.7267819695929,79.7903275415614,27.7876812679697,74.5855435095445,93.4769235916398
2001,38.8231663664249,30.9881385233334,79.818678957965,28.9617762022787,74.5992120501676,93.4608452859184
2002,39.0930818273123,31.1059683824584,79.5689849162168,28.9853079165107,74.1443410487536,93.1824644072371
2003,41.8473786982197,33.1798201985034,79.2876907243774,30.8626409099908,73.7504758244361,93.0162994414986
2004,43.1279964429354,34.2170228668903,79.3383084979716,31.8031132683005,73.7412258656175,92.9452962404697
2005,45.1743310629348,35.7531913250569,79.1449269613914,33.2139092085304,73.523853983047,92.8977469635084
2006,47.3564801402699,37.4360491611649,79.0515871329104,34.7225569032512,73.3216590430772,92.7516596470107
2007,47.8368929779584,37.7458356327419,78.9052826865949,34.9684893367487,73.0994158689634,92.6419795735452
2008,50.3214668291523,39.7940761085016,79.0797220669412,36.9773393836989,73.4822367345563,92.9217185062354
2009,52.565587964179,41.4807916974184,78.9124469142923,38.5819641354984,73.3977600741196,93.0116387771346
2010,52.3630430532746,41.4159610306258,79.0938773143664,38.657100687169,73.8251607108453,93.3386542897877
2011,53.3748790739316,41.9204745664352,78.539708742702,39.1426702045186,73.3353796461077,93.3736333124894
2012,53.8070002540795,42.0845623817318,78.2139167450448,39.2602330563219,72.9649169642111,93.2889183929453
2013,55.3771820647214,43.0897599787942,77.8113987967708,40.2680416094034,72.7159456440753,93.4515337964763
2014,57.6128051364843,44.6900412024699,77.5696324742383,41.7713020033627,72.5035031785153,93.468927034809
2015,57.9590331229829,44.9287147208803,77.5180542186519,42.0363775925199,72.5277412811963,93.5623862237568
2016,59.4263615361046,45.9386330557463,77.3034590513104,42.9721719492134,72.3116321417484,93.5425568650832
2017,58.1709808126067,44.8644996933988,77.1252247541197,41.9190382278405,72.0617697041751,93.4347613688165
2018,62.5589493782776,48.176319202674,77.0094761524276,45.0011710169949,71.9340261692769,93.4093176103358
2019,63.919685514637,49.1006434141625,76.8161529876722,45.8497776183933,71.7302928655589,93.3791788259306
2020,64.7704736492993,49.6853419978742,76.7098636130041,46.3415726875087,71.547373481358,93.2701090987588
2021,62.9689599132451,48.6518928348215,77.2632943308117,45.3784206661565,72.0647454375555,93.2716447851705
2022,65.2850738902906,50.654898858739,77.5903217079341,47.3098617819858,72.4665822719118,93.3964193945359
2023,62.5627442589083,48.4010235452847,77.363971351677,45.1596433596531,72.1829643098222,93.3030751248495
2024,63.653349845364,49.0842857507675,77.1118658641065,45.6801815164844,71.7639866989835,93.0647778974152
