Year,Agric_total_share_in_perc,EntFer_total_share_in_perc,EntFer_Agric_share_in_kt,CatEnFe_total_share_in_perc,CatEnFe_Agric_share_in_perc,CatEnFe_EntFer_share_in_perc
1990,87.6790006110381,85.3742569755826,97.3713846880168,39.4575044709564,45.0022288073263,46.2170985362033
1991,87.6095071740174,85.2757589577509,97.3361929640455,40.678841331777,46.4319942480412,47.7027021851907
1992,87.3485231670283,84.9718115990905,97.279047794096,41.9763090234375,48.0561176096478,49.4002754954643
1993,86.9044652356278,84.4754073260276,97.2049101239917,43.2234007587525,49.7366857290464,51.1668450344779
1994,87.1820432450488,84.7270766392174,97.1840914545544,44.3452501842958,50.8651191618111,52.3389357255008
1995,87.5510632219446,85.0296087916703,97.1200184926569,45.6671811310469,52.1606242693812,53.7073870855214
1996,86.877819336953,84.3145866662044,97.0496120985643,45.7396449315083,52.6482424174443,54.2487922197714
1997,87.0028056915964,84.4025447670127,97.0112907234268,45.3649211408401,52.1419059767425,53.7482859860053
1998,86.6699363879624,84.0718853190843,97.002361860232,44.7393484763512,51.6203776544654,53.215588429531
1999,86.6902904654307,84.0769210469552,96.9853954757279,45.0688757001285,51.9883777735184,53.6043365276882
2000,87.1241041187663,84.4413131687475,96.9207247785737,46.4155397707036,53.2751989133003,54.9678090367292
2001,87.1070875992632,84.3297441658082,96.8115758315417,48.148258259656,55.2747882941081,57.0952262881143
2002,87.2120361886424,84.3597385126548,96.7294678571454,49.4512945381004,56.7023735475407,58.6195445955326
2003,88.0416288213789,85.1068800236787,96.6666350486833,50.5786699645269,57.4485849951075,59.429590122978
2004,87.9688194621929,85.0447246833862,96.6759872456134,50.1796706338675,57.0425645594046,59.0038604048421
2005,87.704145258676,84.7804283860346,96.6663869033577,49.5920103527195,56.5446595556595,58.4946446919446
2006,87.0199402489203,84.0680465691728,96.6077962461206,49.5063332538519,56.8907920555211,58.8884068016463
2007,87.2243255547148,84.1910987337443,96.5224989684009,50.5377167027387,57.9399340508938,60.0273870549725
2008,87.7962753263017,84.5971610145769,96.3562072538555,53.0415784008463,60.4143834162818,62.6990052204077
2009,87.4745090194431,84.1476615025129,96.19678057731,54.2427258072398,62.0097516582611,64.4613585674273
2010,86.8724682683719,83.4600066160437,96.0718721128238,54.1875445248663,62.3759697462109,64.9263602076563
2011,87.5221188513027,83.9494927458414,95.9180306048907,55.4735654068339,63.3823382419269,66.0796910051394
2012,88.6663912456799,84.9874990983106,95.8508606297332,56.4414722611171,63.6559935147547,66.4114991733402
2013,89.2461013880113,85.3821365028352,95.6704384560432,57.2799565534332,64.1820266236613,67.0865814555145
2014,89.3630189591406,85.3062194726114,95.4603150903125,57.984520137877,64.8864830365559,67.9722070633944
2015,89.3185034628728,85.1516941177383,95.3348867439696,58.2721465420501,65.2408451584416,68.4333378752017
2016,89.3656987930314,85.1120055241662,95.2401275586546,58.6449235759507,65.6235271116391,68.9032331159197
2017,89.850106610081,85.595045246599,95.2642667615882,59.2381513002838,65.9299733024884,69.2074536903614
2018,90.135802241483,85.8720806957326,95.2696692771121,59.4383024922962,65.9430559380332,69.217261315586
2019,90.3614592471479,86.0785939435434,95.2602964369019,60.0354124151446,66.4391798398713,69.7448804223268
2020,90.4521487224588,86.100387616668,95.1888803447405,60.7832679016936,67.1993631552077,70.5958121493134
2021,90.7983467255557,86.4331869815149,95.1924678130596,61.4925428876344,67.724297969323,71.1445973880213
2022,90.7362620837003,86.3639398856687,95.1812846400943,61.6325160253238,67.9249008169087,71.3637151187346
2023,90.6547135236498,86.2545201010447,95.1462055842721,61.7678501475672,68.135288002927,71.6111457987453
2024,90.8522815553514,86.3935702475348,95.0923507572012,62.6943860000367,69.0069472408795,72.5683471818618
