Year,Agric_total_share_in_perc,EntFer_total_share_in_perc,EntFer_Agric_share_in_kt,CatEnFe_total_share_in_perc,CatEnFe_Agric_share_in_perc,CatEnFe_EntFer_share_in_perc
1990,26.1377459320121,19.7970691670391,75.7413023239799,19.0399579153734,72.8446820353177,96.1756397107195
1991,26.2253902826328,19.6756525659148,75.025204025065,18.9197747316057,72.1429672836365,96.1583086925488
1992,26.6928699078877,20.3350387338994,76.1815376318543,19.5787837333632,73.3483653160041,96.2810250305771
1993,27.571287036468,20.9037667703807,75.8171598690032,20.1440850198354,73.0618233134754,96.3658140712623
1994,27.8407006316885,21.0384423042098,75.5672157196492,20.2755398278059,72.8269740623125,96.3737691917844
1995,28.8553910460438,21.729588482828,75.3051256458616,20.9738717395469,72.6861462597385,96.5221764605515
1996,28.8016718103635,21.6713792471031,75.2434768015976,20.9267366084744,72.6580621647961,96.5639351785686
1997,28.9104267082132,21.627681878284,74.8092793529738,20.8570607026607,72.1437317863433,96.4368757596853
1998,29.7712170785177,21.6735197845495,72.8002477271534,20.8692010152439,70.0985819968465,96.2889333283146
1999,30.2404351691349,22.1343883847226,73.1946754764767,21.3241654453784,70.5154053706972,96.3395286769998
2000,30.3216566359414,21.8261698809317,71.9821154331665,21.017841641728,69.3162708557776,96.2965181540627
2001,30.4290434859749,22.0193083311267,72.3628014836404,21.1884575009285,69.6323481567682,96.2267169444932
2002,30.841526479224,22.0425710199755,71.4704281411756,21.2012870031862,68.7426642694491,96.1833671034706
2003,30.6004435183838,22.1343822394104,72.3335340748012,21.2926115275218,69.5826892663497,96.1969992982691
2004,29.8241817508545,21.6370226931616,72.5485878335681,20.7941413897492,69.722420428696,96.1044487711387
2005,30.9644617884846,22.0393258574453,71.1761954979031,21.1797212125042,68.4000947834357,96.0996781367035
2006,30.7721120432995,22.2181652381274,72.2022759011932,21.3524141067367,69.3888481775048,96.1034085303095
2007,31.5606040357827,22.4283839208366,71.0644951389646,21.5466140483871,68.2706009807607,96.0685091018511
2008,30.7368634734185,22.1437266857884,72.0428963252498,21.2757842687632,69.2191130274651,96.080413973036
2009,31.284183546095,22.3488833457752,71.4382822644091,21.4903909410135,68.6941083482296,96.1586787515093
2010,31.700620009728,22.2303793286719,70.1260080145123,21.3867437099211,67.4647489650301,96.2050327334596
2011,32.2004606797393,22.6413106984189,70.3136235335445,21.7810206452334,67.6419535169513,96.200352247074
2012,32.4667298645881,22.693202319879,69.8967910058316,21.8287110234316,67.2340919903993,96.1905275233449
2013,31.9603458957437,22.4720062468462,70.3121496874626,21.6229784317079,67.6556458501518,96.2218423855351
2014,31.8870013476838,22.4216655334354,70.3160052240661,21.5826344447696,67.684741532892,96.2579448551017
2015,32.4797284446219,22.4492457429321,69.1177137801757,21.61065454425,66.5358227397015,96.2645016750906
2016,34.8361258103087,24.0895518665076,69.1510646094261,23.2149027150358,66.6403113866527,96.3691763287312
2017,34.1296175359823,23.9785197154946,70.2572177675722,23.1237874862702,67.7528468108123,96.43542537502
2018,34.4631780306329,23.7946086572479,69.0435706077305,22.9511539258616,66.5961621573648,96.45526958003
2019,34.7318384170789,24.449037458631,70.3937325891983,23.5772193312416,67.883591556869,96.4341413077526
2020,35.5412038610901,24.701566773705,69.5012101172744,23.8227453625629,67.0285268210728,96.4422442544105
2021,36.0136338434284,25.1060526633659,69.7126337556384,24.2377443990019,67.3015794639805,96.5414385287618
2022,36.3817300495869,25.312715140576,69.5753475881322,24.4349685849989,67.1627450143108,96.5323887591574
