Country,Year,Energy_in_kt,Industrial_processes_and_product_use_in_kt,Agriculture_in_kt,LULUCF_in_kt,Waste_in_kt,Other_in_kt,Total_CH4_without_Agriculture_in_kt,Total_CH4_in_kt,total_CH4_wo_Cat_EnterFe_in_kt,share_total_of_Cat_enterfe_in_procent,share_agric_of_Cat_enterfe_in_procent
DEU,1990,1649.74448964,14.19674157,1646.87658071,301.82904806,1463.80928617,,3429.57956544,5076.45614615,3809.94195038,24.948786305,76.9040139743794
DEU,1991,1547.87196338,13.91868953,1472.45508574,272.7069906,1516.34799304,,3350.84563655,4823.30072229,3696.43692595,23.3629180766691,76.5295870314225
DEU,1992,1415.00050953,14.95988171,1446.39901683,253.67787609,1534.7664291,,3218.40469643,4664.80371326,3566.74059196,23.5393210260634,75.9170262509283
DEU,1993,1452.25700791,16.39804118,1452.28775471,354.64992284,1522.20463092,,3345.50960285,4797.79735756,3698.16222191,22.9195827522244,75.7174418143862
DEU,1994,1311.05000089,17.87933513,1461.41091597,298.94804536,1480.93102706,,3108.80840844,4570.21932441,3462.72719177,24.232800529392,75.7823908756635
DEU,1995,1260.36553455,18.08380107,1466.51167667,289.99478875,1432.73283222,,3001.17695659,4467.68863326,3358.13494114,24.8350720741785,75.6593834042602
DEU,1996,1213.26946944,17.46292641,1471.68921664,271.10040692,1365.734881,,2867.56768377,4339.25690041,3229.83468301,25.5671015305679,75.3842730418934
DEU,1997,1185.10318704,18.42934231,1433.62361725,265.79961592,1245.07805357,,2714.41019884,4148.03381609,3071.03708744,25.9640296198259,75.124092243675
DEU,1998,1072.80708338,19.28058399,1431.565883,372.08251883,1152.08518023,,2616.25536643,4047.82124943,2978.0830018,26.4275070886748,74.7250448151397
DEU,1999,1112.39558279,20.92592227,1420.45749763,283.62853085,1079.02520834,,2495.97524425,3916.43274188,2853.13998172,27.1495217775549,74.8556547403973
DEU,2000,1036.27109545,22.72527415,1400.42837093,289.65282874,1009.84388174,,2358.49308008,3758.92145101,2714.40433909,27.7876812679697,74.5855435095445
DEU,2001,941.24268112,22.28826093,1421.29186391,338.91981335,937.19490056,,2239.64565596,3660.93751987,2600.66498846,28.9617762022786,74.5992120501676
DEU,2002,887.70366722,20.88300159,1371.13098366,353.228237,874.40354314,,2136.21844895,3507.34943261,2490.73339986,28.9853079165107,74.1443410487536
DEU,2003,818.43227607,23.16510309,1359.37645983,237.15781919,810.28318193,,1889.03838028,3248.41484011,2245.86823274,30.8626409099908,73.7504758244361
DEU,2004,706.39998492,23.08540798,1321.47741526,295.41517071,717.70457597,,1742.60513958,3064.08255484,2089.60890929,31.8031132683005,73.7412258656174
DEU,2005,634.08574746,23.87038615,1315.7676996,284.31864827,654.602086,,1596.87686788,2912.64456748,1945.24144527,33.2139092085304,73.523853983047
