"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Cattle",1990,19487.996,10,6.54400468665839,5.88960421799255,74.8492987133498,75.5036991820156,147.929176879203,146.245948594534,1266.51419577,1266.65328946283,1139.98796051654,126.665328946283,1126.98785384749,139.665435615335,13.0001066690525
"Dairy cattle",1990,6354.555,10,7.02373953,6.321365577,75.52314884,76.225522793,246.6989066,243.784598951231,721.02925979,722.184995601457,649.966496041311,72.2184995601458,642.288300961475,79.8966946399812,7.6781950798354
"Non-dairy cattle",1990,13133.441,10,6.31188719,5.680698471,74.52325943,75.154448149,100.1398976,99.0523214013713,545.48493598,544.46829386137,490.021464475233,54.4468293861369,484.699552886016,59.768740975354,5.32191158921705
"Cattle",1991,17133.7939999,10,6.54380794670198,5.88942715203178,74.8280745478043,75.4824553424745,149.821792950922,148.118293021525,1126.86379634,1126.93794628422,1014.2441516558,112.693794628422,1002.69046536792,124.247480916306,11.5536862878838
"Dairy cattle",1991,5632.212,10,6.99093935,6.291845415,75.53366136,76.232755295,252.1493283,249.18501941267,650.25241298,651.178479535956,586.06063158236,65.1178479535956,579.170806610679,72.0076729252769,6.88982497168126
"Non-dairy cattle",1991,11501.5819999,10,6.32485208,5.692366872,74.4825556,75.115040808,99.71300161,98.6269074724873,476.61138336,475.759466748268,428.183520073442,47.5759466748268,423.519658757239,52.2398079910294,4.6638613162026
"Cattle",1992,16207.34,10,6.57131694949561,5.91418525454605,74.804216193761,75.4613478887105,154.129600685425,152.373648934845,1098.0631213,1098.09868087108,988.28881278397,109.809868087108,977.01399353845,121.084687332627,11.2748192455196
"Dairy cattle",1992,5365.182,10,6.96225412,6.266028708,75.49665303,76.192878442,258.3893476,255.361606100093,632.17266122,633.047985208681,569.743186687813,63.3047985208682,563.067079074838,69.9809061338426,6.67610761297442
"Non-dairy cattle",1992,10842.158,10,6.37786385,5.740077465,74.46156765,75.099354035,102.5372408,101.410627182187,465.89046008,465.050695662396,418.545626096157,46.5050695662395,413.946914463612,51.1037811987847,4.59871163254519
"Cattle",1993,15896.62,10,6.57750882690442,5.91975794421398,74.7566232354827,75.4143741181731,157.442194290609,155.647797277349,1099.63513565,1099.68111700742,989.713005306676,109.968111700742,978.420454153958,121.26066285346,11.2925511527185
"Dairy cattle",1993,5301,10,6.9358014,6.24222126,75.46752033,76.16110047,264.193019,261.106972875732,636.21399468,637.093958524813,573.384562672332,63.7093958524813,566.68684138489,70.4071171399232,6.69772128744194
"Non-dairy cattle",1993,10595.62,10,6.39825467,5.758429203,74.40096066,75.040786127,104.0346427,102.886459116201,463.42114097,462.587158482605,416.328442634344,46.2587158482606,411.733612769068,50.8535457135372,4.59482986527667
"Cattle",1994,15962.2369997,10,6.58949881331677,5.93054893198509,74.7145277363812,75.3734776177129,157.806879364729,156.00558810205,1107.49213264,1107.61754541003,996.855790869028,110.761754541003,985.466591484529,122.150953925502,11.389199384499
"Dairy cattle",1994,5273.295,10,6.92418002,6.231762018,75.44053367,76.132951672,267.3666358,264.246896870547,639.33764963,640.302688221805,576.272419399624,64.0302688221805,569.548246447409,70.7544417743959,6.72417295221544
"Non-dairy cattle",1994,10688.9419997,10,6.4243868,5.78194812,74.35635913,74.99879781,103.7565425,102.605695733059,468.15448301,467.314857188226,420.583371469403,46.7314857188225,415.91834503712,51.3965121511059,4.66502643228347
"Cattle",1995,15889.9159999,10,6.6022708173921,5.9420437356529,74.6702422948424,75.3304693765816,158.687054566917,156.872880956716,1109.55369212,1109.58802927339,998.629226346053,110.958802927339,987.203889809438,122.384139463955,11.4253365366152
"Dairy cattle",1995,5229.396,10,6.91252963,6.221276667,75.41385518,76.105108143,270.1819004,267.032763485011,639.70601665,640.578685771171,576.520817194054,64.0578685771172,569.80111100723,70.7775747639408,6.7197061868236
"Non-dairy cattle",1995,10660.5199999,10,6.45007691,5.805069219,74.30547151,74.950479201,103.9945348,102.835212150753,469.84767547,469.009343502221,422.108409151999,46.900934350222,417.402778802207,51.6065647000137,4.70563034979165
"Cattle",1996,15759.6341425,10,6.59667586108811,5.9370082749793,74.6636807422734,75.3233483283823,160.245822438812,158.417107550925,1109.4222174,1109.47928243334,998.531354190006,110.947928243334,987.129085266357,122.350197166983,11.4022689236492
"Dairy cattle",1996,5194.739,10,6.88725115,6.198526035,75.44189191,76.130617025,274.1224545,270.940813265413,642.37585858,643.253206817739,578.927886135965,64.3253206817736,572.208477331086,71.0447294866527,6.71940880487909
