"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Cattle",1990,8033.974999463,10,6.5,5.85,72.6468832562783,73.2968832562783,149.836589062939,148.096109229652,512.897391839479,513.203259927719,461.882933934947,51.3203259927719,456.517769545656,56.6854903820628,5.36516438929084
"Dairy cattle",1990,3440.814999753,10,6.5,5.85,75.809914175,76.459914175,169.272003176121,167.430819083525,248.587068848727,248.30616870653,223.475551835877,24.830616870653,221.044791737315,27.2613769692155,2.43076009856244
"Non-dairy cattle",1990,4593.15999971,10,6.5,5.85,70.2774025,70.9274025,135.277186731805,133.612146187807,264.310322990752,264.897091221189,238.40738209907,26.4897091221189,235.472977808341,29.4241134128473,2.93440429072839
"Cattle",1991,8100.064556988,10,6.5,5.85,72.6047653930015,73.2547653930015,154.389138682835,152.596021660191,532.839503324315,533.146149473079,479.831534525771,53.3146149473079,474.258641899386,58.887507573693,5.57289262638511
"Dairy cattle",1991,3429.495556698,10,6.5,5.85,75.8069211833333,76.4569211833333,177.829607961111,175.895220122132,260.330988023434,260.001209336939,234.001088403245,26.0001209336939,231.45568066769,28.5455286692492,2.5454077355553
"Non-dairy cattle",1991,4670.56900029,10,6.5,5.85,70.2534931916667,70.9034931916667,137.177320330131,135.487935344607,272.508515300881,273.144940136139,245.830446122525,27.3144940136139,242.802961231696,30.3419789044437,3.02748489082981
"Cattle",1992,8144.3208997,10,6.5,5.85,72.5974070230245,73.2474070230245,156.491000111115,154.672422597536,543.060366433186,543.357036727804,489.021333055024,54.3357036727804,483.338429889201,60.0186068386039,5.68290316582346
"Dairy cattle",1992,3467.8239,10,6.5,5.85,75.790509675,76.440509675,178.903519300945,176.956776180489,264.83368553553,264.494698618421,238.045228756579,26.4494698618421,235.454933645281,29.0397649731405,2.59029511129833
"Non-dairy cattle",1992,4676.4969997,10,6.5,5.85,70.2295839083333,70.8795839083333,139.871152025959,138.147614828821,278.226680897656,278.862338109383,250.976104298445,27.8862338109383,247.88349624392,30.9788418654634,3.09260805452516
"Cattle",1993,8308.1019996,10,6.5,5.85,72.5972905503248,73.2472905503248,158.862864733571,157.015978243091,562.203351998316,562.684901645665,506.416411481099,56.2684901645663,500.528983789988,62.1559178556772,5.88742769111093
"Dairy cattle",1993,3550.14,10,6.5,5.85,75.7801873583333,76.4301873583333,180.336811374113,178.374044589515,273.271341378314,272.942345115713,245.648110604142,27.2942345115713,242.974502545314,29.9678425703988,2.67360805882754
"Non-dairy cattle",1993,4757.9619996,10,6.5,5.85,70.222381025,70.872381025,142.840139681781,141.079716947716,288.932010620002,289.742556529952,260.768300876957,28.9742556529951,257.554481244674,32.1880752852784,3.21381963228333
"Cattle",1994,8887.0319999,10,6.5,5.85,72.6265687410922,73.2765687410922,158.192107883381,156.352415184333,598.918316235241,599.352897718683,539.417607946815,59.9352897718682,533.144459125705,66.2084385929782,6.27314882111
"Dairy cattle",1994,3839.184,10,6.5,5.85,75.7721263666666,76.4221263666666,176.427954190358,174.507404441675,289.099082176611,288.766878058157,259.890190252341,28.8766878058157,257.061091871277,31.7057861868796,2.82909838106394
"Non-dairy cattle",1994,5047.8479999,10,6.5,5.85,70.2341879666667,70.8841879666667,144.32267889709,142.544482719184,309.81923405863,310.586019660526,279.527417694473,31.0586019660526,276.083367254427,34.5026524060987,3.44405044004606
"Cattle",1995,9272.3260004,10,6.5,5.85,72.6877254169421,73.3377254169421,157.142154853484,155.318139452539,621.065156200952,621.187129608398,559.068416647558,62.1187129608397,552.579073268641,68.6080563397568,6.48934337891706
"Dairy cattle",1995,4089.818,10,6.5,5.85,75.781821,76.431821,176.420074026747,174.50000276012,307.979850702136,307.604747801352,276.844273021217,30.7604747801352,273.831233054587,33.7735147467649,3.01303996662978
"Non-dairy cattle",1995,5182.5080004,10,6.5,5.85,70.245994925,70.895994925,141.928829407335,140.180617267753,313.085305498816,313.582381807046,282.224143626341,31.3582381807046,278.747840214054,34.8345415929919,3.47630341228734
"Cattle",1996,9017.27699969,10,6.5,5.85,72.8115915144166,73.4615915144167,166.136777654755,164.212465697027,638.432564480074,638.678425609811,574.81058304883,63.8678425609812,568.152726227461,70.5256993823507,6.65785682136948
"Dairy cattle",1996,4165.098,10,6.5,5.85,75.7866582083333,76.4366582083333,183.745832521498,181.746235237163,326.70229589219,326.274982105526,293.647483894974,32.6274982105527,290.45189190091,35.8230902046158,3.19559199406308
"Non-dairy cattle",1996,4852.17899969,10,6.5,5.85,70.2578019,70.9078019,151.021210151567,149.161522924977,311.730268587884,312.403443504285,281.163099153856,31.2403443504285,277.70083432655,34.7026091777349,3.46226482730634
"Cattle",1997,9061.999999841,10,6.5,5.85,72.837432253662,73.487432253662,166.553587426557,164.625769590917,643.235332799773,643.456365751166,579.110729176049,64.3456365751165,572.407661354057,71.0487043971086,6.70306782199214
"Dairy cattle",1997,4255.999999971,10,6.5,5.85,75.7625397916667,76.4125397916667,184.217884686088,182.212130089481,334.701895738797,334.25234503167,300.827110528503,33.425234503167,297.551720841151,36.7006241905192,3.27538968735223
