"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Cattle",1990,101088.450771948,10,6.2296122790063,5.60665105110567,65.3167707714529,65.9397319993535,155.777263847172,153.693448738969,6288.64083424356,6455.51769171236,5809.96592254113,645.551769171235,5732.23242750948,723.285264202878,77.7334950316435
"Dairy cattle",1990,19512.3505454128,10,6.53676278883145,5.88308650994831,66.6397611542452,67.2934374331283,199.547879004794,196.846094821959,1546.96093902158,1669.34894367322,1502.4140493059,166.934894367322,1482.07207155737,187.276872115858,20.3419777485358
"Non-dairy cattle",1990,81576.1002265352,10,6.1561443343354,5.54052990090186,65.0003220561359,65.6159364895694,145.307682877107,143.371681027651,4741.67989522198,4786.16874803914,4307.55187323523,478.616874803913,4250.16035595212,536.00839208702,57.3915172831075
"Cattle",1991,101143.694941027,10,6.21096523844984,5.58986871460486,65.3877886024258,66.0088851262708,156.479319704843,154.396505113719,6296.64485018056,6466.74396777503,5820.06957099752,646.674396777502,5742.59133637186,724.152631403167,77.4782346256652
"Dairy cattle",1991,19411.0245340661,10,6.48859478784027,5.83973530905624,66.6401948292278,67.2890543080118,200.773366298765,198.074749350374,1531.83634605865,1658.5665732689,1492.70991594201,165.85665732689,1472.64623741505,185.920335853844,20.0636785269544
"Non-dairy cattle",1991,81732.6704069609,10,6.1450298668565,5.53052688017085,65.0903495505262,65.7048525372118,145.959746309448,144.02318112637,4764.80850412191,4808.17739450613,4327.35965505551,480.817739450612,4269.9450989568,538.232295549323,57.4145560987108
"Cattle",1992,103348.090791999,10,6.20525081934016,5.58472573740614,65.4094945080481,66.0300195899821,157.76754909266,155.671341625069,6487.8899704977,6652.70899016617,5987.43809114955,665.270899016616,5907.88037471417,744.828615451999,79.5577164353836
"Dairy cattle",1992,19076.825883357,10,6.44420700799858,5.79978630719872,66.6298436064301,67.27426430723,203.303974739647,200.589034939775,1510.75086168457,1639.26499115531,1475.33849203978,163.926499115531,1455.63668741225,183.628303743065,19.7018046275336
"Non-dairy cattle",1992,84271.2649086419,10,6.15115734382713,5.53604160944442,65.1332391641656,65.7483548985483,147.459284889438,145.503142353637,4977.13910881313,5013.44399901085,4512.09959910977,501.344399901084,4452.24368730192,561.200311708934,59.8559118078501
"Cattle",1993,104512.885166898,10,6.21274325645525,5.59146893080973,65.3906459822527,66.0119203078982,158.088326370047,155.985073523435,6586.5314305599,6746.61263357067,6071.9513702136,674.661263357067,5991.1689816075,755.443651963171,80.7823886061042
"Dairy cattle",1993,18990.6367644308,10,6.41380335884158,5.77242302295742,66.6257129377613,67.2670932736455,203.979600752399,201.268010720569,1498.62131140788,1629.55716816461,1466.60145134815,162.955716816461,1447.10527691956,182.451891245053,19.4961744285918
"Non-dairy cattle",1993,85522.2484024669,10,6.16809686977153,5.55128718279438,65.1163932776063,65.7332029645835,147.897942712794,145.929774136422,5087.91011915202,5117.05546540605,4605.34991886545,511.705546540606,4544.06370468794,572.991760718118,61.2862141775122
"Cattle",1994,106543.661997847,10,6.18558737552707,5.56702863797436,65.5629160718764,66.1814748094291,158.556696684988,156.466215405486,6705.50262826811,6867.42443663437,6180.68199297094,686.742443663437,6099.1959449852,768.228491649168,81.4860479857307
"Dairy cattle",1994,18713.976504305,10,6.38492808591511,5.7464352773236,66.9240510155643,67.5625438241558,205.022188892918,202.329507735644,1474.79300944536,1606.7586687463,1446.08280187167,160.67586687463,1427.09051653181,179.668152214495,18.9922853398646
"Non-dairy cattle",1994,87829.6854935424,10,6.14311361110914,5.52880224999823,65.2728974157441,65.887208776855,148.65623849077,146.694068662005,5230.70961882275,5260.66576788807,4734.59919109926,526.066576788807,4672.1054284534,588.560339434673,62.4937626458659
"Cattle",1995,109041.908025086,10,6.17584754321448,5.55826278889303,65.6295844805073,66.2471692348287,158.880860827559,156.793069923087,6866.45314408403,7030.49090884521,6327.44181796069,703.04909088452,6244.29822405193,786.192684793277,83.1435939087569
"Dairy cattle",1995,18680.6537635394,10,6.360590374151,5.7245313367359,66.9227226617768,67.5587816991919,206.034516147186,203.338611271951,1470.75200892023,1605.67326626246,1445.10593963621,160.567326626246,1426.19712658513,179.476139677325,18.9088130510795
"Non-dairy cattle",1995,90361.254261547,10,6.13765510234782,5.52388959211304,65.3622501364887,65.9760156467235,149.132643896422,147.170570221413,5395.7011351638,5424.81764258275,4882.33587832447,542.481764258275,4818.1010974668,606.716545115953,64.2347808576778
"Cattle",1996,108147.990911336,10,6.17018133099826,5.55316319789843,65.681681082795,66.2986992158948,159.431256725896,157.341125114806,6828.01310499576,6989.42519218052,6290.48267296247,698.942519218052,6208.01813483262,781.407057347903,82.4645381298506
"Dairy cattle",1996,18555.5217474709,10,6.33863142570585,5.70476828313527,66.9229835536451,67.5568466962157,206.470706991451,203.778303289071,1456.2338267961,1592.77639404889,1433.498754644,159.277639404889,1414.80575256831,177.970641480577,18.6930020756881
