Country,Red_in_perc,CH4_Ym_in_kt_diff,CH4_Ym_De_in_kt_diff,CH4_Ym_and_Ym_DE_in_kt_diff,CH4_dif_Ym_DE_in_kt_CO2_eq_GWP_20,CH4_dif_Ym_DE_in_kt_CO2_eq_GWP_100
DEU,10,95.0664473298481,104.398969331969,9.332522002121,8320.59785575795,2818.77217196317
DEU,20,190.132894659696,206.522230257846,16.3893355981502,16459.8217515503,5576.10021696185
DEU,30,285.199341989545,306.452027057635,21.252685068091,24424.2265564935,8274.20473055616
DEU,40,380.265789319393,404.266580112591,24.0007907931987,32220.0464349735,10915.19766304
DEU,50,475.332236649241,500.040327196712,24.7080905474718,39853.214077578,13501.0888343112
NZL,10,80.1371830860624,88.2260023411071,8.08881925504464,7031.61238658624,2382.10206320989
NZL,20,160.274366172125,174.474287835943,14.1999216638184,13905.6007405247,4710.80577157047
NZL,30,240.411549258187,258.818476364485,18.4069271062976,20627.8325662495,6988.0988618411
NZL,40,320.54873234425,341.328473789189,20.7797414449394,27203.8793609984,9215.86879230811
NZL,50,400.685915430312,422.070702195972,21.38478676566,33639.034965019,11395.9089592912
USA,10,672.208311396442,749.545173564233,77.3368621677916,59738.7503330694,20237.7196862343
USA,20,1344.41662279288,1479.9654014177,135.548778624817,117953.242492991,39959.0658382779
USA,30,2016.62493418933,2192.05974285684,175.43480866752,174707.161505691,59185.6130571348
USA,40,2688.83324558577,2886.58272457298,197.749478987209,230060.643148466,77937.7335634704
USA,50,3361.04155698221,3564.24738771655,203.205830734339,284070.516801009,96234.6794683467
